channel,ID
Ado,UCln9P4Qm3-EAY4aiEPmRwEA
Yoasobi,UCvpredjG93ifbCP1Y77JyFA
Kenshi Yonezu,UCUCeZaZeJbEYAAzvMgrKOPQ
Aimer,UCR1zT1s524Hbc85bdvno_8w
LiSA,UCqEfdEvLG5oQWNYlDQrGlKw
Yuuri,UC7MvTslTWkE1HKNYkXiGv1Q
YuuriOfficial,UCBNVZPlWoR7oArfzJNrK9yw
KANA-BOON,UCGZcFTKIVXJLt1uo1dHfjAQ
AKASAKI,UC3PZvqEE-zprmx70h3Q-zog
GARNiDELiA,UCAYfguaShVaNDU561_jJoOQ
Reol,UCB6pJFaFByws3dQj4AdLdyA
Vaundy,UC1FQWQ3y3-e8l1pCtWhJt5A
milet,UCpgxgkifUGSKg9dNFE5Vo7Q
Uru,UCdPCarwi28K5Z7s5l2nMiLw
cocoru,UCRVVQyVOfjI5WEvJMZvj0XQ
鷲尾伶菜,UC8hGV6UGvtlC4k2McpRgBvw
Rokudenashi ,UCRlRgAguUGfWD4EDfBUls4w
TUYU,UCB2tP2QfRG7hTra0KTOtTBg
Aimyong,UCQVhrypJhw1HxuRV4gX6hoQ
Takase,UC9eX-yFQNy_puCqa-QIKD0Q
MIREI,UCLMYRi83dsYs83prGn0tByw
ClariS,UC-zeaPnxZHE3EcTyVl1fTdw
DAZBEE,UCUEvXLdpCtbzzDkcMI96llg
Goose house ,UCFDL0NuxUBAvvu1PnIwW2ww
Yama,UClbieOB_NYcY9TlIthmyw-A
Yorushika,UCRIgIJQWuBJ0Cv_VlU3USNA
