channel,ID
i-dle,UCritGVo7pLJLUS8wEu32vow
BlackPink,UCOmHUn--16B90oW2L6FRR3A
GFriend,UCRDd3x33kfF0IW6g2MRUkRw
GirlsGen,UCPENYtHg4Xhmm6oX8zaQA7Q
ILLIT,UCEpFoWeCMCo5z3EvWaz6hQQ
IVE,UC-Fnix71vRP64WXeo0ikd0Q
aespa,UC9GtSLeksfK4yuJ_g1lgQbg
BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ
Apink,UCmW1Pq56lA-k-GWpX1z8WPg
MAMAMOO,UCuhAUMLzJxlP1W7mEk0_6lA
RedVelvet,UCk9GmdlDTBfgGRb7vXeRMoQ
TWICE,UCzgxx_DM2Dcb9Y1spb9mUJA
BIGBANG,UCzw-C7fNfs018R1FzIKnlaA
EXO,UCzCedBCSSltI1TFd3bKyN6g
EXID,UCZDD7mbBlV-Mg-vpI6wQvSA
SEVENTEEN,UCfkXDY7vwkcJ8ddFGz8KusA
