channel,ID
JayChou,UC8CU5nVhCQIdAGrFFp4loOQ
JOLIN,UCZxdOVXIBEnJUQkhZgeOTTg
EricChou,UC7S48XRADBqamQbgLxpBFcQ
A-Lin,UCURRzgKx4DkVozbOjFflMpg
Hebe,UCWASjJ7q476ZgxT9oWBSclg
Ella,UC1_kfkKNiPnQufzrlZrsPkw
CTO,UC8Dh3TZrwCM9jOjb-xDyHnA
SpeXial,UC5XuZesSLwaQFsPSgoJkN9A
FengZe,UCTKJ96FsE4sv86eSs8yNetw
Wayne,UCQj6W_rgqKQhSs97NdZoWMA
CaiZi,UCLUxf2VgT6sDxtDdyXofCww
PowerStation,UCErZheK57jyQrLo_rJO0D5A
ShowLo,UCuhagpMMr6Ipr5kTQfvnI2Q
Rainie,UC_fW_2QuZldcT3FhCYQ_2vw
WeiBird,UCeNjr6aT_-wnwmybVTRfj0w
Annie,UCpgt8SEyAy5tbr9BzVK8Lsg
AnnieSing,UCwMsxbLEm5rN0wszzwFxrkQ
Huangs,UCV_S2S-Zs8LeuJxK-T3RQQg
Wei,UCJbZ7cWd8e1P8TsZoN3xYJQ
K.R.Bros,UCeB5UXWltaHtGoxkwGXLzpg
TGOP,UC6FcYHEm7SO1jpu5TKjNXEA
Alina,UCJM_OTvzTrkZbYEq4GKVuOQ
JiaJia,UCzj3wNfyr9IAhVs_A3H12TQ
Xinya,UCqdzor-JwvSA2HMlzBTUtOw
Faye,UCyFcly39rr3zqW1ok5SVs3A
