style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (instrumental),LangVer,199,2025-06-20T14:00:56Z,Friday,Summer,91199,7669,428,0.08878386824416934
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (official music video),MV,125,2025-06-20T14:00:54Z,Friday,Summer,1608038,83034,3264,0.05366664220621652
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - supernatural (official music video),MV,167,2025-05-19T14:01:10Z,Monday,Spring,9342468,270926,10907,0.030166868112366026
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (Official Lyric Video),Lyric,203,2025-03-28T23:00:51Z,Friday,Spring,15836487,232313,4746,0.0149691658257289
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - intro (end of the world) (extended) (lyric visualizer),Lyric,162,2025-03-28T04:01:02Z,Friday,Spring,16285466,239304,7845,0.015176047157631227
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - warm (lyric visualizer),Lyric,202,2025-03-28T04:01:00Z,Friday,Spring,7786420,124642,4012,0.01652286930322279
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - past life (lyric visualizer),Lyric,216,2025-03-28T04:00:51Z,Friday,Spring,6756707,128879,5271,0.01985434620740547
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - dandelion (lyric visualizer),Lyric,205,2025-03-28T04:00:48Z,Friday,Spring,9428102,156188,5605,0.017160718032112932
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - twilight zone (lyric visualizer),Lyric,199,2025-03-28T04:00:04Z,Friday,Spring,13936145,171695,6062,0.012755105518778686
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - Hampstead (lyric visualizer),Lyric,217,2025-03-28T04:00:01Z,Friday,Spring,7459518,143016,5743,0.0199421732074378
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - Santa Tell Me (live version),Live,206,2024-12-23T18:45:01Z,Monday,Winter,2801025,209880,12273,0.0793113235333494
EN,UC9CoOnJkIBMdeijd9qYoT_g,56300000,Ariana Grande - imperfect for you (live version),Live,184,2024-10-07T14:00:39Z,Monday,Fall,3753049,91446,3202,0.025218961969321475
