style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Lady Gaga, Bruno Mars - Die With A Smile (Live in Las Vegas)",Live,282,2024-10-30T01:00:22Z,Wednesday,Fall,65777388,1102390,35885,0.017304958962493313
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,ROSÉ & Bruno Mars - APT. (Official Lyric Video),Lyric,170,2024-10-24T23:00:11Z,Thursday,Fall,63140175,854445,20265,0.013853461761865563
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Silk Sonic Billboard Music Awards 2022 Performance ""Love's Train""",Live,298,2022-05-20T11:20:14Z,Friday,Spring,40182159,336297,12027,0.008668623306179242
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars & Anderson .Paak as Silk Sonic - 777 (64th GRAMMY Awards Performance),Live,230,2022-04-19T14:00:00Z,Tuesday,Spring,10910297,161692,4111,0.015196928186281272
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Love's Train (Con Funk Shun Cover) [Official Audio]",MV,308,2022-02-14T20:00:09Z,Monday,Winter,24652572,317040,9779,0.013256994036971071
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars & Anderson .Paak as Silk Sonic - Smokin Out The Window (LIVE BET Soul Train Awards 2021),Live,204,2021-11-29T03:42:11Z,Monday,Fall,7897271,180930,4465,0.02347583108139508
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars & Anderson .Paak as Silk Sonic - Fly As Me (LIVE BET Soul Train Awards 2021),Live,224,2021-11-29T01:29:04Z,Monday,Fall,26000413,362004,8914,0.014265850315531526
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars & Anderson .Paak as Silk Sonic - Smokin Out The Window (LIVE American Music Awards 2021),Live,194,2021-11-22T07:00:10Z,Monday,Fall,18168823,396186,10512,0.022384388906204877
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - 777 [Official Audio]",MV,166,2021-11-12T05:00:18Z,Friday,Fall,6602238,95242,3002,0.014880408734129245
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Blast Off [Official Audio]",MV,286,2021-11-12T05:00:18Z,Friday,Fall,8502663,107651,4099,0.013142941217357432
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Fly As Me [Official Audio]",MV,220,2021-11-12T05:00:01Z,Friday,Fall,9385390,138094,3829,0.015121694463416012
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Put On A Smile [Official Audio]",MV,256,2021-11-12T05:00:01Z,Friday,Fall,10176635,148155,5061,0.015055664274094532
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - After Last Night w/ Thundercat & Bootsy [Official Audio]",MV,250,2021-11-12T05:00:00Z,Friday,Fall,44780823,393235,7257,0.008943381857899307
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Smokin Out The Window [Official Music Video]",MV,201,2021-11-05T04:00:11Z,Friday,Fall,230723623,2576624,63641,0.011443409936398233
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Skate [Official Music Video]",MV,204,2021-07-30T04:00:03Z,Friday,Summer,137033024,1663383,46106,0.012475014781838281
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open (Live from the BET Awards)",Live,251,2021-06-28T07:00:11Z,Monday,Summer,98171899,974150,20372,0.010130414203355687
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic- Leave The Door Open (Live from the iHeartRadio Music Awards)",Live,263,2021-05-30T00:45:33Z,Sunday,Spring,38692605,725139,19585,0.019247192066804496
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Lyric Video]",Lyric,249,2021-04-02T21:20:41Z,Friday,Spring,3531286,114793,3466,0.033488932926984676
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open (Live) [Official Audio]",Live,261,2021-04-02T04:00:00Z,Friday,Spring,3721555,98468,3655,0.027440948743200088
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars & Anderson .Paak - Little Richard Tribute Performance [LIVE from the 63rd GRAMMYs ® 2021],Live,133,2021-03-15T19:00:23Z,Monday,Spring,1865797,56839,2852,0.03199222637832519
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [LIVE from the 63rd GRAMMYs ® 2021]",Live,256,2021-03-15T03:09:39Z,Monday,Spring,51391723,899525,34226,0.018169287688603084
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Bruno Mars, Anderson .Paak, Silk Sonic - Leave the Door Open [Official Video]",MV,249,2021-03-05T05:00:00Z,Friday,Spring,891896727,7905414,205538,0.009094048396479877
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Count on Me (Official Lyric Video),Lyric,193,2020-10-02T17:37:52Z,Friday,Fall,60461346,801418,22038,0.013619544626082258
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Marry You (Official Lyric Video),Lyric,228,2020-10-02T17:37:45Z,Friday,Fall,135939595,957416,13463,0.0071419883220926175
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Runaway Baby (Official Lyric Video),Lyric,148,2020-10-02T17:37:41Z,Friday,Fall,36617096,429238,6956,0.011912304569428444
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Talking To The Moon (Official Lyric Video),Lyric,215,2020-10-02T17:37:37Z,Friday,Fall,205589414,2499366,41821,0.012360495370641992
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Our First Time (Official Lyric Video),Lyric,243,2020-10-02T17:37:34Z,Friday,Fall,7510733,113362,4101,0.0156393523774577
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,"Gucci Mane, Bruno Mars, Kodak Black - Wake Up In The Sky (Official Audio)",MV,205,2018-09-14T04:00:30Z,Friday,Fall,48519153,679629,17812,0.014374550190519609
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Best of #FinesseFridays (Official Video),MV,218,2018-03-23T19:02:00Z,Friday,Spring,5579261,96300,2198,0.01765430941481318
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Finesse (Pink Panda Remix) (feat. Cardi B) (Official Audio),Remix,149,2018-03-23T04:04:58Z,Friday,Spring,2196074,43147,2199,0.020648666666059523
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Finesse (James Hype Remix) (feat. Cardi B) (Official Audio),Remix,236,2018-03-23T04:04:58Z,Friday,Spring,1176376,19351,1198,0.0174680544315763
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Finesse (Remix) (feat. Cardi B) (Official Music Video),Remix,223,2018-01-04T04:49:43Z,Thursday,Winter,922551496,6527441,263523,0.007361067679630103
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Just The Way You Are (One Voice: Somos Live!) (Official Live Performance),Live,136,2017-10-15T01:18:57Z,Sunday,Fall,15867956,387960,15503,0.025426274184274268
EN,UCoUM-UJ7rirJYP8CQ0EIaHA,41700000,Bruno Mars - Versace on the Floor (Official Music Video),MV,337,2017-08-14T01:24:48Z,Monday,Summer,490524798,3000390,102228,0.006325099184893808
