style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Anything To Be With You (Official Visualizer),MV,198,2023-09-07T17:00:05Z,Thursday,Fall,472574,8944,393,0.01975775222504835
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Shadow (George Daniel Remix) [Official Audio],Remix,225,2023-08-25T04:00:24Z,Friday,Summer,119276,2372,105,0.020766960662664743
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Kollage (Live on GMA Summer Concert Series),Live,260,2023-08-16T17:11:02Z,Wednesday,Summer,85036,3371,190,0.041876381767721904
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Stadium Love (Official Lyric Video),Lyric,172,2023-07-28T04:00:36Z,Friday,Summer,90866,1796,96,0.020821869566174368
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - After Last Night (Official Lyric Video),Lyric,209,2023-07-28T04:00:30Z,Friday,Summer,131074,2151,130,0.01740238338648397
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Kollage (Official Lyric Video),Lyric,257,2023-07-28T04:00:27Z,Friday,Summer,283195,7026,244,0.02567135719204082
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Come Over (Official Lyric Video),Lyric,175,2023-07-28T04:00:26Z,Friday,Summer,167379,2532,119,0.015838307075559062
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Kamikaze (Official Lyric Video),Lyric,180,2023-07-28T04:00:26Z,Friday,Summer,220067,3644,180,0.01737652623973608
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Anything To Be With You (Official Lyric Video),Lyric,198,2023-07-28T04:00:25Z,Friday,Summer,115689,1690,98,0.015455229105619375
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Shy Boy (Official Lyric Video),Lyric,210,2023-07-28T04:00:21Z,Friday,Summer,53748,1038,44,0.020130981617920665
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Shadow (Official Lyric Video),Lyric,170,2023-07-28T04:00:17Z,Friday,Summer,113205,1799,83,0.01662470738924959
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Psychedelic Switch (Official Lyric Video),Lyric,273,2023-07-28T04:00:16Z,Friday,Summer,452475,6736,397,0.015764406873307917
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Put It To Rest (Official Lyric Video),Lyric,198,2023-07-28T04:00:12Z,Friday,Summer,61376,1325,99,0.023201251303441084
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Aeroplanes (Official Lyric Video),Lyric,201,2023-07-28T04:00:11Z,Friday,Summer,76597,1450,88,0.020079115370053656
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Weekend Love (Official Lyric Video),Lyric,163,2023-07-28T04:00:10Z,Friday,Summer,51018,1252,57,0.02565761103924105
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - So Right (Official Lyric Video),Lyric,217,2023-07-28T04:00:05Z,Friday,Summer,196818,2831,153,0.015161214929528804
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Shy Boy (Official Visualizer),MV,208,2023-06-23T04:00:16Z,Friday,Summer,555010,13038,600,0.024572530224680637
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Surrender My Heart (Official Video),MV,372,2022-12-15T05:00:06Z,Thursday,Winter,1542376,34602,1418,0.023353579153202592
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Far Away (Official Lyric Video),Lyric,180,2022-10-21T04:00:29Z,Friday,Fall,201258,2698,114,0.013972115394170667
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Shooting Star (Official Lyric Video),Lyric,200,2022-10-21T04:00:23Z,Friday,Fall,237651,3326,168,0.01470223142338976
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Surrender My Heart (Official Lyric Video),Lyric,172,2022-10-21T04:00:20Z,Friday,Fall,783998,9213,357,0.012206663792509675
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Sideways (Official Lyric Video),Lyric,137,2022-10-21T04:00:18Z,Friday,Fall,208177,3304,132,0.016505185491192592
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Joshua Tree (Official Lyric Video),Lyric,151,2022-10-21T04:00:12Z,Friday,Fall,218554,3338,107,0.01576269480311502
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Anxious (Official Lyric Video),Lyric,178,2022-10-21T04:00:11Z,Friday,Fall,233791,3181,134,0.014179331111976081
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Go Find Yourself Or Whatever (Official Lyric Video),Lyric,285,2022-10-21T04:00:11Z,Friday,Fall,183037,3095,166,0.017816069974923104
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - No Thinking Over The Weekend (Official Lyric Video),Lyric,283,2022-10-21T04:00:11Z,Friday,Fall,128377,1976,118,0.01631133302694408
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - So Nice (Official Lyric Video),Lyric,221,2022-10-21T04:00:11Z,Friday,Fall,241537,3175,145,0.013745306102170682
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Talking To Yourself (Official Lyric Video),Lyric,175,2022-10-21T04:00:08Z,Friday,Fall,167623,2392,80,0.014747379536221163
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Bends (Official Lyric Video),Lyric,196,2022-10-21T04:00:06Z,Friday,Fall,188343,2657,137,0.014834636806252422
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Bad Thing Twice (Official Lyric Video),Lyric,197,2022-10-21T04:00:00Z,Friday,Fall,306620,4275,283,0.014865305589981084
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - The Loneliest Time (feat. Rufus Wainwright) [Official Lyric Video],Lyric,275,2022-10-21T04:00:00Z,Friday,Fall,344917,5236,136,0.015574761464352294
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,The Loneliest Time (feat. Rufus Wainwright) [Official Music Video],MV,270,2022-10-11T16:00:14Z,Tuesday,Fall,9002858,179865,5471,0.02058635157857649
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,The Loneliest Time (feat. Rufus Wainwright) [Official Audio],MV,275,2022-10-07T04:12:27Z,Friday,Fall,320607,9473,431,0.030891402870180627
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Talking To Yourself (Official Visual),MV,174,2022-09-16T04:00:09Z,Friday,Fall,1928322,34247,1346,0.018458016866477692
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Beach House (Official Video),MV,211,2022-08-12T16:00:10Z,Friday,Summer,2898534,74256,2090,0.026339521979041818
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Beach House (Official Lyric Video),Lyric,150,2022-08-05T04:00:22Z,Friday,Summer,426866,10198,468,0.024986763996195527
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Western Wind (Official Lyric Video),Lyric,227,2022-05-06T16:00:10Z,Friday,Spring,159730,4533,203,0.029650034433105866
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Western Wind (Official Video),MV,226,2022-05-06T04:00:13Z,Friday,Spring,3730481,62317,2401,0.01734843308409827
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Call Me Maybe (Lyric Video),Lyric,200,2021-09-20T16:00:36Z,Monday,Fall,280431,10305,822,0.0396782096130599
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - It’s Not Christmas Till Somebody Cries (Official Video),MV,175,2020-12-02T16:00:11Z,Wednesday,Winter,1417497,31079,1318,0.022855074825555186
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - It’s Not Christmas Till Somebody Cries (Official Audio),MV,173,2020-10-30T04:00:05Z,Friday,Fall,362178,9812,616,0.02879247220979739
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Never Get to Hold You (Audio),MV,255,2020-08-21T04:00:07Z,Friday,Summer,424253,10569,473,0.026026922614571964
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Love Again (Audio),MV,218,2020-08-21T04:00:06Z,Friday,Summer,649832,11998,444,0.019146487092048407
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen – Summer Love (Official Visualizer),MV,198,2020-08-05T16:00:47Z,Wednesday,Summer,119408,7983,447,0.07059828487203537
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Window (Audio),MV,200,2020-05-21T12:00:38Z,Thursday,Spring,376411,5823,235,0.01609410989583195
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Stay Away (Audio),MV,219,2020-05-21T12:00:37Z,Thursday,Spring,390205,5264,240,0.01410540613267385
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - This Is What They Say (Audio),MV,216,2020-05-21T12:00:30Z,Thursday,Spring,235414,4079,145,0.017942858113791024
EN,UC-4NAdFIP6h9BmtGUFL94Pg,4300000,Carly Rae Jepsen - Fake Mona Lisa (Audio),MV,134,2020-05-21T12:00:28Z,Thursday,Spring,209592,3494,249,0.017858506049849232
