style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - A Little More (Official Music Video),MV,277,2025-08-07T15:00:06Z,Thursday,Summer,3616718,134133,8005,0.0393002716827798
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Azizam (Live from Ipswich),Live,228,2025-07-30T16:50:22Z,Wednesday,Summer,295471,8229,569,0.02977618784923055
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (feat. Arijit Singh) [Lyric Video],Lyric,180,2025-07-25T18:31:22Z,Friday,Summer,1660520,52923,1925,0.0330306169151832
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Unplugged) [Lyric Video],Lyric,177,2025-07-11T22:54:21Z,Friday,Summer,609425,13818,652,0.023743692825204086
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Dance Edit),Dance,207,2025-07-04T15:19:49Z,Friday,Summer,1669704,44520,1728,0.02769832257693579
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Lyric Video),Lyric,180,2025-06-27T13:01:17Z,Friday,Summer,2335824,30340,1448,0.0136089020405647
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Live from Marseille),Live,251,2025-06-24T15:00:05Z,Tuesday,Summer,4261530,110753,3567,0.026826046044495757
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Drive (From F1® The Movie) [Official Music Video],MV,190,2025-06-20T13:01:13Z,Friday,Summer,9983752,188441,4458,0.019321293237251888
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Looper Performance Live from Old Delhi),Live,242,2025-06-05T18:35:07Z,Thursday,Summer,419119,23253,1036,0.05795251467960173
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Sapphire (Official Music Video),MV,184,2025-06-05T18:30:09Z,Thursday,Summer,151160135,3697952,139407,0.025386051686180355
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Azizam (Official Acoustic Video),MV,162,2025-05-23T15:00:18Z,Friday,Spring,721799,18002,848,0.026115303567890782
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Old Phone (Official Music Video),MV,293,2025-05-08T16:00:08Z,Thursday,Spring,12747168,119003,4611,0.009697369643202317
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Old Phone (Lyric Video),Lyric,222,2025-05-01T15:00:37Z,Thursday,Spring,5203190,93087,3494,0.01856188222993971
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Azizam (Official Music Video),MV,208,2025-04-17T16:00:06Z,Thursday,Spring,31034486,257975,35630,0.009460604567447968
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Azizam (Looper Performance Live from Old Delhi),Live,231,2025-04-11T14:00:07Z,Friday,Spring,1791715,45582,2382,0.02676988248689105
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Azizam (Lyric Video),Lyric,163,2025-04-07T18:01:41Z,Monday,Spring,2600856,36480,2060,0.014818198316246652
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,"Ed Sheeran x Zhou JieQiong - Kiss Me (Live From Xi Hu of Hangzhou, China)",Live,241,2025-03-05T14:00:45Z,Wednesday,Spring,916179,34766,1153,0.039205220813836594
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Happier (Lyric Video),Lyric,208,2025-01-21T15:00:02Z,Tuesday,Winter,621790,12012,638,0.020344489297029544
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,"Ed Sheeran - You Need Me, I Don't Need You (Lyric Video)",Lyric,221,2025-01-14T15:00:16Z,Tuesday,Winter,238048,9152,519,0.04062626025003361
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - The A Team (Lyric Video),Lyric,259,2025-01-01T15:01:07Z,Wednesday,Winter,852548,15889,737,0.019501541262192862
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Bad Habits (Live from the Mathematics Tour 2024),Live,294,2024-12-27T15:00:31Z,Friday,Winter,525001,12470,614,0.024921857291700395
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Collaborations Medley (Live from Mathematics Tour 2024),Live,405,2024-12-23T15:00:01Z,Monday,Winter,666394,6524,344,0.010306215242033992
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Lego House (Lyric Video),Lyric,191,2024-12-13T16:00:46Z,Friday,Winter,683852,12999,508,0.019751349707246596
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Give Me Love (Lyric Video),Lyric,219,2024-12-06T16:00:49Z,Friday,Winter,3387592,24453,802,0.007455148081587157
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran & Diljit Dosanjh - Shape of You x Naina (Live in Birmingham 2024),Live,302,2024-11-08T13:00:56Z,Friday,Fall,46421546,761256,14641,0.01671415682709059
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran & Arijit Singh - Perfect (Backstage Rehearsal),Live,227,2024-10-11T10:00:46Z,Friday,Fall,5379633,397097,9090,0.07550459297130492
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Perfect (Live from the Mathematics Tour 2024),Live,231,2024-10-04T16:00:45Z,Friday,Fall,3154799,36197,1069,0.011812479970990228
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - The A Team (Live from the Mathematics Tour 2024),Live,291,2024-09-27T08:00:26Z,Friday,Fall,509634,15016,472,0.030390437058751968
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,Ed Sheeran - Dive (Acoustic Performance),Live,209,2024-09-18T17:00:08Z,Wednesday,Fall,2059795,55027,1424,0.02740612536684476
EN,UC0C-w0YjGpqDXGB8IHb662A,58200000,"Ed Sheeran - Castle On The Hill [Live from Castelo de São Jorge, Lisbon]",Live,97,2024-09-13T15:00:32Z,Friday,Fall,313531,15302,636,0.050833888833959
