style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,#loomtour #imaginedragons,Live,60,2025-07-28T20:06:16Z,Monday,Summer,108041,4458,110,0.04228024546237077
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons: Live From The Hollywood Bowl (With The LA Film Orchestra) - Take Me To The Beach,Live,61,2025-03-24T13:00:27Z,Monday,Spring,137874,4771,286,0.03667841652523318
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons: Live From The Hollywood Bowl (With The LA Film Orchestra) - Whatever It Takes,Live,61,2025-02-26T23:32:04Z,Wednesday,Winter,252168,6786,385,0.02843739094571873
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - I Get Carried Away (Official Lyric Video),Lyric,195,2025-02-21T05:01:00Z,Friday,Winter,597391,9874,390,0.017181377021079997
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Warriors (Official Lyric Video),Lyric,171,2025-02-21T05:00:55Z,Friday,Winter,1686680,25518,564,0.015463514122418004
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - My Car (Official Lyric Video),Lyric,152,2025-02-21T05:00:52Z,Friday,Winter,556913,19381,568,0.03582067576084595
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Cowboy (Official Lyric Video),Lyric,160,2025-02-21T05:00:51Z,Friday,Winter,191291,5104,170,0.02757056003680257
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - The Ghost Intervention (Official Lyric Video),Lyric,194,2025-02-21T05:00:49Z,Friday,Winter,204066,5328,241,0.027290190428586828
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - It Comes Back To You (Official Lyric Video),Lyric,218,2025-02-21T05:00:48Z,Friday,Winter,228081,4346,93,0.019462383977621987
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - I Bet My Life - Demo (Official Lyric Video),Lyric,167,2025-02-21T05:00:44Z,Friday,Winter,112121,3655,113,0.03360655006644607
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Friction (Official Lyric Video),Lyric,202,2025-02-21T05:00:42Z,Friday,Winter,550852,7166,112,0.013212260280438303
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Gold (Official Lyric Video),Lyric,217,2025-02-21T05:00:40Z,Friday,Winter,165685,3486,108,0.021691764492862965
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Smoke and Mirrors (Official Lyric Video),Lyric,261,2025-02-21T05:00:40Z,Friday,Winter,330240,5601,119,0.017320736434108527
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Monica (Official Lyric Video),Lyric,199,2025-02-21T05:00:38Z,Friday,Winter,256923,4698,136,0.018814975693106493
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Destroyed (Official Lyric Video),Lyric,210,2025-02-21T05:00:35Z,Friday,Winter,141246,4182,97,0.03029466321170157
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Mayday (Official Lyric Video),Lyric,193,2025-02-21T05:00:35Z,Friday,Winter,109995,2857,69,0.026601209145870268
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Thief (Official Lyric Video),Lyric,228,2025-02-21T05:00:34Z,Friday,Winter,113698,2983,101,0.027124487677883516
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Black (Official Lyric Video),Lyric,204,2025-02-21T05:00:33Z,Friday,Winter,106617,3223,117,0.03132708667473292
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Strange Ways (Official Lyric Video),Lyric,151,2025-02-21T05:00:32Z,Friday,Winter,135945,3272,98,0.02478943690463055
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Shots (Official Lyric Video),Lyric,233,2025-02-21T05:00:31Z,Friday,Winter,205740,3516,84,0.017497812773403325
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Trouble (Official Lyric Video),Lyric,192,2025-02-21T05:00:31Z,Friday,Winter,95317,2244,47,0.02403558651657102
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - The Journey (Official Lyric Video),Lyric,161,2025-02-21T05:00:30Z,Friday,Winter,114920,3386,106,0.030386355725722243
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - The Fall (Official Lyric Video),Lyric,363,2025-02-21T05:00:24Z,Friday,Winter,324400,6878,129,0.021599876695437732
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Monster (Official Lyric Video),Lyric,250,2025-02-21T05:00:22Z,Friday,Winter,768580,18271,404,0.02429805615550756
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Who We Are (Official Lyric Video),Lyric,250,2025-02-21T05:00:20Z,Friday,Winter,278265,4721,94,0.017303649398954235
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Summer (Official Lyric Video),Lyric,219,2025-02-21T05:00:19Z,Friday,Winter,62416,1925,37,0.031434247628813125
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Dream (Official Lyric Video),Lyric,259,2025-02-21T05:00:18Z,Friday,Winter,1700365,34540,403,0.020550293613430057
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - I Bet My Life (Official Lyric Video),Lyric,193,2025-02-21T05:00:17Z,Friday,Winter,112106,2414,52,0.021997038517117727
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Second Chances (Official Lyric Video),Lyric,218,2025-02-21T05:00:11Z,Friday,Winter,71013,2184,33,0.03121963584132483
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Release (Official Lyric Video),Lyric,149,2025-02-21T05:00:09Z,Friday,Winter,43593,1868,31,0.043562039777028425
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Playin' Me (Lyric Video),Lyric,163,2025-02-21T05:00:08Z,Friday,Winter,95530,3272,85,0.035140793468020515
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Hopeless Opus (Official Lyric Video),Lyric,239,2025-02-21T05:00:08Z,Friday,Winter,120669,2622,57,0.022201228153046763
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - I'm So Sorry (Official Lyric Video),Lyric,231,2025-02-21T05:00:06Z,Friday,Winter,1733939,20859,435,0.012280708836931402
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - A-OK (Official Lyric Video),Lyric,143,2025-02-21T05:00:04Z,Friday,Winter,149653,7449,314,0.05187333364516582
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - The Unknown (Official Lyric Video),Lyric,205,2025-02-21T05:00:02Z,Friday,Winter,58712,2275,38,0.03939569423627197
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Polaroid (Official Lyric Video),Lyric,231,2025-02-21T05:00:00Z,Friday,Winter,333085,8621,226,0.02656078778690124
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Woke (Audio),MV,221,2025-02-21T05:00:00Z,Friday,Winter,194219,6587,398,0.03596455547603478
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons: Live From The Hollywood Bowl (With The LA Film Orchestra),Live,61,2025-02-05T15:01:47Z,Wednesday,Winter,147502,17774,162,0.12159835120879717
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons: Live From The Hollywood Bowl (With The LA Film Orchestra) - 'Fire In These Hills',Live,61,2025-02-05T14:00:27Z,Wednesday,Winter,207204,5812,237,0.029193451863863632
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Monica (Official Audio),MV,199,2025-01-27T17:01:01Z,Monday,Winter,945492,38047,1697,0.04203525783401658
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Take Me To The Beach (feat. Ado) (Official Lyric Video),Lyric,168,2024-12-16T05:00:06Z,Monday,Winter,27506034,636016,14968,0.023666952494859856
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Take Me to the Beach (Lyric Video) ft. Jungeli,Lyric,174,2024-11-01T04:00:27Z,Friday,Fall,295364,11051,362,0.03864045719857532
EN,UCT9zcQNlyht7fRlcjmflRSA,32900000,Imagine Dragons - Take Me To The Beach (feat. Ernia) (Official Lyric Video),Lyric,170,2024-10-18T04:00:05Z,Friday,Fall,1106369,25446,922,0.02383291650434891
