style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Sexyy Red - SWEET SPOT (Audio)",Audio,186,2025-07-11T04:23:55Z,Friday,Summer,2025179,61041,5612,0.03291215245664704
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Dijon - DEVOTION (Audio)",Audio,235,2025-07-11T04:23:53Z,Friday,Summer,1985251,47749,2443,0.02528244539355477
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Druski - THERAPY SESSION (Audio)",Audio,79,2025-07-11T04:23:53Z,Friday,Summer,2293191,16410,845,0.007524449555226756
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - GO BABY (Audio),Audio,195,2025-07-11T04:23:53Z,Friday,Summer,8277937,174438,6693,0.02188117643321035
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - DAISIES (Audio),Audio,177,2025-07-11T04:23:53Z,Friday,Summer,14115010,215381,10282,0.01598744882221125
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Lil B - DADZ LOVE (Audio)",Audio,146,2025-07-11T04:23:53Z,Friday,Summer,1621872,27089,1426,0.01758153541093255
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - BUTTERFLIES (Audio),Audio,194,2025-07-11T04:23:53Z,Friday,Summer,2027581,42920,2108,0.022207744104921087
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Cash Cobain, Eddie Benjamin - SWAG (Audio)",Audio,151,2025-07-11T04:23:53Z,Friday,Summer,2648334,87873,4826,0.03500276022586275
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - ALL I CAN TAKE (Audio),Audio,248,2025-07-11T04:23:53Z,Friday,Summer,3398093,74629,4674,0.023337501357378977
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - 405 (Audio),Audio,213,2025-07-11T04:23:53Z,Friday,Summer,1752589,39358,2097,0.023653577649979544
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - WALKING AWAY (Audio),Audio,244,2025-07-11T04:23:53Z,Friday,Summer,6787936,108453,5231,0.016747948124437237
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - THINGS YOU DO (Audio),Audio,109,2025-07-11T04:23:51Z,Friday,Summer,2656334,53758,2928,0.02133993692058303
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Gunna - WAY IT IS (Audio)",Audio,196,2025-07-11T04:23:51Z,Friday,Summer,2620723,65309,4134,0.02649764969437823
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - ZUMA HOUSE (Audio),Audio,84,2025-07-11T04:23:51Z,Friday,Summer,1615278,26746,1516,0.01749667859031077
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - TOO LONG (Audio),Audio,185,2025-07-11T04:23:51Z,Friday,Summer,2729038,70144,4405,0.027316951980881174
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - FIRST PLACE (Audio),Audio,201,2025-07-11T04:23:51Z,Friday,Summer,1735908,40750,2091,0.024679303281049458
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - GLORY VOICE MEMO (Audio),Audio,85,2025-07-11T04:23:51Z,Friday,Summer,2058126,20869,1055,0.010652409036181459
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,"Justin Bieber, Marvin Winans - FORGIVENESS (Audio)",Audio,91,2025-07-11T04:23:51Z,Friday,Summer,1417317,52756,4244,0.04021683222595933
EN,UCIwFjwMjI0y7PDBVEO9-bkQ,76000000,Justin Bieber - YUKON (Audio),Audio,164,2025-07-11T04:23:51Z,Friday,Summer,4155638,77382,3629,0.019494238911088983
