style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Firework Foundation 🤝 The Lifetimes Tour ♾️,Live,60,2025-08-01T22:51:25Z,Friday,Summer,57042,3149,144,0.05772939237754637
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,MEET THE LIFETIMES TOUR DANCERS 🧡♾️,Dance,86,2025-03-21T21:54:14Z,Friday,Spring,70210,2296,466,0.03933912548070075
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - HAS A HEART (Visualizer),Audio,168,2024-12-20T05:00:44Z,Friday,Winter,1223047,14674,1201,0.012979877306432214
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - NO TEARS FOR NEW YEAR'S (Visualizer),Audio,203,2024-12-20T05:00:42Z,Friday,Winter,355312,13748,958,0.04138897644886747
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - OK (Visualizer),Audio,160,2024-12-20T05:00:30Z,Friday,Winter,865689,17054,1676,0.02163594547233475
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - I WOKE UP (Visualizer),Audio,149,2024-12-20T05:00:02Z,Friday,Winter,233279,10057,711,0.046159319955932594
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry, Kim Petras - GORGEOUS (Lyric Video)",Lyric,198,2024-09-20T04:00:37Z,Friday,Fall,1982144,44930,2974,0.02416776984921378
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - WOMAN’S WORLD (Lyric Video),Lyric,164,2024-09-20T04:00:10Z,Friday,Fall,468034,8939,656,0.020500647388864913
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry - I'M HIS, HE'S MINE ft. Doechii (Official Video)",MV,203,2024-09-13T13:01:05Z,Friday,Fall,12002852,268418,19801,0.024012543018942498
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - LIFETIMES (Official Video),MV,226,2024-08-08T22:00:07Z,Thursday,Summer,14132895,255628,23682,0.019763112936167712
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - WOMAN’S WORLD (Modest Edit),LangVer,176,2024-07-12T19:45:29Z,Friday,Summer,258612,4524,773,0.02048242154269717
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - WOMAN’S WORLD (Official Video),MV,176,2024-07-11T23:00:08Z,Thursday,Summer,21591623,477838,92303,0.026405657416304462
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - I Think I'm Ready (Remixed / Remastered 2023 / Visualizer),Audio,157,2023-06-21T02:26:22Z,Wednesday,Summer,1388056,18228,1546,0.01424582293509772
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - A Cup Of Coffee (Remixed / Remastered 2023 / Visualizer),Audio,257,2023-06-21T02:23:30Z,Wednesday,Summer,353742,10995,1199,0.03447145094447365
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Thomas Rhett & Katy Perry - Where We Started | LIVE @ CMA Awards,Live,185,2022-11-10T18:42:21Z,Thursday,Fall,295993,12351,765,0.0443118587263888
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,#PLAY - Road to Residency: Stage 🎀 🚽 🍄 🗑 ✨ 🌈,Live,134,2022-03-18T20:35:38Z,Friday,Spring,294174,9445,553,0.03398668815055036
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Alesso, Katy Perry - When I'm Gone (Visualizer)",Audio,159,2022-02-04T05:00:10Z,Friday,Winter,950974,28687,1289,0.03152136651475224
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Alesso & Katy Perry - When I'm Gone (Live on Saturday Night Live),Live,171,2022-01-30T08:10:21Z,Sunday,Winter,1173624,50136,2555,0.04489598031396767
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Really Over (Acoustic / Live on Saturday Night Live),Live,203,2022-01-30T08:05:50Z,Sunday,Winter,967691,47846,2588,0.05211787647089825
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Alesso, Katy Perry - When I'm Gone (Official Music Video)",MV,177,2022-01-11T04:00:09Z,Tuesday,Winter,37328092,630500,69226,0.01874529241944646
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,When I'm Gone (Alesso & Katy Perry) / Walking On Air Medley Live from PLAY Las Vegas,Live,252,2022-01-01T16:59:40Z,Saturday,Winter,2437389,81862,4600,0.0354732051387776
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - All You Need Is Love (Visualizer),Audio,207,2021-10-25T16:51:18Z,Monday,Fall,1811455,60474,5399,0.036364690262799794
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry, Luísa Sonza, Bruno Martini - Cry About It Later (Lyric Video)",Lyric,160,2021-04-23T04:00:01Z,Friday,Spring,3299161,180075,15666,0.059330538885492404
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Firework (Live from Celebrating America Inauguration Special),Live,267,2021-01-21T06:20:42Z,Thursday,Winter,14060204,502121,25109,0.03749803345669807
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,I'll Be Home For Christmas / Cozy Little Christmas (Official Disney Holiday Singalong),MV,160,2020-12-18T05:00:06Z,Friday,Winter,841076,42516,2034,0.052967864972963206
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry, Darius Rucker - Only Love (Live From The AMA’s /2020)",Live,268,2020-11-24T17:48:59Z,Tuesday,Fall,1403322,51837,2743,0.0388934257426307
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Really Over/Not The End Of The World/Roar Medley (Live at T Mall Double 11 Gala),Live,317,2020-11-20T20:00:02Z,Friday,Fall,2640044,113478,6278,0.04536136518936806
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry, Tiësto, Aitana - Resilient (Tiësto Remix) (Official #OpenToBetter Film)",Remix,205,2020-11-17T07:00:10Z,Tuesday,Fall,10066212,148873,7170,0.015501660406119005
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry, Tiësto - Resilient (ft. Aitana) (Tiësto Remix) (Official Visualizer)",Audio,200,2020-11-13T00:00:05Z,Friday,Fall,2975354,110749,7292,0.039672926313978105
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Smile (Performance Video),Live,166,2020-07-14T15:00:16Z,Tuesday,Summer,15584196,400431,21126,0.027050288638566917
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Daisies (Lyric Video),Lyric,175,2020-05-26T04:00:02Z,Tuesday,Spring,2869722,105826,4365,0.03839779602344757
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Really Over (Live on Good Morning America / 2020),Live,172,2020-05-22T23:24:08Z,Friday,Spring,1264715,60574,2146,0.049592200614367664
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Daisies (Live On Good Morning America),Live,171,2020-05-22T23:03:10Z,Friday,Spring,1580575,68819,2452,0.04509181785109849
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry - Daisies (Live From American Idol Finale, May 17 2020)",Live,178,2020-05-18T02:00:00Z,Monday,Spring,3084755,126663,6741,0.04324622214730181
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Worn White (Official Music Video),MV,231,2020-03-05T05:00:10Z,Thursday,Spring,38693596,1351496,60064,0.03648045531875611
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry - Making Of ""Cozy Little Christmas"" Music Video",MV,202,2019-12-13T05:00:08Z,Friday,Winter,817977,26046,1052,0.0331280708381776
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Katy Perry - Making Of ""Harleys In Hawaii"" Music Video",MV,191,2019-10-30T20:45:55Z,Wednesday,Fall,371013,23062,1091,0.0651001447388636
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Harleys In Hawaii (Official),MV,195,2019-10-16T15:00:12Z,Wednesday,Fall,194187566,2671630,79304,0.014166375616449099
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Small Talk (Live On The Ellen Show),Live,201,2019-09-20T02:51:46Z,Friday,Fall,1033947,45061,1854,0.045374666206294906
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Small Talk (Official Video),MV,169,2019-08-30T16:00:12Z,Friday,Summer,36138497,630000,25532,0.018139437287610496
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Small Talk (Lyric Video),Lyric,170,2019-08-09T04:00:14Z,Friday,Summer,15092607,258874,10650,0.0178580148545576
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Really Over (Lyric Video),Lyric,230,2019-07-19T04:00:00Z,Friday,Summer,1510943,66392,2622,0.04567611087910001
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Making Of “Never Really Over” Music Video,MV,196,2019-06-17T14:00:04Z,Monday,Summer,1683811,66681,2185,0.04089888948343965
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Never Really Over (Official Video),MV,241,2019-05-31T03:57:41Z,Friday,Spring,160646231,2131984,108824,0.013948711937101095
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,"Zedd, Katy Perry - 365 (Official)",MV,264,2019-02-14T12:58:17Z,Thursday,Winter,158257594,2008345,83831,0.013220067025661973
EN,UCYvmuw-JtVrTZQ-7Y4kd63Q,46300000,Katy Perry - Making Of “Hey Hey Hey” Music Video,MV,292,2018-01-04T18:00:00Z,Thursday,Winter,6044086,111753,4473,0.01922970652634658
