style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Killah (Saturday Night Live/2025),Live,228,2025-03-09T08:53:12Z,Sunday,Spring,3350042,100625,5604,0.03170975169863542
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Abracadabra (Saturday Night Live/2025),Live,250,2025-03-09T08:48:52Z,Sunday,Spring,8606836,272866,11522,0.033042107459698315
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Perfect Celebrity (Official Audio),Audio,230,2025-03-07T05:01:01Z,Friday,Spring,4252253,78932,4355,0.01958655799643154
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Zombieboy (Official Audio),Audio,214,2025-03-07T05:01:01Z,Friday,Spring,5507149,100197,5307,0.019157644000552736
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Vanish Into You (Official Audio),Audio,246,2025-03-07T05:01:00Z,Friday,Spring,9250974,120026,5790,0.013600297655144204
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Garden Of Eden (Official Audio),Audio,240,2025-03-07T05:01:00Z,Friday,Spring,8736180,137016,6170,0.016390001121771757
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Disease (Official Audio),Audio,231,2025-03-07T05:00:56Z,Friday,Spring,1421858,24233,738,0.017562231952839173
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - LoveDrug (Official Audio),Audio,194,2025-03-07T05:00:53Z,Friday,Spring,2996283,50535,2653,0.017751327227768537
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Blade Of Grass (Official Audio),Audio,258,2025-03-07T05:00:41Z,Friday,Spring,1542153,39142,2139,0.026768420513399123
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Killah (feat. Gesaffelstein) [Official Audio] ft. Gesaffelstein,Audio,211,2025-03-07T05:00:32Z,Friday,Spring,2479330,48259,2923,0.02064348029507972
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - How Bad Do U Want Me (Official Audio),Audio,239,2025-03-07T05:00:30Z,Friday,Spring,6386231,80860,5815,0.013572167997054914
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Abracadabra (Official Audio),Audio,224,2025-03-07T05:00:28Z,Friday,Spring,7579592,72008,1707,0.009725457518029994
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,"Lady Gaga, Bruno Mars - Die With A Smile (Audio)",Audio,252,2025-03-07T05:00:21Z,Friday,Spring,541149,15308,581,0.029361599115955126
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Shadow Of A Man (Official Audio),Audio,201,2025-03-07T05:00:18Z,Friday,Spring,8270191,141192,5395,0.01772474178649562
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Don't Call Tonight (Official Audio),Audio,226,2025-03-07T05:00:17Z,Friday,Spring,2100734,40727,2340,0.020500929675056432
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - The Beast (Official Audio),Audio,235,2025-03-07T05:00:13Z,Friday,Spring,2462890,66574,3295,0.028368705057879157
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Abracadabra (Official Music Video),MV,270,2025-02-03T03:30:28Z,Monday,Winter,176748660,3245346,181239,0.01938676649656071
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Disease (The Poison Live),Live,306,2024-11-20T17:00:06Z,Wednesday,Fall,2324332,89574,4607,0.040519598749232034
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Disease (The Antidote Live),Live,273,2024-11-13T17:00:06Z,Wednesday,Fall,3939936,154144,9368,0.04150118174508419
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Disease (Official Music Video),MV,262,2024-10-30T01:00:34Z,Wednesday,Fall,44090617,912199,72301,0.02232901390334365
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Disease (Official Lyric Video),Lyric,231,2024-10-25T04:00:31Z,Friday,Fall,12746319,293355,26027,0.025056802673775858
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Happy Mistake (Jimmy Kimmel Live!),Live,252,2024-10-02T05:32:18Z,Wednesday,Fall,5556112,166781,12260,0.03222415242889272
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Get Happy (2024) (Official Audio),Audio,192,2024-09-27T04:00:48Z,Friday,Fall,710645,21756,934,0.03192874079181589
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Good Morning (Official Audio),Audio,167,2024-09-27T04:00:45Z,Friday,Fall,966281,29546,1325,0.031948263496850295
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - That's Entertainment (Official Audio),Audio,250,2024-09-27T04:00:45Z,Friday,Fall,449882,13958,654,0.03247962799133995
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - The Joker (Official Audio),Audio,175,2024-09-27T04:00:45Z,Friday,Fall,1895270,64863,3066,0.03584133131427184
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Smile (Official Audio),Audio,219,2024-09-27T04:00:41Z,Friday,Fall,428674,16798,803,0.04105917317122102
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Folie à Deux (Official Audio),Audio,179,2024-09-27T04:00:32Z,Friday,Fall,648648,22026,1053,0.03558016058016058
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - If My Friends Could See Me Now (Official Audio),Audio,162,2024-09-27T04:00:29Z,Friday,Fall,389374,12776,555,0.0342370060661472
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - World On A String (Official Audio),Audio,158,2024-09-27T04:00:25Z,Friday,Fall,432816,13722,578,0.03303944401316033
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Close To You (Official Audio),Audio,165,2024-09-27T04:00:21Z,Friday,Fall,1752538,44948,1564,0.026539795428116252
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,"Lady Gaga - Oh, When The Saints (Official Audio)",Audio,223,2024-09-27T04:00:20Z,Friday,Fall,471192,15324,862,0.03435117743934532
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Happy Mistake (Official Audio),Audio,246,2024-09-27T04:00:08Z,Friday,Fall,1510186,47090,2869,0.03308135554163527
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - That's Life (Official Audio),Audio,185,2024-09-27T04:00:06Z,Friday,Fall,1083766,36957,1538,0.03551966014803934
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Gonna Build A Mountain (Official Audio),Audio,172,2024-09-27T04:00:05Z,Friday,Fall,364457,16183,852,0.04674076777232979
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",MV,253,2024-08-16T04:00:36Z,Friday,Summer,1252493673,12016826,540594,0.010025934877516941
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Mon Truc en Plumes (Live from The 2024 Paris Olympics),Live,303,2024-07-27T19:00:10Z,Saturday,Summer,4964593,108827,6793,0.02328891814495166
EN,UCNL1ZadSjHpjm4q9j2sVtOA,29100000,Lady Gaga - Hold My Hand (Live From The Oscars/2023),Live,247,2023-03-13T19:57:55Z,Monday,Spring,11633313,219795,10424,0.019789633443198854
