style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Sunday Morning (Live from the Today Show),Live,219,2025-08-01T20:35:15Z,Friday,Summer,169641,4154,231,0.02584870402791778
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - This Love (Live from the Today Show),Live,225,2025-08-01T20:32:41Z,Friday,Summer,231159,5928,281,0.026860299620607462
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - California (Live from the Today Show),Live,140,2025-08-01T20:24:19Z,Friday,Summer,32660,1667,110,0.05440906307409676
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - All Night (Live from the Today Show),Live,168,2025-08-01T20:21:15Z,Friday,Summer,55791,2176,114,0.041046046853435145
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - California (Official Lyric Video),Lyric,137,2025-07-17T16:01:05Z,Thursday,Summer,290264,9129,501,0.03317669431965383
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - “All Night” Official Music Video,MV,166,2025-06-27T04:00:07Z,Friday,Summer,1744280,30551,1539,0.01839727566675075
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - All Night (Lyric Video),Lyric,166,2025-06-23T15:41:56Z,Monday,Summer,246985,8224,550,0.035524424560195965
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Priceless ft. LISA (Official Lyric Video),Lyric,164,2025-05-16T19:05:17Z,Friday,Spring,1105839,16243,755,0.015371134496070405
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Priceless ft. LISA (Official Video),MV,172,2025-05-02T04:00:07Z,Friday,Spring,27737732,818403,56212,0.031531597464421385
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Middle Ground (Official BTS),MV,99,2023-06-02T15:00:00Z,Friday,Summer,957117,13616,364,0.014606364739107132
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Middle Ground (Live on The Voice),Live,231,2023-05-25T23:03:27Z,Thursday,Spring,422165,9571,443,0.023720583184299978
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Middle Ground (Official Music Video),MV,223,2023-05-23T16:00:29Z,Tuesday,Spring,6820467,91130,3008,0.013802280694269175
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Middle Ground (Official Lyric Video),Lyric,221,2023-05-19T04:00:20Z,Friday,Spring,926372,18231,1031,0.020792942791880584
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Memories (Live From The Today Show),Live,199,2021-06-14T23:12:31Z,Monday,Summer,4424006,67176,1885,0.015610512282307032
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Beautiful Mistakes ft. Megan Thee Stallion (Live From The Today Show),Live,228,2021-06-14T23:10:55Z,Monday,Summer,1749183,26837,742,0.015766789409684408
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Lost (Live From The Today Show),Live,172,2021-06-14T22:07:44Z,Monday,Summer,1703049,38083,1306,0.023128518322138705
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Can't Leave You Alone ft. Juice WRLD (Official Lyric Video),Lyric,201,2021-06-11T04:00:25Z,Friday,Summer,3672999,90904,3156,0.02560850139082532
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Memories Remix ft. Nipsey Hussle & YG (Official Lyric Video),Remix,188,2021-06-11T04:00:21Z,Friday,Summer,1288981,27294,856,0.02183895650905638
EN,UCBVjMGOIkavEAhyqpxJ73Dw,37800000,Maroon 5 - Lovesick (Official Lyric Video),Lyric,185,2021-06-11T04:00:17Z,Friday,Summer,4224875,54391,871,0.013080150300304743
