style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - End of the Day (Audio),MV,197,2020-08-24T07:57:20Z,Monday,Summer,16844509,363355,14655,0.02244114090829243
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - History (Audio),MV,189,2020-08-23T23:01:01Z,Sunday,Summer,1801870,48980,1847,0.028207917330329048
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - A.M. (Audio),MV,211,2020-08-23T23:01:01Z,Sunday,Summer,5527419,101614,3224,0.018966899379258204
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Infinity (Audio),MV,252,2020-08-23T23:01:01Z,Sunday,Summer,11012437,198692,6651,0.01864646308532798
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - I Want to Write You a Song (Audio),MV,181,2020-08-23T23:01:01Z,Sunday,Summer,3234520,94264,3043,0.030083907349467618
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Temporary Fix (Audio),MV,177,2020-08-23T23:01:01Z,Sunday,Summer,5830376,97767,1912,0.017096496006432517
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Perfect (Audio),MV,232,2020-08-23T23:01:00Z,Sunday,Summer,3264779,42694,858,0.013339953485366084
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Never Enough (Audio),MV,215,2020-08-23T23:01:00Z,Sunday,Summer,3069197,63326,3692,0.021835678843684522
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Walking in the Wind (Audio),MV,205,2020-08-23T23:01:00Z,Sunday,Summer,12003239,196598,7097,0.01697000284673162
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - If I Could Fly (Audio),MV,232,2020-08-23T23:01:00Z,Sunday,Summer,8067359,163153,133783,0.03680708891224501
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Hey Angel (Audio),MV,242,2020-08-23T23:01:00Z,Sunday,Summer,4497588,82830,2629,0.019001073464265734
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - What a Feeling (Audio),MV,203,2020-08-23T23:01:00Z,Sunday,Summer,8571309,139215,5772,0.016915385969634277
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Long Way Down (Audio),MV,194,2020-08-23T23:01:00Z,Sunday,Summer,2666843,68950,2544,0.026808477289439237
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Olivia (Audio),MV,180,2020-08-23T23:01:00Z,Sunday,Summer,16397597,292414,8328,0.018340614176577213
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Love You Goodbye (Audio),MV,199,2020-08-23T23:01:00Z,Sunday,Summer,5984422,103319,3492,0.01784817314019633
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Drag Me Down (Audio),MV,194,2020-08-23T23:01:00Z,Sunday,Summer,2978096,69479,2747,0.02425240825010342
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Wolves (Audio),MV,244,2020-08-23T23:01:00Z,Sunday,Summer,5283399,78153,1674,0.015109023566079337
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Illusion (Audio),MV,196,2020-08-16T23:01:01Z,Sunday,Summer,340572,16955,529,0.05133716218596949
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Fireproof (Audio),MV,176,2020-08-16T23:01:01Z,Sunday,Summer,855871,36672,1956,0.04513296980502903
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Change Your Ticket (Audio),MV,269,2020-08-16T23:01:01Z,Sunday,Summer,312559,17727,743,0.0590928432711904
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Girl Almighty (Audio),MV,204,2020-08-16T23:01:00Z,Sunday,Summer,287929,28037,1840,0.10376516432870604
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Steal My Girl (Audio),MV,230,2020-08-16T23:01:00Z,Sunday,Summer,708455,19610,452,0.02831795950342647
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Once in a Lifetime (Audio),MV,160,2020-08-16T23:01:00Z,Sunday,Summer,250885,13855,497,0.05720549255635052
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Where Do Broken Hearts Go (Audio),MV,231,2020-08-16T23:01:00Z,Sunday,Summer,413978,17321,523,0.04310373981226055
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Act My Age (Audio),MV,201,2020-08-16T23:01:00Z,Sunday,Summer,295029,16883,498,0.05891285263482573
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Spaces (Audio),MV,259,2020-08-16T23:01:00Z,Sunday,Summer,255868,13333,452,0.05387543577156972
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - 18 (Audio),MV,250,2020-08-16T23:01:00Z,Sunday,Summer,584651,31064,2038,0.05661839285317224
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Clouds (Audio),MV,234,2020-08-16T23:01:00Z,Sunday,Summer,244244,27421,2301,0.12168978562421186
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Ready to Run (Audio),MV,198,2020-08-16T23:01:00Z,Sunday,Summer,430672,14072,333,0.03344772820150834
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Stockholm Syndrome (Audio),MV,217,2020-08-16T23:01:00Z,Sunday,Summer,362910,14441,502,0.04117549805736959
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - Night Changes (Audio),MV,229,2020-08-16T23:01:00Z,Sunday,Summer,643450,24131,810,0.03876136451938768
EN,UCb2HGwORFBo94DmRx4oLzow,39600000,One Direction - No Control (Audio),MV,202,2020-08-16T23:01:00Z,Sunday,Summer,525849,22328,753,0.043892828549640675
