style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - I Can Do It With A Broken Heart (Dombresky Remix),Remix,191,2024-09-13T04:00:26Z,Friday,Fall,996185,46473,4821,0.05149043601339109
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - I Can Do It With A Broken Heart (Official Video),MV,223,2024-08-20T22:00:07Z,Tuesday,Summer,35942446,959258,46894,0.027993420369888014
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - Fortnight (feat. Post Malone) (Cults Remix),Remix,200,2024-07-09T04:00:20Z,Tuesday,Summer,1425162,35971,5253,0.02892583439637038
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - Fortnight (feat. Post Malone) (Acoustic),MV,229,2024-07-09T04:00:14Z,Tuesday,Summer,2380016,86485,5170,0.03851024530927523
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - Fortnight (feat Post Malone) (BLOND:ISH Remix),Remix,222,2024-05-22T00:00:43Z,Wednesday,Spring,2859933,75101,6612,0.02857164835679717
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - I Hate It Here (Official Lyric Video),Lyric,248,2024-04-20T00:10:39Z,Saturday,Spring,7663513,104556,5090,0.014307537548380227
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - The Black Dog (Official Lyric Video),Lyric,244,2024-04-20T00:10:34Z,Saturday,Spring,10095693,94254,2791,0.009612514960587648
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - The Alchemy (Official Lyric Video),Lyric,202,2024-04-20T00:00:34Z,Saturday,Spring,15576401,107059,2724,0.007048033753111518
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - Who’s Afraid of Little Old Me? (Official Lyric Video),Lyric,339,2024-04-20T00:00:33Z,Saturday,Spring,28816094,223206,7278,0.00799844697896946
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - Florida!!! (feat. Florence + The Machine) (Official Lyric Video),Lyric,220,2024-04-20T00:00:31Z,Saturday,Spring,14426574,115874,3619,0.008282839709552663
EN,UCqECaJ8Gagnn7YCbPEzWH6g,61300000,Taylor Swift - The Bolter (Official Lyric Video),Lyric,243,2024-04-20T00:00:26Z,Saturday,Spring,6493975,57757,1550,0.009132619081533268
