style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Kiss Kiss Kiss (Lyric Video),Lyric,130,2025-08-08T11:00:06Z,Friday,Summer,101055,7920,398,0.08231161248824898
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【日本人ソロ・史上最年少】AKASAKI - 1st ASIA TOUR「KONNICHIWA」2025,Live,73,2025-07-26T11:30:19Z,Saturday,Summer,9684,472,71,0.05607187112763321
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】四季回生 / Shiki Kaisei (Lyric Video),Lyric,148,2025-07-20T11:00:06Z,Sunday,Summer,224681,7173,320,0.03334950440847246
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】全身前礼 / Zenshin Zenrei（Lyric Video）,Lyric,179,2025-06-11T11:00:07Z,Wednesday,Summer,300784,7426,551,0.026520692590031383
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】プレデター / Predator（Lyric Video）,Lyric,217,2025-05-14T11:00:06Z,Wednesday,Spring,911692,17969,840,0.020630870952032046
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】徘徊 / HAIKAI（Lyric Video）,Lyric,191,2025-04-16T11:00:05Z,Wednesday,Spring,2680291,59356,1329,0.022641198287797856
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】爆速論理ness（Lyric Video）,Lyric,154,2025-03-19T11:00:06Z,Wednesday,Spring,2079238,30587,1382,0.01537534423668671
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】薔薇と散る / Fall With The Rose (Lyric Video),Lyric,188,2025-02-19T11:00:06Z,Wednesday,Winter,681727,13895,475,0.02107881894071967
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】ルーツ / Roots（Acoustic School 1st take）,MV,202,2025-02-05T11:00:07Z,Wednesday,Winter,101839,3535,230,0.03697011950235175
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl Remix - DIGEST VIDEO（Out Now!）,Remix,156,2025-01-28T15:00:57Z,Tuesday,Winter,40288,1252,69,0.03278891977760127
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - heiakim Remix (Lyric Video),Remix,192,2025-01-22T11:00:06Z,Wednesday,Winter,241096,8339,427,0.036358960745926934
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,"【AKASAKI】Bunny Girl - maeshima soshi, だてぃが Remix（Lyric Video)",Remix,211,2025-01-15T11:00:07Z,Wednesday,Winter,85448,2922,179,0.036291077614455575
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】波まかせ / Drifting - Acoustic School 1st take,MV,207,2025-01-12T11:00:08Z,Sunday,Winter,168976,4727,247,0.029436132941956253
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - lilbesh ramko Remix（Lyric Video）,Remix,203,2025-01-08T11:00:06Z,Wednesday,Winter,43262,1568,108,0.038740696223013266
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】あどけ泣く / Adokenaku（Lyric Video）,Lyric,137,2025-01-04T11:00:06Z,Saturday,Winter,557306,11334,448,0.02114098897194719
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - wotaku Remix（Lyric Video）,Remix,233,2024-12-25T11:00:06Z,Wednesday,Winter,94897,3490,172,0.038589207245750656
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - TeddyLoid Remix（Lyric Video）,Remix,204,2024-12-18T11:00:06Z,Wednesday,Winter,161375,5803,259,0.037564678543764524
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】弾きこもり / Hikikomori - Acoustic Boat 1st take,MV,207,2024-12-14T11:00:07Z,Saturday,Winter,130556,3588,178,0.02884585924813873
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】ルーツ / Roots（Lyric Video）,Lyric,196,2024-12-04T11:00:06Z,Wednesday,Winter,2162253,30657,1440,0.014844238856415046
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】今夜は君と / Tonight With You - Acoustic Boat 1st take,MV,256,2024-11-30T11:00:08Z,Saturday,Fall,127092,4202,257,0.035084820445031945
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - English（Lyric Video）,Lyric,217,2024-11-20T11:00:06Z,Wednesday,Fall,510092,20787,1691,0.04406656054201987
JPop,UC3PZvqEE-zprmx70h3Q-zog,450000,【AKASAKI】Bunny Girl - Natural（Music Video）,MV,227,2024-11-13T11:00:07Z,Wednesday,Fall,4598750,50366,1280,0.011230443055178037
