style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】橙ゲノム 歌いました,Cover,220,2025-07-22T11:01:12Z,Tuesday,Summer,556089,49128,1892,0.0917479036629028
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】エゴロック(long ver.)　歌いました,LangVer,169,2025-07-05T11:00:49Z,Saturday,Summer,2434649,99423,3295,0.0421900651798267
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】十戒（1984）（Lyric Video）,Lyric,213,2025-05-01T11:00:15Z,Thursday,Spring,1918238,54886,1847,0.0295755792555459
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】唱『劇場版 Ado SPECIAL LIVE 心臓』,Live,198,2025-04-30T14:01:06Z,Wednesday,Spring,768415,29840,857,0.039948465347501
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】ヒバナ 歌いました,Cover,206,2025-04-25T11:00:32Z,Friday,Spring,8647324,184248,3871,0.0217545913625995
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】わたしに花束 Official Audio,MV,227,2025-03-09T15:00:20Z,Sunday,Spring,2039823,83331,3092,0.0423678917239387
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】エルフ Lyric Video,Lyric,266,2025-02-21T11:01:03Z,Friday,Winter,1433343,50231,1208,0.0358874323870839
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【LIVE映像】桜日和とタイムマシン with 初音ミク 国立競技場 2024.4.28【Ado】,Live,371,2024-10-25T11:00:06Z,Friday,Fall,3079779,88689,2269,0.0295339373377115
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】シュガーバイン 歌いました,Cover,258,2024-09-23T11:03:40Z,Monday,Fall,1350966,48192,1517,0.0367951525056885
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】「唱（TeddyLoid Remix) 」,Remix,228,2024-09-13T11:00:17Z,Friday,Fall,504493,20856,495,0.0423216972287028
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】ルル（Sped Up ver.）,LangVer,159,2024-08-10T03:00:17Z,Saturday,Summer,1149971,48002,1597,0.0431306528599416
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】アクシデントコーディネイター 歌いました【Re】,Cover,246,2024-08-01T11:00:49Z,Thursday,Summer,942726,39890,1244,0.0436330386559827
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】MIRROR（Slowed Down ver.）,LangVer,207,2024-07-30T11:00:34Z,Tuesday,Summer,298968,17461,638,0.0605382515854539
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】とても素敵な六月でした 歌いました,Cover,285,2024-06-30T11:00:04Z,Sunday,Summer,4737339,105042,2208,0.0226392918049563
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】渇愛論II 歌いました,Cover,178,2024-06-27T11:00:49Z,Thursday,Summer,1251177,47939,1106,0.0391990901367272
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】MIRROR（Sped Up ver.）,LangVer,139,2024-06-26T03:00:23Z,Wednesday,Summer,264409,16386,626,0.0643397161216146
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,"【LIVE映像】愛して愛して愛して PEACOCK THEATER  Los Angeles, CA 2024.3.29【Ado】",Live,256,2024-06-07T11:00:07Z,Friday,Summer,21109348,518107,7890,0.0249177283921796
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,"【Ado】THE FIRST WORLD TOUR ""Wish"" ダイジェスト映像",Live,199,2024-04-26T11:00:17Z,Friday,Spring,290944,15046,669,0.0540138308402991
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,"【Ado】 THE FIRST WORLD TOUR ""Wish"" ロサンゼルスプロジェクション",Live,229,2024-04-19T09:00:07Z,Friday,Spring,114463,9121,404,0.0832146632536278
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【LIVE映像】うっせぇわ　喜劇〜カムパネルラ〜蜃気楼〜マーズ【Ado】,Live,216,2024-04-05T12:00:13Z,Friday,Spring,3076798,68753,1786,0.0229261069462473
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【初オリジナル曲】イモでもいいじゃん/すいぽてっ！【新人歌い手グループ】,MV,181,2024-04-01T01:58:59Z,Monday,Spring,732601,40308,2237,0.0580739038030251
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】夜のくじら 歌いました,Cover,225,2024-03-25T17:59:58Z,Monday,Spring,1349578,50843,1678,0.0389166094882993
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【LIVE映像】Ready Steady 横浜アリーナ 2023.9.17【Adoと吉乃と弱酸性】,Live,211,2024-01-23T11:00:07Z,Tuesday,Winter,2457744,72498,2569,0.0305430508629051
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】メーベル 歌いました,Cover,193,2024-01-10T11:00:13Z,Wednesday,Winter,2546355,87648,2062,0.0352307514074039
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】唱 / Show (Jax Jones Remix),Remix,155,2023-12-31T03:00:25Z,Sunday,Winter,2757143,74882,1894,0.0278462161737711
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】ブリキノダンス 歌いました,Cover,202,2023-11-29T11:00:09Z,Wednesday,Fall,21643115,262499,4660,0.012343833131229
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【LIVE映像】unravel  日本武道館 2023.8.30【Ado】,Live,239,2023-11-21T11:00:11Z,Tuesday,Fall,16369768,329317,7906,0.0206003530410449
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】unravel 歌いました,Cover,241,2023-11-15T11:00:09Z,Wednesday,Fall,38216311,728945,13746,0.0194338747138623
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Adoと初音ミク】カルチャ 歌いました #MikuChallenge,Cover,153,2023-11-03T12:00:03Z,Friday,Fall,6444621,152422,2064,0.0239713087860403
JPop,UCln9P4Qm3-EAY4aiEPmRwEA,8360000,【Ado】Blue Flame cover (원곡：LE SSERAFIM),Cover,202,2023-11-01T11:00:31Z,Wednesday,Fall,3913127,125497,2259,0.0326480587008803
