style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「Eclipse （塞壬唱片-MSR）」Music Video（ゲーム「アークナイツ」6周年記念テーマソング）,MV,185,2025-04-28T11:00:43Z,Monday,Spring,577907,17543,494,0.0312109041766235
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer 「SCOPE」Lyric Video,Lyric,177,2025-02-19T11:00:18Z,Wednesday,Winter,239174,8687,203,0.0371695920125097
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「うつくしい世界」Lyric Video,Lyric,245,2025-01-18T11:00:46Z,Saturday,Winter,1673882,23290,385,0.0141437687961278
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「SCOPE」Music Video,MV,174,2025-01-15T12:00:07Z,Wednesday,Winter,3891821,21888,504,0.0057536048035097
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「月影」Lyric Video,Lyric,207,2024-08-29T11:00:55Z,Thursday,Summer,755556,12439,192,0.0167174901661822
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「Wren」Lyric Video,Lyric,183,2024-08-28T11:00:37Z,Wednesday,Summer,496636,10368,171,0.0212207733631875
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「Sign」MUSIC VIDEO（TVアニメ『狼と香辛料MERCHANT MEETS THE WISE WOLF』オープニングテーマ）,MV,222,2024-07-08T11:00:07Z,Monday,Summer,1990492,16345,411,0.008418019263579
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer E.P.「遥か / 800 / End of All / Ref:rain -3 nuits ver.-」CROSS FADE,LangVer,166,2024-05-27T09:30:02Z,Monday,Spring,143503,3485,80,0.0248426862156191
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「Ref:rain -3 nuits ver.-」Music Video,MV,294,2024-05-21T11:00:33Z,Tuesday,Spring,1697360,24867,534,0.0149650044775415
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer「白色蜉蝣」 Music Video,MV,203,2023-11-14T12:00:11Z,Tuesday,Fall,4384081,34746,561,0.0080534552167261
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer 「SKYLIGHT」 Music Video（Supported by STAR SPHERE）,MV,218,2023-09-12T09:00:11Z,Tuesday,Fall,1324837,14945,231,0.0114549940860649
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer 「Resonantia」 MUSIC VIDEO,MV,242,2023-07-11T11:00:11Z,Tuesday,Summer,5745367,21945,366,0.0038833028420986
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,"「残響散歌」from Aimer 10th Anniversary Final ""Cycle de 10 ans""（2022.10.16大阪城ホール）",LangVer,220,2023-07-01T05:00:05Z,Saturday,Summer,3773322,27658,405,0.0074372131506402
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer 「あてもなく」 MUSIC VIDEO（アニメ「王様ランキング 勇気の宝箱」エンディング・テーマ）,MV,250,2023-04-22T11:00:08Z,Saturday,Spring,4505415,28306,533,0.0064009641731116
JPop,UCR1zT1s524Hbc85bdvno_8w,2200000,Aimer 「escalate」 MUSIC VIDEO&CROSSFADE（アニメ「NieR:Automata Ver1.1a」OPテーマ）,MV,316,2023-02-25T12:00:08Z,Saturday,Winter,7422498,60037,840,0.0082016862786625
