style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - いちについて【Official Audio】,MV,374,2025-07-22T15:01:10Z,Tuesday,Summer,421747,9599,571,0.02411398302773938
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - 君の夢を聞きながら、僕は笑えるアイデアを！ 【OFFICIAL MUSIC VIDEO】,MV,202,2025-04-17T11:00:06Z,Thursday,Spring,1032776,18451,1208,0.01903510538587264
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - スケッチ 【OFFICIAL MUSIC VIDEO】,MV,272,2025-03-12T11:00:06Z,Wednesday,Spring,3341165,31335,1673,0.009879188845806778
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 朝が嫌い【OFFICIAL MUSIC VIDEO】,MV,320,2024-10-31T11:00:32Z,Thursday,Fall,2005643,25090,1181,0.01309854246244222
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 猫にジェラシー【Live】,Live,211,2024-09-11T11:00:06Z,Wednesday,Fall,1012858,13605,598,0.014022696172612549
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – ラッキーカラー【MAKING MOVIE】,MV,321,2024-09-05T11:00:07Z,Thursday,Fall,106562,2897,148,0.02857491413449447
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 愛の花【AIMYON TOUR 2023 マジカル・バスルーム  IN TOKYO GARDEN THEATER】,Live,243,2024-08-28T11:00:56Z,Wednesday,Summer,1724129,10932,446,0.0065992741842402745
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – ざらめ【OFFICIAL MUSIC VIDEO】,MV,282,2024-07-29T11:00:08Z,Monday,Summer,5269068,34846,1450,0.0068885047602346376
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – ラッキーカラー【OFFICIAL MUSIC VIDEO】,MV,226,2024-07-16T11:00:07Z,Tuesday,Summer,7047963,48349,1134,0.0070208938384040895
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 会いに行くのに【OFFICIAL MUSIC VIDEO】,MV,320,2024-05-22T11:00:07Z,Wednesday,Spring,9877909,49822,1855,0.005231572795416519
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 愛の花【ANIMATION VIDEO】,MV,250,2023-12-30T03:00:06Z,Saturday,Winter,624445,9875,410,0.016470625915813244
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – あのね【OFFICIAL MUSIC VIDEO】,MV,416,2023-12-06T11:00:07Z,Wednesday,Winter,3890999,35188,1734,0.009489079796730865
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – ノット・オーケー【OFFICIAL LIVE VIDEO】,Live,304,2023-11-03T11:00:42Z,Friday,Fall,1725080,15957,938,0.009793748695712663
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – ノット・オーケー【OFFICIAL MUSIC VIDEO】,MV,302,2023-10-11T11:00:10Z,Wednesday,Fall,2356574,24819,1298,0.011082613998117606
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 愛の花【ACOUSTIC MUSIC VIDEO】,MV,247,2023-09-21T11:00:27Z,Thursday,Fall,1450239,16182,526,0.011520859665200011
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – さよならの今日に【AIMYON 弾き語りLIVE 2022 −サーチライト− in 阪神甲子園球場】,Live,325,2023-05-31T09:00:43Z,Wednesday,Spring,964201,10414,411,0.011226912230955994
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,"あいみょん – 双葉【AIMYON TOUR 2022 ""ま・あ・る"" IN PIA ARENA MM】",Live,285,2023-05-27T09:00:22Z,Saturday,Spring,1526893,9583,385,0.006528289801577452
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,"あいみょん – ユラユラ【AIMYON TOUR 2022 ""ま・あ・る"" IN PIA ARENA MM】",Live,201,2023-05-14T06:00:01Z,Sunday,Spring,1400229,10266,450,0.0076530338965983425
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 愛の花【OFFICIAL MUSIC VIDEO】,MV,254,2023-05-10T11:00:12Z,Wednesday,Spring,25962674,123121,4225,0.004904964719735725
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,"あいみょん – 愛を伝えたいだとか【AIMYON TOUR 2022 ""ま・あ・る"" IN PIA ARENA MM】",Live,251,2023-05-03T03:00:31Z,Wednesday,Spring,4558437,36266,927,0.008159156307304455
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - 「瞳へ落ちるよレコード」レコード工場見学【MAKING MOVIE】,MV,295,2023-01-12T09:00:04Z,Thursday,Winter,136819,3120,145,0.023863644669234536
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 姿【AIMYON 弾き語りLIVE 2022 -サーチライト- in 阪神甲子園球場】,Live,240,2023-01-05T09:00:16Z,Thursday,Winter,1909373,18289,496,0.009838308177605948
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 強くなっちゃったんだ、ブルー【OFFICIAL MUSIC VIDEO】,MV,209,2022-09-09T11:00:10Z,Friday,Fall,2754258,34326,873,0.012779848510923814
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 3636【OFFICIAL MUSIC VIDEO】,MV,267,2022-08-16T13:00:13Z,Tuesday,Summer,9620096,61764,1627,0.006589435282142715
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん –「AIMYON 弾き語りTOUR 2021“傷と悪魔と恋をした！”」【off shot movie “オフ恋ムービー” Digest】,Live,313,2022-08-13T09:00:17Z,Saturday,Summer,167412,4721,170,0.029215348959453324
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,"あいみょん – ポプリの葉 【AIMYON 弾き語りTOUR 2021 ""傷と悪魔と恋をした♡ in 武道館""】",Live,208,2022-07-12T11:00:05Z,Tuesday,Summer,669567,8716,335,0.01351769128406866
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,"あいみょん – ハート【AIMYON 弾き語りTOUR 2021 “傷と悪魔と恋をした♡ in 武道館""】",Live,286,2022-06-30T11:00:07Z,Thursday,Summer,2581356,18634,499,0.007411995865738782
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 初恋が泣いている【OFFICIAL MUSIC VIDEO】,MV,276,2022-06-08T11:00:10Z,Wednesday,Summer,11232308,75594,2173,0.0069235102883574776
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - 双葉【OFFICIAL MUSIC VIDEO】,MV,317,2022-03-31T11:00:13Z,Thursday,Spring,9297222,63385,1981,0.007030702289350518
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,AIMYON -You Don’t Listen to Rock,MV,313,2022-01-31T08:00:15Z,Monday,Winter,123831,4470,271,0.03828605115035815
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - ハート【OFFICIAL MUSIC VIDEO】,MV,295,2021-11-12T10:00:10Z,Friday,Fall,30746789,170548,2616,0.005631937695998109
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,AIMYON -Till I Know What Love Is(I'm Never Gonna Die),LangVer,328,2021-08-26T12:00:33Z,Thursday,Summer,878507,10471,388,0.012360743852923198
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん – 愛を知るまでは 【AIMYON 弾き語りTOUR 2021 “傷と悪魔と恋をした！” at 河⼝湖ステラシアター】,Live,286,2021-08-02T13:00:01Z,Monday,Summer,5215927,34666,1219,0.006879889231578586
JPop,UCQVhrypJhw1HxuRV4gX6hoQ,2260000,あいみょん - 青春と青春と青春【OFFICIAL MUSIC VIDEO】,MV,318,2021-07-09T09:00:13Z,Friday,Summer,4125206,37058,1557,0.009360744651297414
