style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『Umitsuki』 Music Video【TVアニメ「彼女、お借りします」第4期オープニングテーマ 】,MV,243,2025-07-11T15:01:37Z,Friday,Summer,464171,7393,365,0.016713668023206965
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『アリシア -season 03-』 Lyric Video【TVアニメ「マギアレコード 魔法少女まどか☆マギカ外伝」エンディングテーマ 】,Lyric,229,2025-05-13T15:00:02Z,Tuesday,Spring,279964,3487,125,0.012901658784700891
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『ALIVE -season 03-』  Lyric Video【TVアニメ「リコリス・リコイル」オープニングテーマ】,Live,218,2025-04-15T15:01:22Z,Tuesday,Spring,349539,7825,185,0.022915897796812374
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『カラフル -season 03-』  Lyric Video【「劇場版 魔法少女まどか☆マギカ ［新編］叛逆の物語」主題歌】,Lyric,274,2025-02-23T12:01:15Z,Sunday,Winter,783724,14352,533,0.018992655577728893
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『Evergreen』 Lyric Video,Lyric,247,2024-10-26T12:00:12Z,Saturday,Fall,177285,3875,125,0.022562540542065038
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS 14th Anniversary コメント,LangVer,315,2024-10-21T12:30:00Z,Monday,Fall,26749,1141,51,0.044562413548170025
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『Clear Sky -2024-』 Music Video,MV,262,2024-10-20T11:00:07Z,Sunday,Fall,306009,5954,203,0.020120323258466254
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS「月のしずく」Lyric Video（Illustration：桑島黎音）,Lyric,287,2024-10-15T11:51:00Z,Tuesday,Fall,94369,1990,66,0.021786815585626635
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS「思秋期」Lyric Video（Illustration：球体X）,Lyric,268,2024-10-15T11:50:00Z,Tuesday,Fall,55462,1411,42,0.02619811763008907
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS「秋のグラディエント」Lyric Video（Illustration：たん旦）,Lyric,241,2024-10-08T11:30:39Z,Tuesday,Fall,142010,3047,72,0.02196324202520949
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS「風は秋色」Lyric Video（Illustration：なたーしゃ）,Lyric,250,2024-10-01T11:30:28Z,Tuesday,Fall,91298,1891,41,0.021161471226094766
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS「木枯しに抱かれて」Lyric Video（Illustration：緋月ひぐれ）,Lyric,226,2024-09-24T11:30:27Z,Tuesday,Fall,706613,7006,170,0.010155488223398098
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『Love is Mystery』 Lyric Video,Lyric,219,2024-05-20T12:30:42Z,Monday,Spring,66595,1742,63,0.02710413694721826
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『アンダンテ』 Music Video 【TVアニメ「狼と香辛料 MERCHANT MEETS THE WISE WOLF」エンディングテーマ】,MV,218,2024-04-01T13:30:10Z,Monday,Spring,1487178,19308,455,0.01328892708203053
JPop,UC-zeaPnxZHE3EcTyVl1fTdw,287000,ClariS『仮面ジュブナイル』Lyric Video,Lyric,193,2023-11-26T13:00:52Z,Sunday,Fall,36951,839,13,0.023057562718194365
