style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,いかないで (想太) ／ダズビー COVER,LangVer,194,2025-07-11T11:00:06Z,Friday,Summer,686214,16143,324,0.023996887268403152
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,W/X/Y (Tani Yuuki) ／ダズビー COVER,LangVer,279,2025-06-27T11:00:06Z,Friday,Summer,738043,16826,319,0.02323035378697447
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,LEMON MELON COOKIE (TAK) ／ダズビー COVER,LangVer,157,2025-06-13T11:00:07Z,Friday,Summer,338159,11516,301,0.03494509979033532
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,Universe (Official髭男dism) ／ダズビー COVER,LangVer,288,2025-05-30T11:00:06Z,Friday,Spring,317947,7624,163,0.02449150330086461
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,どうにかなっちゃいそう！ (NOMELON NOLEMON) ／ダズビー COVER,LangVer,159,2025-04-18T11:00:06Z,Friday,Spring,289693,9017,169,0.031709430327967886
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,悪魔の子 (ヒグチアイ) ／ダズビー COVER,LangVer,231,2025-04-04T11:00:06Z,Friday,Spring,1245580,29125,472,0.023761621092181957
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,不可幸力 (Vaundy) ／ダズビー COVER,LangVer,205,2025-03-21T11:00:06Z,Friday,Spring,671395,16153,279,0.024474415210122207
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,Blindness (Treow ; ELECTROCUTICA) ／ダズビー COVER,LangVer,325,2025-03-07T11:00:08Z,Friday,Spring,192918,4968,112,0.026332431395722534
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,蝶々結び (Aimer) ／ダズビー COVER,LangVer,300,2025-02-21T11:00:07Z,Friday,Winter,599137,12404,220,0.02107030612364117
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,偽顔 (yama) ／ダズビー COVER,LangVer,150,2025-02-07T11:00:07Z,Friday,Winter,1339237,29822,284,0.02247996433790285
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,睨めっ娘 (友成空) ／ダズビー COVER,LangVer,161,2025-01-24T11:00:06Z,Friday,Winter,843220,16698,185,0.020022058300324944
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,One Last Kiss (宇多田ヒカル) ／ダズビー COVER,LangVer,262,2025-01-10T11:00:06Z,Friday,Winter,965358,23257,340,0.024443781477959472
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,DAZBEE (ダズビー) | ‘Nemuranai Yume’ Live Clip,Live,202,2024-12-27T11:00:07Z,Friday,Winter,153201,6036,164,0.04046970972774329
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,モエチャッカファイア (弌誠) ／ダズビー COVER,LangVer,159,2024-11-22T11:00:06Z,Friday,Fall,2387669,52587,505,0.022235912934330512
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,紡ぐ (とた) ／ダズビー COVER,LangVer,237,2024-11-08T11:00:06Z,Friday,Fall,898135,14284,193,0.016118957617730075
JPop,UCUEvXLdpCtbzzDkcMI96llg,1460000,ずうっといっしょ！(キタニタツヤ) ／ダズビー COVER,LangVer,187,2024-10-11T11:00:06Z,Friday,Fall,2112123,40964,447,0.019606339214146146
