style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「一蓮托生」,MV,210,2025-02-26T11:00:06Z,Wednesday,Winter,197432,5117,149,0.02667247457352405
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【Dance Practice】GARNiDELiA「一蓮托生」,Dance,207,2025-02-21T11:00:45Z,Friday,Winter,47853,2014,68,0.043508243997241555
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【Dance Practice】GARNiDELiA「響喜乱舞 [PROGRESS]」,Dance,265,2025-02-14T11:01:03Z,Friday,Winter,58739,2335,70,0.04094383629275269
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【Dance Practice】GARNiDELiA「桃源恋歌 [PROGRESS]」,Dance,231,2025-02-07T11:01:23Z,Friday,Winter,70068,2702,77,0.0396614717131929
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【Dance Practice】GARNiDELiA「極楽浄土 [PROGRESS]」,Dance,218,2025-01-31T11:00:06Z,Friday,Winter,184794,6242,169,0.03469268482742946
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「罪人」／TVアニメ『Übel Blatt～ユーベルブラット～』オープニング主題歌,MV,205,2025-01-11T11:00:21Z,Saturday,Winter,289836,6291,175,0.022309167943250666
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「響喜乱舞 [PROGRESS]」,MV,264,2024-12-25T11:00:06Z,Wednesday,Winter,472784,14214,311,0.03072227486547768
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「桃源恋歌 [PROGRESS]」,MV,230,2024-12-02T17:23:53Z,Monday,Winter,769963,17011,359,0.02255952558759317
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「極楽浄土 [PROGRESS]」,MV,218,2024-10-30T11:00:26Z,Wednesday,Fall,1782250,39282,881,0.02253499789591808
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「猫の城」,MV,242,2024-02-29T11:00:28Z,Thursday,Winter,419756,7671,182,0.018708487788143588
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「ーTENー」,MV,193,2024-01-17T11:00:07Z,Wednesday,Winter,312739,6980,212,0.022996812038153222
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【Live Digest】2023年9月30日『GARNiDELiA stellacage 2023 -stella ship- Re:CoNNeCT』上海公演ライブダイジェスト映像,Live,147,2023-12-15T11:00:52Z,Friday,Winter,28292,1074,50,0.03972854517178001
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「暁桜」/ スマホゲーム「陰陽師」7周年記念ソング,MV,228,2023-10-19T03:00:22Z,Thursday,Fall,855630,14754,342,0.01764314014235125
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【ゲームコラボMV】GARNiDELiA「Future Wing」/ “2023年原神誕生日応援ソング”,MV,262,2023-10-09T11:00:41Z,Monday,Fall,159058,5932,169,0.038357077292559945
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「Future Wing」/ “2023年原神誕生日応援ソング”,MV,261,2023-10-02T11:00:45Z,Monday,Fall,363479,7067,318,0.020317542416480733
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「光之指引／my code」,MV,247,2023-07-29T02:00:31Z,Saturday,Summer,109222,3776,285,0.03718115397996741
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「ONLY」,MV,263,2023-04-20T11:00:17Z,Thursday,Spring,1099045,17046,336,0.015815548953864493
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,飾りじゃないのよ涙は/ 中森明菜 [Covered by GARNiDELiA],Cover,259,2023-03-22T14:00:25Z,Wednesday,Spring,513186,6686,183,0.0133850105030145
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,BREAK OUT!  / 相川七瀬 [Covered by GARNiDELiA],Cover,256,2023-03-20T11:00:23Z,Monday,Spring,362081,4800,111,0.013563263468671375
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,DEPARTURES / globe [Covered by GARNiDELiA],Cover,381,2023-02-24T11:34:37Z,Friday,Winter,1302507,13567,451,0.010762322198652292
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】謳歌爛漫[Oka Ramman] OFFiCiAL【GARNiDELiA】,MV,231,2022-10-19T14:25:33Z,Wednesday,Fall,4749505,66733,1200,0.014303174751895197
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】Tetsuya Komuro feat. MARiA「Trust On Me -Theme of E.T.E-」【小室哲哉】,MV,274,2022-10-17T11:00:32Z,Monday,Fall,463472,6339,118,0.01393180170538889
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「幻愛遊戯」,MV,238,2022-09-30T11:00:15Z,Friday,Fall,1535609,23415,381,0.015496132153432287
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,フレンズ / REBECCA [Covered by GARNiDELiA],Cover,271,2022-08-05T12:00:14Z,Friday,Summer,1124460,14382,424,0.013167209149280544
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,迴迴奇譚 / Eve [Covered by GARNiDELiA],Cover,230,2022-07-01T11:00:17Z,Friday,Summer,604207,15092,174,0.02526617533395012
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】MARiA 「Think Over」【Moments】,MV,216,2022-06-22T11:00:10Z,Wednesday,Summer,576162,4736,169,0.008513230653878597
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,別の人の彼女になったよ / wacci [Covered by GARNiDELiA],Cover,317,2022-06-03T11:00:08Z,Friday,Summer,181994,3480,94,0.019638010044287176
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,ドライフラワー / 優里 [Covered by GARNiDELiA],Cover,293,2022-05-06T11:00:13Z,Friday,Spring,204566,4203,112,0.021093436837011037
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,春よ、来い / 松任谷由実 [Covered by GARNiDELiA],Cover,287,2022-04-01T11:00:23Z,Friday,Spring,1509407,19225,439,0.013027632706089212
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,CITRUS / Da-iCE [Covered by GARNiDELiA],Cover,255,2022-03-04T11:00:13Z,Friday,Spring,238357,4742,106,0.020339239040598766
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「春がきたよ」from 『Duality Code』【期間限定公開】,MV,301,2021-12-04T11:00:13Z,Saturday,Winter,236500,4616,85,0.01987737843551797
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「my code」from 『Duality Code』,MV,228,2021-11-17T10:00:22Z,Wednesday,Fall,885733,7315,176,0.008457401948442703
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【りりちよ・メイリア】宵闇胡蝶[Yoiyami Kocho] OFFiCiAL【踊っちゃってみた第10弾】,MV,218,2021-11-12T10:00:00Z,Friday,Fall,4825695,65315,1074,0.01375739660297636
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】GARNiDELiA「オトメの心得」from 『Duality Code』,MV,189,2021-10-09T11:00:11Z,Saturday,Fall,1466970,22283,549,0.015564053797964512
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】toku「青い薔薇」feat.鈴木このみ Full Ver.【bouquet】,MV,242,2021-06-16T09:00:12Z,Wednesday,Summer,106818,2766,59,0.026446853526559195
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】toku「ずるいよ、桜」feat.神田沙也加 Full Ver.【bouquet】,MV,343,2021-06-09T09:00:17Z,Wednesday,Summer,658817,7796,395,0.012432891075974057
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】MARiA 「ハルガレ」【うたものがたり】,MV,286,2021-05-26T09:00:14Z,Wednesday,Spring,581793,9622,184,0.016854791996466098
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】toku「青い薔薇」feat.鈴木このみ Short Ver.【bouquet】,MV,80,2021-05-20T09:00:00Z,Thursday,Spring,28881,1332,44,0.04764377964751913
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MV】MARiA 「コンコース」【うたものがたり】,MV,314,2021-04-28T09:00:00Z,Wednesday,Spring,450842,6637,245,0.015264771250238443
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA 『起死回生』MV,MV,219,2020-10-29T15:00:10Z,Thursday,Fall,913560,16073,612,0.01826371557423705
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【GARNiDELiA】Hands -after a decade ver.-【とく×メイリア】,LangVer,242,2020-09-13T14:10:12Z,Sunday,Fall,306872,6943,262,0.023478844599702807
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA 『star trail』MV,MV,323,2020-08-16T09:00:08Z,Sunday,Summer,561282,10235,303,0.018774876087243132
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【LyricMV】star trail / GARNiDELiA,Lyric,323,2020-06-28T15:00:03Z,Sunday,Summer,109145,3398,128,0.03230564844931055
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,★.｡･【MARiA[ﾒｲﾘｱ]】「バイオレンストリガー」【歌ってみた 】 ☆､｡･,Cover,203,2020-04-18T11:00:14Z,Saturday,Spring,560290,13301,286,0.024249941994324366
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,PASSION / GARNiDELiA  -Official-,MV,219,2019-07-25T10:00:04Z,Thursday,Summer,656362,10381,161,0.016061258878484738
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【MARiA[ﾒｲﾘｱ]＆kradness】ロキ【２人で歌ってみた】,Cover,231,2019-01-30T15:00:07Z,Wednesday,Winter,810934,18497,636,0.023593781984723786
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『REBEL FLAG』Music Video YouTube Edit ver.,MV,91,2019-01-18T15:00:00Z,Friday,Winter,454611,4365,140,0.009909571039856053
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,響喜乱舞 -Kyouki Ranbu- / GARNiDELiA -Official-,MV,260,2018-09-19T10:00:17Z,Wednesday,Fall,2080072,23714,302,0.011545754185432043
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,Love Swing / GARNiDELiA  -Official-,MV,234,2018-08-17T10:00:06Z,Friday,Summer,626047,9530,196,0.015535574805086518
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】アブラカダブラ [avra K'Davarah] OFFiCiAL,MV,223,2018-07-22T14:00:01Z,Sunday,Summer,9752957,94735,2653,0.00998548440232024
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,アブラカダブラ [avra K'Davarah] DrumsReArrVer. / GARNiDELiA -Official-,MV,227,2018-07-22T14:00:01Z,Sunday,Summer,1124117,14112,287,0.012809164882303176
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『G.R.N.D.』Music Video YouTube Edit ver.,MV,177,2018-02-16T10:00:01Z,Friday,Winter,2669534,17766,397,0.006803809204153234
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】紅葉愛唄 [Kureha Itoshiuta] OFFiCiAL,MV,236,2018-02-05T08:00:03Z,Monday,Winter,16754810,136565,3719,0.008372759822403238
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,紅葉愛唄 [Kureha Itoshiuta] / GARNiDELiA -Official-,MV,237,2018-02-05T08:00:02Z,Monday,Winter,1779753,18797,338,0.010751491920508071
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『Error』Music Video YouTube Edit ver.,MV,201,2018-01-05T10:00:03Z,Friday,Winter,2568376,14626,451,0.005870246412519039
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『アイコトバ』Music Video YouTube Edit ver.,MV,194,2017-10-01T12:00:03Z,Sunday,Fall,1534262,11217,429,0.007590620115729908
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,Hysteric Bullet / GARNiDELiA -Official-,MV,274,2017-09-01T10:00:08Z,Friday,Fall,4545930,50688,480,0.011255782645135319
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217＋ATY】「Hysteric Bullet」 踊っちゃってみたコラボ OFFiCiAL,MV,275,2017-09-01T10:00:02Z,Friday,Fall,17825768,148030,3736,0.008513854774728359
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『Désir』Music Video YouTube Edit ver.,MV,209,2017-07-22T15:00:04Z,Saturday,Summer,1037531,7235,197,0.0071631594622232975
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,桃源恋歌[Togen Renka] / GARNiDELiA -Official-,MV,232,2017-05-15T10:00:04Z,Monday,Spring,6230179,57426,874,0.009357676561138933
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】桃源恋歌[Tougen Renka] OFFiCiAL,MV,235,2017-05-15T10:00:02Z,Monday,Spring,35361505,268116,6489,0.007765647983591196
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『SPEED STAR』Music Video YouTube Edit ver.,MV,192,2017-05-02T11:00:04Z,Tuesday,Spring,3873357,19064,520,0.005056079261477834
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『紫苑』Lyric Video,Lyric,317,2016-11-19T03:00:00Z,Saturday,Fall,363224,2195,38,0.00614772151619937
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA『Cry』Music Video short ver.,MV,96,2016-11-14T09:00:00Z,Monday,Fall,131277,966,35,0.0076250980750626534
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,GARNiDELiA stellacage vol.3 at Toyosu PIT [live digest],Live,153,2016-08-08T11:00:01Z,Monday,Summer,205472,2069,36,0.01024470487463012
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,極楽浄土[Gokuraku Jodo] / GARNiDELiA -Official-,MV,219,2016-04-25T10:11:58Z,Monday,Spring,7499036,71167,676,0.009580298054309913
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】極楽浄土[Gokuraku Jodo]  OFFiCiAL,MV,226,2016-04-25T10:11:42Z,Monday,Spring,109525006,802402,39087,0.007683076502182524
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,PiNK CAT / GARNiDELiA -Official-,MV,231,2015-04-17T10:00:00Z,Friday,Spring,1579692,13752,204,0.008834633586800466
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,PiNK CAT 【みうめ・MARiA[ﾒｲﾘｱ]・217】 -Official-,MV,241,2015-04-17T10:00:00Z,Friday,Spring,9188429,48562,721,0.005363593711177395
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,Lamb. / GARNiDELiA [Official],MV,247,2014-06-30T01:31:48Z,Monday,Summer,3952158,33373,421,0.008550771502556325
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,ORiON -StarTourMix- / GARNiDELiA [Official],Live,241,2014-06-30T01:26:45Z,Monday,Summer,288647,2405,34,0.008449767362903477
JPop,UCAYfguaShVaNDU561_jJoOQ,964000,【みうめ・メイリア・217】Lamb. [Official],MV,242,2014-06-30T00:58:38Z,Monday,Summer,10734841,70795,1022,0.006690085116304936
