style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,YOASOBI／群青（Cover）,LangVer,263,2021-03-21T11:01:51Z,Sunday,Spring,2427781,56763,3196,0.024697038159537454
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Def Tech／My Way（Cover）,LangVer,290,2021-03-16T11:00:33Z,Tuesday,Spring,1595540,44090,4828,0.030659212554997053
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,シンクロニシティ／乃木坂46（Cover）,LangVer,279,2018-09-24T09:28:16Z,Monday,Fall,2597005,53712,439,0.02085132681685249
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,ライオン／May’n・中島 愛（Cover）,LangVer,354,2018-09-17T08:58:16Z,Monday,Fall,1342902,18533,363,0.014071019329779834
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,明日も／SHISHAMO（Cover）,LangVer,399,2018-09-09T08:58:16Z,Sunday,Fall,2140987,26278,444,0.012481159390505408
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,HANABI／Mr.Children（Cover）,LangVer,348,2018-09-03T10:41:15Z,Monday,Fall,3024520,29787,733,0.010090857392247365
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,何もかも有り余っている こんな時代も／Goose house,MV,325,2018-08-27T11:51:25Z,Monday,Summer,942131,14806,193,0.015920291339527094
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Lemon／米津玄師（Cover）,LangVer,279,2018-08-20T10:09:04Z,Monday,Summer,6467228,55807,999,0.008783670530867321
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,スパークル／RADWIMPS（Cover),LangVer,375,2018-08-11T11:53:01Z,Saturday,Summer,4289246,55783,1005,0.013239623001338697
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,#記念写真／Goose house,MV,305,2018-07-30T11:31:15Z,Monday,Summer,404214,7081,204,0.018022631576343224
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,あなた／いきものがかり（Cover）,LangVer,393,2018-07-21T09:22:28Z,Saturday,Summer,806529,7789,309,0.010040556508197473
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,東京／JUJU（Cover）,LangVer,355,2018-07-10T10:55:02Z,Tuesday,Summer,459177,5783,212,0.0130559675245058
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Ref:rain／Aimer（Cover）,LangVer,397,2018-06-22T10:27:20Z,Friday,Summer,1141219,18397,353,0.016429800064667693
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,DREAM／清水翔太（Cover）,LangVer,341,2018-06-15T10:10:38Z,Friday,Summer,497564,8166,203,0.016819946780715647
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,光るなら／Goose house,MV,271,2018-06-08T12:04:28Z,Friday,Summer,3134094,87201,1842,0.02841108148000666
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,国境のない時代 ／坂道AKB(Cover）,LangVer,299,2018-06-05T10:17:39Z,Tuesday,Summer,608445,7836,221,0.013241952847011644
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,蕾／コブクロ（Cover）,LangVer,382,2018-05-24T10:05:02Z,Thursday,Spring,1082832,9276,290,0.008834242061557102
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,サザンカ／SEKAI NO OWARI（Cover）,LangVer,318,2018-05-18T11:00:49Z,Friday,Spring,537208,8240,378,0.016042203392354543
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,ジョンとヨーコ／Goose house,MV,312,2018-05-04T11:19:56Z,Friday,Spring,336848,5106,316,0.016096280815085736
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,東京／くるり（Cover）,LangVer,341,2018-04-21T08:59:14Z,Saturday,Spring,367129,4159,35,0.011423777473313195
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,いつか結婚しても／My Hair is Bad（Cover）,LangVer,302,2018-04-20T12:40:07Z,Friday,Spring,921149,12254,184,0.013502701517344099
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,イマジネーション／SPYAIR（Cover）,LangVer,194,2018-04-19T10:11:41Z,Thursday,Spring,512289,10981,281,0.021983684990308203
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,感情のピクセル／岡崎体育（Cover）,LangVer,271,2018-04-17T10:06:35Z,Tuesday,Spring,414919,5534,133,0.013658087482135067
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,繋ぐひと／Goose house（歌詞付き）4/11『Flight』収録曲,MV,359,2018-04-07T11:43:21Z,Saturday,Spring,273292,4781,213,0.01827349501631954
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,愛を伝えたいだとか／あいみょん（Cover）,LangVer,242,2018-03-23T10:53:01Z,Friday,Spring,3612589,38844,286,0.01083156705620263
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,浪漫飛行／米米CLUB（Cover）,LangVer,264,2018-03-22T11:15:40Z,Thursday,Spring,2555284,16867,255,0.006700625057723525
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Lovers / sumika（Cover）,LangVer,292,2018-03-20T11:03:23Z,Tuesday,Spring,1614819,21547,449,0.013621340843772584
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Catch The Moment ／LiSA（Cover）,LangVer,337,2018-03-18T11:16:56Z,Sunday,Spring,3298457,43736,831,0.013511469150575557
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,春の涙を/Goose house（歌詞付き）,MV,313,2018-03-16T11:26:25Z,Friday,Spring,568642,8727,386,0.016025900302826735
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,EXCITE／三浦大知(Cover）,LangVer,234,2018-02-22T11:00:17Z,Thursday,Winter,1034581,13979,432,0.013929310513144935
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,瞬き／back number（Cover）,LangVer,334,2018-02-21T11:39:14Z,Wednesday,Winter,3446145,31126,408,0.009150514560472644
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,笑顔の花／Goose house,MV,303,2018-02-20T10:44:17Z,Tuesday,Winter,1235528,14995,412,0.012469972351901374
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,たばこ／コレサワ（Cover）,LangVer,386,2018-02-19T10:52:25Z,Monday,Winter,1371977,18963,393,0.014108108226304086
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,Family Song／星野 源（Cover）,LangVer,307,2018-02-18T10:34:18Z,Sunday,Winter,1043747,12200,489,0.01215716069124031
JPop,UCFDL0NuxUBAvvu1PnIwW2ww,2500000,2018 First YouTube Live！,Live,238,2018-01-18T10:40:54Z,Thursday,Winter,133609,2311,183,0.018666407203107575
