style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『SUPERNOVA』 Music Video【アニメ「Dr.STONE SCIENCE FUTURE」最終シーズン第2クールオープニングテーマ】,MV,238,2025-07-11T12:00:07Z,Friday,Summer,316028,8733,322,0.028652524459857987
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON「シルエット」LIVE at CLUB CITTA’  2025.1.24,Live,240,2025-03-15T09:00:48Z,Saturday,Spring,1393398,14647,385,0.010788016058584841
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『日々』Lyric Video,Lyric,267,2024-12-30T12:00:18Z,Monday,Winter,34006,1211,49,0.03705228489090161
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『日々』Music Video,MV,435,2024-12-16T12:00:07Z,Monday,Winter,151155,4849,161,0.0331447851543118
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ばけもの』Music Video,MV,256,2024-11-12T15:00:07Z,Tuesday,Fall,149594,4675,133,0.0321403264836825
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ほららら』Music Video,MV,298,2024-10-29T15:00:07Z,Tuesday,Fall,198294,7705,265,0.0401928449675734
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ラブアンドマスターピース』Music Video,MV,191,2024-09-24T15:00:53Z,Tuesday,Fall,127465,4440,201,0.03640999490056094
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『夕暮れ』Music Video,MV,262,2023-11-25T07:00:06Z,Saturday,Fall,278883,4915,306,0.018721112437832352
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON『盛者必衰の理、お断り』 10th Anniversary KICK OFF LIVE「Sunny side up - Moon side up」Live at 日比谷公園大音楽堂,Live,243,2023-09-20T12:00:53Z,Wednesday,Fall,96495,1891,60,0.020218664179491166
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON『フカ』 10th Anniversary KICK OFF LIVE「Sunny side up - Moon side up」Live at 日比谷公園大音楽堂,Live,214,2023-09-20T12:00:45Z,Wednesday,Fall,40691,938,20,0.023543289670934605
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『Song of the Dead』Music Video【Anime『Zom 100: Bucket List of the Dead』OP Theme】,MV,285,2023-09-06T12:00:53Z,Wednesday,Fall,5108348,74540,1436,0.01487290998968747
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ソングオブザデッド』 10th Anniversary Edition Live Blu-rayトレーラー,Live,147,2023-08-04T09:00:21Z,Friday,Summer,127394,1652,39,0.013273780554814199
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『恋愛至上主義』トレーラー,MV,133,2023-06-29T09:00:36Z,Thursday,Summer,66449,1754,46,0.027088443768905478
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ただそれだけ』Music Video,MV,251,2023-06-13T15:00:43Z,Tuesday,Summer,370161,7774,285,0.021771607489713934
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『恋愛至上主義』10th Anniversary Edition DVDトレーラー,LangVer,86,2023-06-08T11:00:42Z,Thursday,Summer,25199,960,46,0.03992221913567999
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『ぐらでーしょん feat. 北澤ゆうほ』Music Video【アニメ『山田くんとLv999の恋をする』OPテーマ】,MV,235,2023-04-14T09:00:11Z,Friday,Spring,4991902,65798,1233,0.013427947904426009
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『フカ』Lyric Video,Lyric,212,2023-01-11T11:00:05Z,Wednesday,Winter,602457,8478,260,0.014503939700260765
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『きらりらり』Music Video【アニメ『BORUTO-ボルト- NARUTO NEXT GENERATIONS』OPテーマ】,MV,260,2022-11-01T12:29:56Z,Tuesday,Fall,1357269,20954,629,0.015901785128813815
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON『メリーゴーランド』 × ABCドラマ『恋に無駄口』コラボMusic Video,MV,79,2022-06-04T03:00:05Z,Saturday,Summer,62961,2225,98,0.03689585616492749
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『メリーゴーランド』Music Video,MV,348,2022-03-16T11:00:13Z,Wednesday,Spring,701096,13058,554,0.01941531544895421
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『Re:Pray』Music Video,MV,330,2021-10-29T11:00:18Z,Friday,Fall,250699,8681,374,0.03611901124456021
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『HOPE』Music Video,MV,259,2021-08-07T15:00:01Z,Saturday,Summer,274859,10364,499,0.039522082231253114
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON LIVE HISTORY 2013～2020『まっさら』,Live,387,2021-02-23T03:00:01Z,Tuesday,Winter,84143,3931,375,0.05117478578134842
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『スノーグローブ』Music Video,MV,274,2020-12-18T11:00:05Z,Friday,Winter,798862,29449,1715,0.03901049242547524
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『Torch of Liberty』Music Video【アニメ『炎炎ノ消防隊 弐ノ章』第2クールOP主題歌】,MV,226,2020-11-13T11:00:10Z,Friday,Fall,5887898,86273,2524,0.015081273486734994
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON 『スターマーカー』Music Video【アニメ『僕のヒーローアカデミア』第4期「文化祭編」OPテーマ】,MV,241,2020-03-02T03:00:11Z,Monday,Spring,28604446,303910,8255,0.010913163638967173
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON - Full Drive,MV,220,2016-07-04T07:00:02Z,Monday,Summer,5014497,70804,1674,0.014453692962624167
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON - Silhouette,MV,266,2016-07-04T07:00:01Z,Monday,Summer,331078869,3357350,136346,0.010552458423433844
JPop,UCGZcFTKIVXJLt1uo1dHfjAQ,916000,KANA-BOON - Nandemonedari,MV,333,2016-07-04T07:00:01Z,Monday,Summer,4703141,62478,1472,0.013597295934780608
