style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『残酷な夜に輝け』MUSiC CLiP Making Movie,LangVer,352,2025-07-26T06:00:10Z,Saturday,Summer,89468,3087,95,0.035565788885411544
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『残酷な夜に輝け』MUSiC CLiP,LangVer,385,2025-07-24T10:50:07Z,Thursday,Summer,3468073,76780,3800,0.023234805034380763
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『炎』（from LiVE is Smile Always～RiP SERViCE～）,Live,378,2025-07-02T11:01:51Z,Wednesday,Summer,416777,11955,379,0.029593763571406292
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA「ANOTHER GREAT DAY North America Headline Shows 2025」in Mexico City -Pepsi Center-,MV,258,2025-07-01T11:01:47Z,Tuesday,Summer,35523,4149,190,0.12214621512822678
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA「ANOTHER GREAT DAY North America Headline Shows 2025」in Los Angeles -YouTube Theatrer-,MV,184,2025-06-28T03:00:44Z,Saturday,Summer,15921,1114,43,0.07267131461591608
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA「ANOTHER GREAT DAY North America Headline Shows 2025」in Los Angeles -The Roxy Theatrer-,MV,181,2025-06-27T06:00:24Z,Friday,Summer,12649,1055,47,0.08712151158194324
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『QUEEN』（from LiVE is Smile Always～RiP SERViCE～）,Live,255,2025-06-26T11:00:12Z,Thursday,Summer,131758,4565,149,0.03577771368721444
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA「ANOTHER GREAT DAY North America Headline Shows 2025」in New York,MV,197,2025-06-23T07:00:47Z,Monday,Summer,24051,1899,87,0.08257452912560809
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ReawakeR (feat. Felix of Stray Kids)』（from LiVE is Smile Always～RiP SERViCE～）,Live,216,2025-06-18T11:00:26Z,Wednesday,Summer,415868,16415,275,0.04013292679407889
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『RED ZONE』（from LiVE is Smile Always～RiP SERViCE～）,Live,188,2025-06-14T11:01:34Z,Saturday,Summer,86853,3360,104,0.03988348128446916
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『crossing field』（from LiVE is Smile Always～RiP SERViCE～）,Live,261,2025-06-05T11:00:41Z,Thursday,Summer,435512,13132,398,0.031066882198423924
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ReawakeR (feat. Felix of Stray Kids)』 × TVアニメ『俺だけレベルアップな件 Season 2』Collaboration Movie,MV,185,2025-03-08T15:30:08Z,Saturday,Spring,1562815,49720,839,0.03235123799042113
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『うぃっちくらふと』 (Official Audio Visualizer),MV,133,2025-03-07T10:00:20Z,Friday,Spring,98057,4197,134,0.04416818789071662
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ReawakeR (feat. Felix of Stray Kids)』MUSiC CLiP Making Movie,LangVer,297,2025-03-05T12:01:24Z,Wednesday,Spring,436342,30407,831,0.07159063303555468
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『RED ZONE』 (Official Audio Visualizer),MV,176,2025-02-27T16:48:47Z,Thursday,Winter,103654,4075,191,0.04115615412815714
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ReawakeR (feat. Felix of Stray Kids)』MUSiC CLiP,LangVer,193,2025-02-20T13:00:06Z,Thursday,Winter,29204987,755268,23034,0.026649626654516232
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA｢QUEEN｣ × TVアニメ『シャングリラ・フロンティア』2nd season 第1クール  Collaboration Movie,MV,189,2024-11-17T11:00:07Z,Sunday,Fall,4241096,29167,314,0.006951269200225602
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『QUEEN』LiVE ViDEO Ver.,Live,90,2024-10-27T08:30:11Z,Sunday,Fall,88495,3757,131,0.04393468557545624
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『QUEEN』MUSiC CLiP,LangVer,194,2024-10-20T11:00:06Z,Sunday,Fall,3034124,44883,985,0.015117378195485748
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『MAKE A MiRACLE』MUSiC CLiP,LangVer,256,2024-08-26T11:00:06Z,Monday,Summer,252717,7654,336,0.031616393040436536
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『洗脳』MUSiC CLiP,LangVer,173,2024-08-21T11:00:32Z,Wednesday,Summer,438853,7276,183,0.01699657972031637
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA 『ブラックボックス』 全曲試聴MOViE,MV,85,2024-08-18T09:00:34Z,Sunday,Summer,36946,2106,63,0.05870730254966708
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA LiVE is Smile Always 〜ASiA TOUR 2024〜 in SEOUL VLOG,Live,347,2024-07-24T12:00:36Z,Wednesday,Summer,54664,2303,146,0.04480096590077565
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA LiVE is Smile Always〜ASiA TOUR 2024〜 in JAKARTA VLOG,Live,321,2024-07-09T11:00:26Z,Tuesday,Summer,49132,2562,167,0.055544248147846614
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ブラックボックス』MUSiC CLiP,LangVer,256,2024-07-05T15:00:08Z,Friday,Summer,2788645,34741,735,0.012721590593280966
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA「Shouted Serenade」 × TVアニメ「魔法科高校の劣等生」第3シーズン Collaboration Movie,MV,90,2024-06-28T14:15:06Z,Friday,Summer,141185,5361,132,0.038906399405035944
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA LiVE is Smile Always〜ASiA TOUR 2024〜 in HONG KONG VLOG,Live,354,2024-06-18T11:00:13Z,Tuesday,Summer,50964,2806,115,0.05731496742798838
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA LiVE is Smile Always〜ASiA TOUR 2024〜 in SHANGHAi VLOG,Live,305,2024-06-12T09:00:44Z,Wednesday,Summer,35347,1780,82,0.05267773785611226
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA LiVE is Smile Always〜ASiA TOUR 2024〜 in TAiPEi VLOG,Live,289,2024-06-07T12:00:06Z,Friday,Summer,77732,4868,214,0.0653784799053157
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA 『ハルシネイト』 MUSiC CLiP,LangVer,206,2024-05-27T11:00:07Z,Monday,Spring,308653,7456,176,0.024726796758819777
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA 21st Single『Shouted Serenade』 全曲試聴MOViE,MV,90,2024-05-19T09:00:00Z,Sunday,Spring,38070,2176,61,0.058760178618334644
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Shouted Serenade』MUSiC CLiP,LangVer,245,2024-04-06T11:00:08Z,Saturday,Spring,5086897,63378,1495,0.012752961186357813
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『HELLO WORLD』MUSiC CLiP,LangVer,336,2024-02-21T11:00:10Z,Wednesday,Winter,2054790,53002,937,0.02625037108414972
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Believe in myself』-MUSiC CLiP-,LangVer,299,2023-12-30T13:50:01Z,Saturday,Winter,124759,3320,87,0.027308651079280852
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『BRiGHT FLiGHT / L.Miranic -Special Movie-』,MV,363,2023-12-30T13:50:01Z,Saturday,Winter,92267,2219,41,0.024494131162820943
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『No More Time Machine』-MUSiC CLiP-（TVアニメ「ソードアート・オンラインII《キャリバー》編」エンディングテーマ）,LangVer,294,2023-12-30T13:50:01Z,Saturday,Winter,314575,6225,125,0.020185965191130893
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Rally Go Round』-MUSiC CLiP-（TVアニメ「ニセコイ:」 オープニングテーマ）,LangVer,291,2023-12-30T13:50:00Z,Saturday,Winter,792418,13948,324,0.01801069637489305
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『crossing field』 -MUSiC CLiP-（TVアニメ 「ソードアート・オンライン」 オープニングテーマ）,LangVer,249,2023-12-30T13:50:00Z,Saturday,Winter,7530294,61257,1189,0.008292637711090695
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『unlasting』-MUSiC CLiP-（TVアニメ「ソードアート・オンラインアリシゼーション」第3期エンディングテーマ ）,LangVer,294,2023-12-30T13:50:00Z,Saturday,Winter,260662,5236,78,0.020386554234986302
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『赤い罠(who loves it?)』-MUSiC CLiP-,LangVer,251,2023-12-30T13:50:00Z,Saturday,Winter,145734,2777,59,0.019460112259321777
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Brave Freak Out』-MUSiC CLiP-（TVアニメ「クオリディア・コード 」オープニングテーマ）,LangVer,263,2023-12-30T13:50:00Z,Saturday,Winter,204127,2825,47,0.014069672311845078
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『妄想コントローラー』-MUSiC CLiP-,LangVer,249,2023-12-30T13:50:00Z,Saturday,Winter,98602,1780,37,0.018427618101052718
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,"LiSA『Thrill, Risk, Heartless』-MUSiC CLiP-（ゲーム「ソードアート・オンライン フェイタル・バレット」主題歌）",LangVer,256,2023-12-30T13:50:00Z,Saturday,Winter,546364,11465,157,0.021271533263538592
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『träumerei』 -MUSiC CLiP-（TVアニメ「幻影ヲ駆ケル太陽」オープニングテーマ）,LangVer,258,2023-12-30T13:50:00Z,Saturday,Winter,381378,5460,69,0.0144974277488476
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『LiTTLE DEViL PARADE』-MUSiC CLiP-,LangVer,312,2023-12-30T13:50:00Z,Saturday,Winter,62978,1728,46,0.028168566801105147
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ASH』-MUSiC CLiP-（TVアニメ「Fate/Apocrypha」2ndクールオープニングテーマ）,LangVer,261,2023-12-30T13:50:00Z,Saturday,Winter,525206,5987,74,0.011540233736857537
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Hi! FiVE!』-MUSiC CLiP-,LangVer,277,2023-12-30T13:50:00Z,Saturday,Winter,105284,1963,43,0.01905322746096273
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『シルシ』 -MUSiC CLiP-（TVアニメ「ソードアート・オンラインⅡ」 エンディングテーマ）,LangVer,293,2023-12-30T13:50:00Z,Saturday,Winter,1314368,11282,210,0.008743365632760383
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『I'm a Rock star』-MUSiC CLiP-,LangVer,254,2023-12-30T13:50:00Z,Saturday,Winter,60177,1708,50,0.029213819233261877
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『だってアタシのヒーロー。』-MUSiC CLiP-（TVアニメ「僕のヒーローアカデミア」第2期エンディングテーマ）,LangVer,246,2023-12-30T13:50:00Z,Saturday,Winter,463471,7104,147,0.01564499181178542
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『ADAMAS』-MUSiC CLiP-（TVアニメ「ソードアート・オンライン アリシゼーション」オープニングテーマ）,LangVer,224,2023-12-30T13:50:00Z,Saturday,Winter,7301856,43508,381,0.006010663590188577
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『紅蓮華』-MUSiC CLiP-（アニメ「鬼滅の刃」竈門炭治郎 立志編 オープニングテーマ）,LangVer,236,2023-12-30T13:50:00Z,Saturday,Winter,19100888,94508,2250,0.005065628362409119
JPop,UCqEfdEvLG5oQWNYlDQrGlKw,2830000,LiSA『Rising Hope』-MUSiC CLiP-（TVアニメ「魔法科高校の劣等生」オープニングテーマ）,LangVer,255,2023-12-30T13:48:36Z,Saturday,Winter,6744232,37952,759,0.005739867786280187
