style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - UNSENT feat. AK 刘彰 - English Rap Version (Official Lyric Video),Lyric,180,2025-07-18T04:00:05Z,Friday,Summer,6558,326,17,0.05230253125953035
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい「This is love」,MV,232,2025-03-12T10:01:18Z,Wednesday,Spring,41269,1314,74,0.0336329932879401
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい「Superwoman」,MV,209,2025-03-05T10:00:41Z,Wednesday,Spring,60441,1994,80,0.03431445541933456
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『Rainbow』Lyric Video,Lyric,237,2024-09-11T11:00:26Z,Wednesday,Fall,173470,3136,65,0.01845275840202917
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『願い～あの頃のキミへ～ feat. RINZO』Lyric Video,Lyric,175,2024-07-12T11:00:12Z,Friday,Summer,218091,3495,42,0.016218000742809196
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい / Lonely in Tokyo (Japanese ver.) Official MV,LangVer,213,2023-05-10T13:00:23Z,Wednesday,Spring,437933,6285,111,0.01460497382019624
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Lolita Bonita,MV,166,2023-02-10T05:00:34Z,Friday,Winter,942604,821,47,0.0009208532957636505
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『^^』MV,MV,247,2023-01-18T13:00:24Z,Wednesday,Winter,1419313,16154,228,0.011542203869054959
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『あなたをやめられない』MV,MV,247,2022-11-16T13:00:34Z,Wednesday,Fall,516730,7183,130,0.014152458730865248
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『sugar spot』MV,MV,267,2022-10-14T13:00:28Z,Friday,Fall,298260,4762,74,0.016214041440354054
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - IDOL,MV,219,2022-10-14T04:00:00Z,Friday,Fall,299194,743,28,0.002576923334024078
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - IDOL (Official Lyric Video),Lyric,216,2022-09-30T14:00:36Z,Friday,Fall,258157,252,12,0.0010226335137145225
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『sugar spot』Lyric Video,Lyric,267,2022-09-28T11:00:22Z,Wednesday,Fall,152956,2974,40,0.0197050132064123
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Sell Me Your Love,MV,221,2022-02-11T05:00:09Z,Friday,Winter,348204,1135,66,0.003449127522946319
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『雨の音』 Music Video,MV,312,2022-02-09T12:00:00Z,Wednesday,Winter,3257951,21431,320,0.0066762821171957466
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい LIVE HOUSE TOUR 2020 in Nagoya (Digest),Live,322,2022-01-17T10:00:22Z,Monday,Winter,39118,705,20,0.01853366736540723
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『嵐の前の静けさに』 Lyric Video,Lyric,243,2021-12-15T10:00:29Z,Wednesday,Winter,127100,2636,41,0.02106215578284815
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『食えない』 Lyric Video,Lyric,220,2021-11-17T10:00:29Z,Wednesday,Fall,227772,4166,70,0.018597544913334388
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - 1998  - Studio Live,Live,171,2021-11-06T01:00:08Z,Saturday,Fall,64361,145,10,0.0024082907350724816
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Take Me Away ~ In The Night Time  - Studio Live,Live,204,2021-10-28T01:00:10Z,Thursday,Fall,68868,235,10,0.0035575303479119477
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Lonely In Tokyo Lofi Remix  - Studio Live,Remix,245,2021-10-23T01:00:11Z,Saturday,Fall,66047,309,28,0.005102427059518222
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - 1998,MV,171,2021-10-08T04:00:16Z,Friday,Fall,247376,1231,77,0.005287497574542397
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい LIVE HOUSE TOUR 2020 in Tokyo (Digest),Live,331,2021-09-30T10:00:21Z,Thursday,Fall,50951,1202,45,0.02447449510313831
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい “still” Acoustic Special Live 2021 in Tokyo (Digest),Live,324,2021-09-30T10:00:04Z,Thursday,Fall,73505,1158,35,0.016230188422556288
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『またねがあれば』 Lyric Video,Lyric,406,2021-08-04T09:00:01Z,Wednesday,Summer,8914164,57997,528,0.006565394130060878
JPop,UCLMYRi83dsYs83prGn0tByw,358000,"MIREI - In the Night Time ft. MamSon, Kyoka, Miyu",MV,251,2021-07-23T04:00:03Z,Friday,Summer,302575,2582,117,0.00892010245393704
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『春夏秋冬 reprise』Lyric Video,Lyric,299,2021-03-24T09:00:06Z,Wednesday,Spring,4350389,30087,340,0.006994087195420915
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『わけあって』 Music Video,MV,273,2021-03-17T11:00:12Z,Wednesday,Spring,3254573,39869,673,0.01245693367455577
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『わけあって』Lyric Video,Lyric,261,2021-03-10T09:00:04Z,Wednesday,Spring,625696,8657,145,0.014067534393699177
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI interviews Kanon,MV,208,2021-02-27T01:00:00Z,Saturday,Winter,1739,111,10,0.06958021851638872
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Feel Like Making Love (Official Video),MV,238,2021-02-26T05:00:08Z,Friday,Winter,465970,3364,159,0.0075605725690495095
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Lonely in Tokyo Hip Hop Remix ft. CJ Fly (Official Video),Remix,256,2021-01-22T05:00:02Z,Friday,Winter,461066,1837,75,0.004146911721966053
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい『#私はそれでも恋をする』 -いやいいや Short Film ver.-,LangVer,312,2020-12-22T01:00:08Z,Tuesday,Winter,820862,23265,954,0.02950435030492336
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『Dear My Boo』from Special Studio Live / Dear My Boo from Mirei Touyama Special Studio Live,Live,279,2020-12-21T12:00:06Z,Monday,Winter,438882,6712,240,0.015840248631750677
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『願い～あの頃のキミへ～』from Special Studio Live / Negai -Ano Koro No Kimie- / Mirei Touyama,Live,381,2020-12-18T12:00:15Z,Friday,Winter,1038653,11909,304,0.011758498747897517
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI - Lonely In Tokyo Lofi Remix (Official Video),Remix,241,2020-12-18T05:00:12Z,Friday,Winter,238578,1417,43,0.00611959191543227
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『いやいいや』from Special Studio Live / Iyaiiya from Mirei Touyama Special Studio Live,Live,295,2020-12-16T12:00:08Z,Wednesday,Winter,317720,4905,140,0.015878761173360192
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『かくれんぼ』from Special Studio Live / Kakurenbo / Mirei Touyama from Special Studio Live,Live,318,2020-12-14T12:00:02Z,Monday,Winter,498652,5451,132,0.011196184914529572
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『大迷惑星。』from Special Studio Live / Daimeiwakusei / Mirei Touyama from Special Studio Live,Live,275,2020-12-11T12:00:02Z,Friday,Winter,606222,7433,184,0.012564704019319655
JPop,UCLMYRi83dsYs83prGn0tByw,358000,當山みれい 『いやいいや』Music Video,MV,282,2020-11-03T15:00:10Z,Tuesday,Fall,9069735,88773,1217,0.009922009849240358
JPop,UCLMYRi83dsYs83prGn0tByw,358000,偽愛 / STUPID GUYS　covered by 當山みれい,LangVer,181,2020-10-20T15:00:27Z,Tuesday,Fall,2974808,35363,235,0.011966486576612676
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI UNCUT - Spotlight (From Live Stream),Live,248,2020-10-13T16:00:06Z,Tuesday,Fall,848,38,4,0.049528301886792456
JPop,UCLMYRi83dsYs83prGn0tByw,358000,かくれんぼ / 優里　covered by 當山みれい,LangVer,270,2020-10-13T15:00:08Z,Tuesday,Fall,3063600,25615,235,0.008437785611698655
JPop,UCLMYRi83dsYs83prGn0tByw,358000,HACK / Shuta Sueyoshi　covered by 當山みれい,LangVer,214,2020-10-06T15:00:30Z,Tuesday,Fall,245791,4734,77,0.019573540121485326
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI UNCUT  - I'll Be There (From Livestream),Live,254,2020-10-05T16:00:09Z,Monday,Fall,697,37,5,0.06025824964131994
JPop,UCLMYRi83dsYs83prGn0tByw,358000,大迷惑星。 / 泣き虫☔　covered by 當山みれい,LangVer,253,2020-09-29T15:00:11Z,Tuesday,Fall,1710601,18558,190,0.010959890705079677
JPop,UCLMYRi83dsYs83prGn0tByw,358000,MIREI UNCUT   - Best Part (Bandsintown LIVE - Live Stream),Live,207,2020-09-16T16:00:02Z,Wednesday,Fall,679,38,2,0.05891016200294551
