style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 極彩色[Live at 'No title' in  NIPPON BUDOKAN],Live,265,2025-07-29T12:00:05Z,Tuesday,Summer,37790,2292,97,0.06321778248213814
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - オオエドランヴ feat. nqrse -十年物 Edition- Official Audio,MV,237,2025-06-17T15:01:30Z,Tuesday,Summer,947505,28755,423,0.030794560450868334
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - オオエドランヴ feat. nqrse[Live at 'No title' in  NIPPON BUDOKAN],Live,231,2025-02-14T12:00:06Z,Friday,Winter,3895269,65507,810,0.017025011623074043
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol Oneman Live  'No title' in  NIPPON BUDOKAN XFDMovie,Live,457,2025-01-08T11:00:05Z,Wednesday,Winter,109230,3705,131,0.03511855717293784
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,SHINOBI × HoYoFair コラボMV（『崩壊：スターレイル』乱破インスパイアソング）,MV,192,2025-01-02T09:00:06Z,Thursday,Winter,457224,16194,136,0.03571553549245009
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 白夜[Live at 'No title' in  NIPPON BUDOKAN],Live,384,2024-12-13T12:00:06Z,Friday,Winter,204697,5379,185,0.027181639203310258
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - ヒビカセ[Live at 'No title' in Nippon Budokan],Live,257,2024-11-30T11:00:27Z,Saturday,Fall,829657,28523,359,0.034811976515596206
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 宵々古今[Live at 'No title' in Nippon Budokan],Live,304,2024-11-16T11:30:34Z,Saturday,Fall,304007,8336,191,0.028048696247125887
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - Behind the Scenes of 'RE RESCUE'(YouTube ver.),LangVer,181,2024-10-25T08:45:02Z,Friday,Fall,27555,1211,46,0.04561785519869352
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'RE RESCUE' Music Video,MV,239,2024-10-19T12:00:06Z,Saturday,Fall,992229,17630,396,0.018167177133504464
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol & nqrse - 'ULTRA C' 歌ってみた,Cover,180,2024-09-17T15:00:06Z,Tuesday,Fall,3885827,79301,1517,0.020798146700818126
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'ディア / DEAR' Music Video,MV,175,2024-08-17T15:00:06Z,Saturday,Summer,2092467,44729,686,0.02170404598973365
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,2025/11/09 Reol Oneman Live at 横浜アリーナ,Live,73,2024-08-17T12:00:46Z,Saturday,Summer,27604,1872,90,0.07107665555716562
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol - DDD[Live at ""UNBOX"" black Yokohama]",Live,241,2024-06-11T13:00:31Z,Tuesday,Summer,111099,2803,102,0.026147850115662608
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol Oneman Live 2023/24 ""UNBOX"" black XFDMovie",Live,240,2024-05-30T12:00:43Z,Thursday,Spring,70542,2364,92,0.034816137903660234
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol - VIP KID[Live at ""UNBOX"" black Yokohama]",Live,233,2024-05-11T12:00:06Z,Saturday,Spring,190999,5090,176,0.027570824978141246
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol - TAKE OFF[Live at ""UNBOX"" black Yokohama]",Live,248,2024-04-17T13:00:32Z,Wednesday,Spring,208053,4903,160,0.024335145371612042
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '感情御中 -WANT U LUV IT-' Music Video,MV,177,2024-03-29T12:00:06Z,Friday,Spring,1796203,28961,455,0.016376768104718675
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,2024/08/17 Reol Oneman Live「No title」 at 日本武道館,Live,108,2023-12-25T12:00:51Z,Monday,Winter,76357,4028,179,0.05509645481095381
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'DDD' Music Video,MV,179,2023-10-10T12:00:07Z,Tuesday,Fall,2398098,29023,808,0.012439441590794038
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 1LDK[Live at 新式浪漫 Neo Nostalgia Tokyo],Live,205,2023-10-04T12:00:28Z,Wednesday,Fall,126229,2991,100,0.024487241442140872
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 煽げや尊し[Live at 新式浪漫 Neo Nostalgia Tokyo],Live,217,2023-09-15T12:00:08Z,Friday,Fall,285246,5260,171,0.01903970607826227
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - Behind the Scenes of '切っ先'(YouTube ver.),LangVer,204,2023-07-27T12:00:30Z,Thursday,Summer,58778,2486,100,0.043996052944979415
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '切っ先 / Edge' Music Video,MV,219,2023-07-20T12:00:07Z,Thursday,Summer,4247883,46630,866,0.011181098914447503
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '綺羅綺羅 / Glitter' Music Video,MV,194,2023-05-24T12:00:08Z,Wednesday,Spring,1329806,19834,319,0.015154842134867792
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - SCORPION[Live at 新式浪漫 Neo Nostalgia Tokyo],Live,241,2023-03-06T12:00:29Z,Monday,Spring,290330,5600,254,0.02016326249440292
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'secret trip' Music Video,MV,223,2022-11-16T12:00:10Z,Wednesday,Fall,1029167,14466,418,0.01446218155071043
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - サイサキ[Live at 激情アラート Tokyo],Live,217,2022-11-04T12:00:08Z,Friday,Fall,424371,9014,193,0.02169563895742169
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'SCORPION' Music Video [in Collaboration with Riot Games ONE // VALORANT],MV,177,2022-10-28T11:00:07Z,Friday,Fall,2738004,37212,619,0.013816999536888917
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - オオエドランヴ[Live at 激情アラート Tokyo],Live,199,2022-10-19T12:00:06Z,Wednesday,Fall,384123,6650,266,0.01800464955235693
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'No title' Seaside Remix,Remix,253,2022-08-17T12:00:08Z,Wednesday,Summer,2773666,71592,1014,0.0261769081064555
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '煽げや尊し' Music Video,MV,252,2022-07-27T12:00:08Z,Wednesday,Summer,7033186,117978,1800,0.01703040414401098
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 赤裸裸[Live at 激情アラート Tokyo],Live,159,2022-06-20T13:00:13Z,Monday,Summer,308978,6895,262,0.023163461476221607
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '赤裸裸 / Naked' Music Video,MV,157,2022-05-27T11:00:11Z,Friday,Spring,1624287,17449,397,0.010986974592544298
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 赤裸裸 / NAKED Lyric Video,Lyric,161,2022-05-17T15:00:09Z,Tuesday,Spring,755660,15778,528,0.021578487679644286
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'ミュータント' Music Video,MV,250,2022-02-18T11:00:10Z,Friday,Winter,943701,18805,353,0.020300921584272984
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'Boy' Music Video,MV,253,2021-11-23T15:00:08Z,Tuesday,Fall,2928597,42674,970,0.014902699142285538
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol - un, deux, trois [Live at 音沙汰 Tokyo]",Live,242,2021-11-04T15:00:10Z,Thursday,Fall,298624,6498,172,0.022335780111444492
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - GRIMOIRE [Live at 音沙汰 Tokyo],Live,225,2021-10-28T15:00:12Z,Thursday,Fall,335118,8409,265,0.025883420168418287
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '白夜 / White Midnight' Music Video,MV,248,2021-10-14T15:00:08Z,Thursday,Fall,1958674,36652,799,0.019120588724820975
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - Hameln [Live at OTOSATA Tokyo],Live,341,2021-09-24T10:00:13Z,Friday,Fall,225833,6400,263,0.029504102589081312
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 白夜 [Live at 音沙汰 Tokyo],Live,267,2021-07-25T11:00:11Z,Sunday,Summer,741249,18056,617,0.025191265013510978
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - たい [Live at ハーメルンの大号令 Tokyo],Live,250,2020-12-22T15:00:09Z,Tuesday,Winter,885134,13957,521,0.016356845404198687
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 金字塔 [Live at ハーメルンの大号令 Tokyo],Live,215,2020-12-08T15:00:02Z,Tuesday,Winter,1001321,15427,559,0.015964910353423126
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol Japan Tour 2020 A Great Order of Hameln -Interlinked- Digest Movie (Overseas),Live,369,2020-11-29T11:00:02Z,Sunday,Fall,100717,3943,190,0.04103577350397649
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 'Q?' Music Video,MV,196,2020-11-04T11:00:14Z,Wednesday,Fall,3557885,64236,2031,0.01862539120854103
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 第六感 / THE SIXTH SENSE [Live from YouTube FanFest 2020],Live,198,2020-10-11T13:39:46Z,Sunday,Fall,6910077,86781,2023,0.012851376330538719
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 第六感 / THE SIXTH SENSE [Live at ハーメルンの大号令 -接続編-],Live,119,2020-08-27T10:00:26Z,Thursday,Summer,652416,21192,663,0.03349856533254856
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - 第六感 / THE SIXTH SENSE Lyric Video,Lyric,195,2020-08-10T10:00:07Z,Monday,Summer,3765361,46097,774,0.01244794323837741
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,"Reol - 第六感 / THE SIXTH SENSE ""MV EXPLAINED""",MV,215,2020-08-02T11:00:16Z,Sunday,Summer,296113,9169,554,0.03283543782272308
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - '第六感 / THE SIXTH SENSE' Music Video,MV,195,2020-07-28T15:00:11Z,Tuesday,Summer,78414742,764544,17999,0.009979539306524786
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,[MV] Reol - '1LDK' Music Video,MV,243,2020-03-21T14:00:11Z,Saturday,Spring,2295255,43332,1006,0.01931724361781153
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - ウテナ [Live at 侵攻アップグレード Tokyo],Live,200,2020-02-26T12:00:11Z,Wednesday,Winter,1091793,17399,515,0.016407872188226157
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol - ゆーれいずみー / Phanto(me)  [Special Live from YouTube Space Tokyo],Live,236,2020-02-19T12:00:04Z,Wednesday,Winter,643527,15400,516,0.024732451008271605
JPop,UCB6pJFaFByws3dQj4AdLdyA,1740000,Reol – HYPE MODE [Special Live from YouTube Space Tokyo],Live,211,2020-02-12T12:00:00Z,Wednesday,Winter,739021,20602,752,0.02889498403969576
