style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「雨景色」/ Rokudenashi - The Shape of Rain【Official Music Video】,MV,200,2025-07-23T12:00:06Z,Wednesday,Summer,1320614,34388,849,0.02668228566409261
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「脈拍」/ Rokudenashi - Pulse【Official Music Video】,MV,219,2025-05-07T12:00:07Z,Wednesday,Spring,828901,32276,651,0.03972368232153176
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「言の刃」/ Rokudenashi - Blade of Words【Official Music Video】,MV,203,2025-01-08T12:00:06Z,Wednesday,Winter,2758266,60536,732,0.022212505972955474
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「草々不一」/ Rokudenashi - Sincerely Yours【Official Music Video】,MV,192,2024-11-04T12:00:06Z,Monday,Fall,3465351,41909,1016,0.012386912610006894
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「アルビレオ」/ Rokudenashi - Albireo【Official Music Video】,MV,208,2024-09-04T12:00:06Z,Wednesday,Fall,9594236,115146,2103,0.012220775057023821
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「About You」/ Rokudenashi - About You【Official Music Video】,MV,209,2024-06-19T12:00:06Z,Wednesday,Summer,2556074,43283,835,0.017260063675777773
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「ユリイカ」/ Rokudenashi - Eureka【Official Music Video】,MV,226,2024-04-02T12:00:06Z,Tuesday,Spring,5170122,71604,1156,0.014073168872997581
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「あやふや」/ Rokudenashi - Ambiguous【Official Music Video】,MV,221,2024-02-07T12:00:09Z,Wednesday,Winter,5068034,60598,1233,0.012200194394907375
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「星寂夜」/ Rokudenashi - Starry Silent Night【Official Music Video】,MV,190,2023-12-27T11:00:09Z,Wednesday,Winter,6260109,74204,956,0.012006180723051308
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「リインカーネーション」/ Rokudenashi - Reincarnation【Official Music Video】,MV,166,2023-11-29T12:00:12Z,Wednesday,Fall,2687385,60128,755,0.02265510896280213
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「眼差し」/ Rokudenashi - Gaze【Official Music Video】,MV,242,2023-10-25T12:00:11Z,Wednesday,Fall,6735240,78169,1477,0.011825265320909129
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「子供騙し」/ Rokudenashi - Kiddy【Official Music Video】,MV,197,2023-08-23T12:00:07Z,Wednesday,Summer,1960518,35612,723,0.018533367201933368
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「スピカ」/ Rokudenashi - Spica【Official Music Video】,MV,166,2023-06-07T12:00:07Z,Wednesday,Summer,23512497,200764,3392,0.008682871921259576
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,"ロクデナシ「ばいばいまたあした」/ Rokudenashi - Good-bye, See You Tomorrow【Official Music Video】",MV,187,2023-04-21T12:00:11Z,Friday,Spring,1743375,33152,739,0.019439879543987956
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「愛が灯る」/ Rokudenashi - The Flame of Love【Official Music Video】,MV,200,2023-02-15T12:00:07Z,Wednesday,Winter,47727151,412005,7267,0.008784769072011023
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「ブリザード」/ Rokudenashi - Blizzard【Official Music Video】,MV,222,2022-09-21T12:00:20Z,Wednesday,Fall,1113939,19134,542,0.01766344476672421
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「知らないままで」/ Rokudenashi - As you don't know【Official Music Video】,MV,135,2022-06-24T11:00:15Z,Friday,Summer,6697318,100291,1569,0.015209073243946308
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「ただ声一つ」/ Rokudenashi - One Voice【Official Music Video】,MV,162,2021-12-21T15:00:13Z,Tuesday,Winter,183943271,1746448,37664,0.009699251243607602
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「まちぼうけ」/ Rokudenashi - Stood me up【Official Music Video】,MV,256,2021-10-26T15:00:11Z,Tuesday,Fall,3532854,62089,662,0.01776212659792904
JPop,UCRlRgAguUGfWD4EDfBUls4w,956000,ロクデナシ「三時のキス」/ Rokudenashi - 3 o'clock Kiss【Official Music Video】,MV,281,2021-06-27T15:00:10Z,Sunday,Summer,8187174,108777,1213,0.013434428045623557
