style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - それでも雨は降るんだね MV,MV,225,2024-04-13T13:30:07Z,Saturday,Spring,2698172,66383,5856,0.02677331170881619
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - 革命前線 MV,MV,221,2023-10-29T14:45:10Z,Sunday,Fall,1083059,31647,1594,0.030691772101058206
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - アンダーメンタリティ,MV,332,2023-06-18T12:00:11Z,Sunday,Summer,905961,36640,703,0.04121921363060882
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - アンダーヒロイン MV,MV,169,2023-05-01T12:00:10Z,Monday,Spring,9571493,139133,2568,0.01480448243549883
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - 傷つけど、愛してる。 MV,MV,203,2023-03-04T12:00:07Z,Saturday,Spring,7212394,109574,1980,0.015466986412555941
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - どんな結末がお望みだい？ MV,MV,201,2022-10-31T11:00:10Z,Monday,Fall,7583923,137550,4478,0.018727510814653577
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - 雨模様 MV,MV,163,2022-09-28T11:00:12Z,Wednesday,Fall,3959040,64487,1639,0.016702533947623666
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - アンダーキッズ MV,MV,207,2022-07-27T11:00:11Z,Wednesday,Summer,21135187,316923,7646,0.015356807583486249
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ - いつかオトナになれるといいね。 MV,MV,175,2022-05-25T11:00:12Z,Wednesday,Spring,13713384,204328,7753,0.015465256423943207
JPop,UCB2tP2QfRG7hTra0KTOtTBg,1360000,ツユ LIVE『終点の先が在るとするならば。』,Live,478,2022-01-23T10:15:12Z,Sunday,Winter,2086118,66002,1189,0.03220862865858978
