style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / I can't stop loving you（LIVE in Zepp New Taipei）,Live,268,2025-08-08T13:00:07Z,Friday,Summer,2288,211,26,0.10358391608391608
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / でも、solo ver.（LIVE in Zepp New Taipei）,Live,188,2025-08-06T12:00:07Z,Wednesday,Summer,5720,476,44,0.09090909090909091
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 13月1日（Live in HK kitty woo stadium）,Live,200,2025-07-24T12:00:06Z,Thursday,Summer,5886,202,12,0.036357458375807
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / センチメンタルじゃ終わらない（Live in HK kitty woo stadium）,Live,242,2025-07-22T12:00:06Z,Tuesday,Summer,3998,155,9,0.04102051025512756
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / I can't stop loving you（Live in HK kitty woo stadium）,Live,246,2025-07-19T12:00:06Z,Saturday,Summer,6404,197,9,0.03216739537788882
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / V.I.P（Live in HK kitty woo stadium）,Live,170,2025-07-17T12:00:06Z,Thursday,Summer,2126,82,3,0.03998118532455315
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 × Tani Yuuki - 愛℃（Collaboration Video）,MV,230,2025-07-16T11:00:06Z,Wednesday,Summer,103169,1756,86,0.01785420038965193
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / シンデレラノットイージー（Live in HK kitty woo stadium）,Live,140,2025-07-15T12:00:06Z,Tuesday,Summer,3001,116,8,0.04131956014661779
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / らりるれ（Live in HK kitty woo stadium）,Live,160,2025-07-13T12:00:06Z,Sunday,Summer,3283,121,5,0.03837953091684435
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Don't stop me lyrics（Live in HK kitty woo stadium）,Live,192,2025-07-12T12:00:06Z,Saturday,Summer,8360,198,5,0.024282296650717704
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 白愛 Self Cover Ver.（Live in HK kitty woo stadium）,Live,225,2025-07-10T12:00:06Z,Thursday,Summer,10380,249,11,0.025048169556840076
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Spyder（Official Vertical Lyrics Ver.）,Lyric,151,2025-07-08T12:00:06Z,Tuesday,Summer,9188,344,28,0.040487592511972134
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Spyder（ Official Music Video）,MV,151,2025-07-07T12:00:06Z,Monday,Summer,122776,4820,138,0.04038248517625594
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 備忘録（Live in HK kitty woo stadium）,Live,203,2025-07-06T12:00:06Z,Sunday,Summer,3907,138,7,0.037112874328129
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / タイムレス feat.茉ひる（Live in HK kitty woo stadium）,Live,180,2025-07-05T12:00:06Z,Saturday,Summer,8425,237,6,0.02884272997032641
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / どうして feat.野田愛実（Live in HK kitty woo stadium）,Live,182,2025-07-03T12:00:07Z,Thursday,Summer,16307,344,11,0.021769792113816154
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 愛℃（Live in HK kitty woo stadium）,Live,192,2025-06-30T12:00:06Z,Monday,Summer,6560,212,9,0.033689024390243905
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Tears Tears（Live in HK kitty woo stadium）,Live,153,2025-06-29T12:00:06Z,Sunday,Summer,9594,207,5,0.022097144048363562
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / HONEY（Live in HK kitty woo stadium）,Live,231,2025-06-28T12:00:06Z,Saturday,Summer,9877,213,13,0.022881441733319834
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 質恋 feat.まつり（Live in HK kitty woo stadium）,Live,205,2025-06-27T12:00:06Z,Friday,Summer,9040,212,8,0.024336283185840708
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / FAKE LOVER（Live in HK kitty woo stadium）,Live,165,2025-06-25T12:00:06Z,Wednesday,Summer,4399,157,6,0.03705387588088202
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,"高瀬統也 / poisonous ""B""（Live in HK kitty woo stadium）",Live,257,2025-06-23T12:00:06Z,Monday,Summer,3827,152,8,0.04180820486020381
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / ないで（ Official Lyric Video）,Lyric,209,2025-06-15T12:00:06Z,Sunday,Summer,81450,1567,48,0.019828115408225905
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Remember（ Official Lyric Video）,Lyric,248,2025-06-02T12:00:06Z,Monday,Summer,42360,712,32,0.017563739376770537
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / おまじないなんて もうやめて（ Official Lyric Video）,Lyric,153,2025-05-31T04:30:24Z,Saturday,Spring,63150,836,30,0.013713380839271575
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Spyder（ Official Lyric Video）,Lyric,141,2025-05-28T07:37:13Z,Wednesday,Spring,184849,4712,115,0.026113205914016304
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / さよならおまじない（feat. ロザリーナ）Official Music Video,MV,219,2025-05-14T12:00:06Z,Wednesday,Spring,195732,3387,78,0.017702777266875115
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / どうして（feat.野田愛実）Live at 愛'll TOUR 2024-2025,Live,204,2025-01-26T12:30:06Z,Sunday,Winter,48132,884,49,0.0193841934679631
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / でも、solo ver.（Live in HK kitty woo stadium）,Live,188,2024-12-18T12:00:06Z,Wednesday,Winter,69045,1506,55,0.022608443768556738
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / Darlin' Honey Love （Official Live Video）,Live,166,2024-11-26T12:30:32Z,Tuesday,Fall,67364,1813,139,0.0289769016091681
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / タイムレス（feat.茉ひる）(Official Live Video),Live,193,2024-09-13T12:00:07Z,Friday,Fall,103756,1839,60,0.018302555996761633
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也、れん / でも、（Official Live Video）,Live,196,2024-08-28T12:00:07Z,Wednesday,Summer,370429,7318,167,0.02020630134249748
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 備忘録 Self Cover Ver.（Official Music Video）,MV,181,2024-08-17T12:00:32Z,Saturday,Summer,173690,3936,289,0.024324946744199435
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,"高瀬統也 / poisonous""B""（Official Live Video）",Live,192,2024-08-10T13:00:07Z,Saturday,Summer,17815,358,24,0.021442604546730283
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 質恋 feat.まつり（Official Lyric Video）,Lyric,200,2024-08-08T13:00:07Z,Thursday,Summer,49515,896,18,0.01845905281227911
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 愛℃ （Offcial Live Video）,Live,234,2024-07-10T12:30:07Z,Wednesday,Summer,169429,1807,121,0.011379397859870506
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 質恋 feat.まつり（Official Live Video at JAPAN TOUR 2024 -愛℃- ）,Live,209,2024-06-30T12:00:07Z,Sunday,Summer,81298,1758,128,0.02319860267165244
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 質恋 feat.まつり（Official Music Video）,MV,204,2024-06-26T12:00:06Z,Wednesday,Summer,897576,9670,490,0.011319375740884338
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 - タイムレス feat. 茉ひる (NEOWN: THE GOLDEN Performance Video),Live,182,2024-04-27T12:00:43Z,Saturday,Spring,109500,1296,47,0.012264840182648402
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,Documentary - TAKASE TOYA LIVE TOUR in HONG KONG【Day1：Arrival in Hong Kong】,Live,451,2024-04-18T12:00:07Z,Thursday,Spring,5476,471,17,0.08911614317019723
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也、SHIROSE (WHITE JAM)  / カレンダー（Official Music Video）,MV,240,2024-04-15T12:00:07Z,Monday,Spring,138328,1477,115,0.011508877450696894
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / シンデレラノットイージー (Live at TAKASE TOYA LIVE TOUR 2023 ー 2023年13月31日 ー ),Live,142,2024-03-28T12:00:07Z,Thursday,Spring,19944,556,67,0.03123746490172483
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 愛℃（Official Music Video）,MV,239,2024-03-19T12:00:06Z,Tuesday,Spring,973026,9174,265,0.009700665758160625
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 /タイムレス feat.茉ひる（Official Lyric Video）,Lyric,175,2024-02-09T09:00:23Z,Friday,Winter,92716,1116,20,0.012252469908106476
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也、れん /でも、（Official Lyric Video）,Lyric,180,2024-02-08T23:00:36Z,Thursday,Winter,242270,2833,50,0.011899946340859372
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也  / 日日（Official Music Video）,MV,185,2024-01-24T12:00:11Z,Wednesday,Winter,131266,2263,108,0.018062559992686605
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / タイムレス feat.茉ひる （Official Music Video）,MV,184,2023-12-25T12:00:07Z,Monday,Winter,3075668,27246,477,0.009013651668515588
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也、れん  /  でも、（Official Music Video）,MV,193,2023-12-20T12:00:10Z,Wednesday,Winter,5625067,65495,967,0.011815325933006665
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,"高瀬統也 / poisonous ""B""（Live at JAPAN TOUR 2023）",Live,188,2023-12-03T13:00:10Z,Sunday,Winter,38877,983,48,0.026519535972425855
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,"高瀬統也 / poisonous""B""（Official Lyric Video）",Lyric,173,2023-08-27T13:00:05Z,Sunday,Summer,91434,1319,55,0.01502723275805499
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 備忘録  Self Cover Ver.（ Live in Hong Kong）,Live,225,2023-08-12T13:44:50Z,Saturday,Summer,76221,1383,170,0.02037496228073628
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / TWI LIGHT（feat. N.O.A） Live in Hong Kong,Live,209,2023-07-08T12:30:10Z,Saturday,Summer,24876,1453,79,0.061585463900948705
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 /  FAKE LOVER（Live in Hong Kong）,Live,160,2023-06-15T13:00:10Z,Thursday,Summer,86985,3520,75,0.04132896476403978
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / FAKE LOVER（Official Music Video）,MV,163,2023-06-08T13:00:08Z,Thursday,Summer,625459,16115,260,0.02618077284042599
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,TAKASE TOYA /  Doushite（feat. Emi Noda）（中文翻譯歌詞版 ）Official Music Video,MV,188,2023-05-17T13:00:07Z,Wednesday,Spring,1051910,16292,163,0.015642973258168474
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / らりるれ（Official Music Video）,MV,164,2023-03-07T12:00:07Z,Tuesday,Spring,126794,1614,95,0.013478555767623074
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / I can't stop loving you feat.野田愛実（Official Music Video）,MV,218,2023-01-21T11:00:11Z,Saturday,Winter,538371,6315,78,0.011874710933538396
JPop,UC9eX-yFQNy_puCqa-QIKD0Q,101000,高瀬統也 / 13月1日（ Official Music Video ）,MV,195,2022-11-28T23:00:11Z,Monday,Fall,1110849,12783,424,0.011889104639784525
