style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『あなたがいることで』 LIVE “Uru Tour 2023「contrast」”,Live,320,2025-08-08T09:01:23Z,Friday,Summer,75698,2953,123,0.04063515548627441
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「Never ends」 TBS系金曜ドラマ「DOPE 麻薬取締部特捜課」主題歌,MV,254,2025-07-11T12:00:07Z,Friday,Summer,1111832,9078,291,0.008426632800638946
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「フィラメント」 映画『おいしくて泣くとき』主題歌,MV,265,2025-04-04T12:00:06Z,Friday,Spring,2170009,18057,543,0.00857139302187226
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru「春 ～Destiny～」 『キリン 午後の紅茶』CMソング,MV,239,2025-03-18T11:00:06Z,Tuesday,Spring,1480598,10374,330,0.00722951131907513
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『アンビバレント』 初回盤 Live digest,Live,198,2024-02-03T03:00:23Z,Saturday,Winter,367045,5638,149,0.015766459153509788
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『アンビバレント』Single digest,MV,155,2024-01-27T03:00:36Z,Saturday,Winter,105855,2691,64,0.02602616787114449
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「アンビバレント」 TVアニメ『薬屋のひとりごと』第2クールOPテーマ,MV,267,2024-01-19T15:00:10Z,Friday,Winter,16961365,110088,1433,0.006575001481307666
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「君の幸せを」,MV,380,2023-11-21T15:00:11Z,Tuesday,Fall,3358315,32288,846,0.009866257334407285
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「君の幸せを」 official audio(Short ver.),MV,131,2023-11-19T09:00:23Z,Sunday,Fall,218017,3770,100,0.017750909332758455
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『それを愛と呼ぶなら』 LIVE “Uru Tour 2023「contrast」” on WOWOWプラス,Live,297,2023-10-27T09:00:28Z,Friday,Fall,21941505,64158,2143,0.003021716149370793
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『心得／紙一重』 Single digest,MV,232,2023-06-03T03:00:01Z,Saturday,Summer,319779,3187,126,0.010360280068422253
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『心得』 フジテレビ系月9ドラマ『風間公親－教場０－』主題歌,MV,246,2023-05-29T11:00:11Z,Monday,Spring,20797643,72364,1868,0.0035692506117159526
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『紙一重』 TVアニメ「地獄楽」エンディングテーマ,MV,260,2023-04-15T12:00:09Z,Saturday,Spring,9803606,72456,1737,0.007567929596517853
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『脱・借りてきた猫症候群』,MV,233,2023-02-28T11:00:07Z,Tuesday,Winter,1676306,10440,289,0.006400382746348221
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru「そばにいるよ」× ABEMA『私たち結婚しました 4』コラボレーションMV,MV,250,2023-01-06T15:00:14Z,Friday,Winter,1147573,5838,116,0.005188340959572942
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『そばにいるよ』,MV,279,2022-11-04T11:00:09Z,Friday,Fall,4041214,25555,413,0.00642579185363606
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】7月より全国ツアー開催決定！Uru Live「To You」＠国際フォーラム・ホールA Live digest,Live,163,2022-06-29T09:00:19Z,Wednesday,Summer,241673,2680,119,0.01158176544338838
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『セレナーデ』,MV,289,2022-06-15T09:00:09Z,Wednesday,Summer,2761663,14111,274,0.005208818020156695
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『なんでもないよ、』cover official audio,MV,203,2022-05-30T03:00:03Z,Monday,Spring,421242,4777,90,0.011553928620602883
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『それを愛と呼ぶなら』 Single digest,MV,385,2022-05-22T03:00:13Z,Sunday,Spring,951481,5864,111,0.006279683987383878
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『それを愛と呼ぶなら』 TBS系 日曜劇場「マイファミリー」主題歌,MV,317,2022-05-01T09:00:11Z,Sunday,Spring,17986070,168559,2524,0.009511972320801598
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,Uru Anniversary Tour 2021「Punctuation」DIGEST 2021.7.16 at Tokyo LINE CUBE SHIBUYA ＜For J-LODlive＞,Live,308,2021-09-23T09:00:18Z,Thursday,Fall,334233,2869,129,0.008969790535345103
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru『勿忘』cover official audio,MV,249,2021-08-26T09:00:14Z,Thursday,Summer,742579,8242,145,0.011294421199629938
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『Love Song』 初回盤 Movie digest,MV,181,2021-08-19T09:00:02Z,Thursday,Summer,334829,4110,121,0.012636300917781913
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『Love Song』  Single digest,MV,343,2021-08-12T09:00:14Z,Thursday,Summer,458767,3700,86,0.008252555218662196
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『Love Song』  フジテレビ系 木曜劇場「推しの王子様」主題歌,MV,294,2021-08-05T12:00:12Z,Thursday,Summer,24237444,121214,1897,0.005079372230834241
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『ドライフラワー』cover official audio,MV,283,2021-02-10T03:00:04Z,Wednesday,Winter,7540781,66700,1212,0.009005963705881394
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『ファーストラヴ』 映画「ファーストラヴ」主題歌,MV,307,2021-02-08T03:00:08Z,Monday,Winter,24229161,61727,1543,0.0026113161739277726
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『ファーストラヴ』 初回盤 Movie digest,MV,176,2021-02-06T03:00:01Z,Saturday,Winter,551980,6356,213,0.011900793507011124
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「ファーストラヴ」 Single digest,MV,132,2021-02-02T03:00:01Z,Tuesday,Winter,184671,3156,171,0.018015822733401562
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,2020.12.6 Uru Live「Precious One day ～Uru-u Year 2020～」DIGEST ＜For J-LODlive＞,Live,313,2021-01-21T03:00:03Z,Thursday,Winter,611996,3701,149,0.006290890790135883
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『振り子』  映画『罪の声』主題歌,MV,238,2020-10-28T03:00:00Z,Wednesday,Fall,14975049,57439,1664,0.0039467650489824774
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「Break / 振り子」 Single digest,MV,139,2020-10-17T03:00:12Z,Saturday,Fall,195238,3128,133,0.01670269107448345
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 『Break』読売テレビ・日本テレビ系TVアニメ「半妖の夜叉姫」EDテーマ,MV,294,2020-10-10T03:00:02Z,Saturday,Fall,4866325,45455,2147,0.009781919621069288
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,【Official】Uru 「今 逢いに行く」,MV,231,2020-07-31T03:00:01Z,Friday,Summer,4933283,26548,584,0.005499785842409608
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,The last rain　Music Video,MV,321,2020-06-14T15:00:31Z,Sunday,Summer,419612,4544,146,0.011176992078396232
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,「プロローグ」FULL ver.,LangVer,305,2020-06-14T15:00:26Z,Sunday,Summer,1927810,18184,336,0.009606755852495838
JPop,UCdPCarwi28K5Z7s5l2nMiLw,1150000,フリージア　MUSIC VIDEO,MV,341,2020-06-14T15:00:20Z,Sunday,Summer,2075479,26408,916,0.01316515368259568
