style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,再会 / Vaundy：MUSIC VIDEO,MV,294,2025-07-18T11:00:07Z,Friday,Summer,7977166,48172,1395,0.006213610196904515
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,pained MUSIC VIDEO / Vaundy：Behind the Scenes,MV,259,2025-07-15T11:08:45Z,Tuesday,Summer,99962,3408,91,0.035003301254476704
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,pained / Vaundy：MUSIC VIDEO,MV,315,2025-07-04T11:00:07Z,Friday,Summer,1583232,20753,566,0.013465493370523081
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,僕にはどうしてわかるんだろう MUSIC VIDEO / Vaundy：Behind the Scenes,MV,280,2025-06-18T15:01:23Z,Wednesday,Summer,226483,6035,140,0.02726473951687323
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,Vaundy LIVE “恋風邪にのせて” 2025.01.19 one man live ARENA tour “FUSION” at さいたまスーパーアリーナ,Live,259,2025-05-16T11:07:19Z,Friday,Spring,1285441,11309,304,0.009034253614129314
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,僕にはどうしてわかるんだろう(テレビ朝日系木曜ドラマ『PJ ～航空救難団～』主題歌) / Vaundy：MUSIC VIDEO,MV,273,2025-05-05T15:00:07Z,Monday,Spring,9787156,35809,1136,0.0037748453176796202
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,【ドームツアーチケット先行受付中！】Vaundy LIVE “泣き地蔵” 2025.01.19 one man live ARENA tour “FUSION” at さいたまスーパーアリーナ,Live,152,2025-04-14T11:01:44Z,Monday,Spring,182658,4526,125,0.025462886925292076
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,【4大ドームツアーチケット先行受付中！】Vaundy LIVE “怪獣の花唄” 2025.01.19 one man live ARENA tour “FUSION” at さいたまスーパーアリーナ,Live,229,2025-03-08T11:54:28Z,Saturday,Spring,641145,8000,247,0.012862924923379267
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,【4大ドームツアー開催!! 男性ソロ史上最年少 】Vaundy DOME TOUR 2026 開催発表,Live,147,2025-03-06T11:08:00Z,Thursday,Spring,136542,3902,132,0.02954402308447218
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,走れSAKAMOTO / Vaundy：MUSIC VIDEO,MV,208,2025-02-16T11:00:06Z,Sunday,Winter,6730757,41060,759,0.0062131198615549485
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,Vaundy LIVE “風神” 2025.01.19 one man live ARENA tour “FUSION” at さいたまスーパーアリーナ,Live,241,2025-01-31T13:00:35Z,Friday,Winter,4669903,25351,565,0.005549579937741748
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,風神 / Vaundy：MAKING OF MUSIC VIDEO,MV,248,2024-12-19T11:20:35Z,Thursday,Winter,387005,7093,115,0.01862508236327696
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"Vaundy LIVE ""そんなbitterな話"" WOWOW×Vaundy LIVE in London",Live,285,2024-12-13T12:12:57Z,Friday,Winter,2447091,20307,536,0.008517460118973917
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"【第75回NHK紅白歌合戦出場決定！】Vaundy LIVE  ""怪獣の花唄"" 2024.07.28 one man live ""HEADSHOT"" at Makuhari Messe",Live,227,2024-11-19T13:12:12Z,Tuesday,Fall,1947885,16823,573,0.008930712028687525
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"Vaundy LIVE  ""replica""  WOWOW×Vaundy LIVE in London",Live,319,2024-11-07T09:00:28Z,Thursday,Fall,1029351,10085,254,0.010044192894357706
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,風神 / Vaundy (TBS系金曜ドラマ『ライオンの隠れ家』主題歌) / Vaundy：MUSIC VIDEO,MV,254,2024-11-01T15:00:08Z,Friday,Fall,24495507,109443,2008,0.0045498547958203114
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"【第75回NHK紅白歌合戦 歌唱曲】Vaundy LIVE  ""踊り子""  WOWOW×Vaundy LIVE in London",Live,232,2024-10-09T13:08:14Z,Wednesday,Fall,9527800,61070,1525,0.006569722286362014
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"Vaundy LIVE  ""常熱"" 2024.07.28 one man live ""HEADSHOT"" at Makuhari Messe",Live,244,2024-09-19T11:03:45Z,Thursday,Fall,4451012,21853,574,0.005038629417310041
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"Vaundy LIVE DRONE CAMERA ""CHAINSAW BLOOD"" 2024.07.28 one man live ""HEADSHOT"" at Makuhari Messe",Live,120,2024-09-07T14:45:38Z,Saturday,Fall,326137,6202,162,0.019513272029852487
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"【200万人突破！】Vaundy LIVE  ""タイムパラドックス"" 2024.07.28 one man live ""HEADSHOT"" at Makuhari Messe",Live,232,2024-08-11T12:34:51Z,Sunday,Summer,3555058,18413,533,0.005329308270076044
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,Gift / Vaundy (『僕のヒーローアカデミア THE MOVIE ユアネクスト』ED主題歌)：MUSIC VIDEO,MV,285,2024-08-05T15:00:08Z,Monday,Summer,4757147,25519,687,0.005508763971346691
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,"Vaundy LIVE  ""ホムンクルス"" 2024.07.28 one man live ""HEADSHOT"" at Makuhari Messe",Live,234,2024-08-04T15:41:31Z,Sunday,Summer,4074030,26505,494,0.006627098965888813
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,GORILLA芝居 / Vaundy：MUSIC VIDEO,MV,204,2024-07-28T08:47:57Z,Sunday,Summer,4138868,19626,752,0.004923568473312026
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,ホムンクルス (『僕のヒーローアカデミア THE MOVIE ユアネクスト』主題歌) / Vaundy：MUSIC VIDEO,MV,266,2024-07-25T15:00:08Z,Thursday,Summer,13094242,68724,1657,0.005374957939527924
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,replica / Vaundy：MUSIC VIDEO,MV,335,2024-05-25T15:00:08Z,Saturday,Spring,2863148,20793,542,0.007451588251812341
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,タイムパラドックス (『映画ドラえもん のび太の地球交響楽』主題歌) / Vaundy：MUSIC VIDEO,MV,286,2024-02-24T11:00:08Z,Saturday,Winter,52656760,231306,5753,0.004501967078870785
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,ZERO / Vaundy：MUSIC VIDEO,MV,237,2023-12-31T15:00:05Z,Sunday,Winter,6145890,29564,998,0.0049727541495210624
JPop,UC1FQWQ3y3-e8l1pCtWhJt5A,2370000,トドメの一撃 feat. Cory Wong  (TVアニメ『SPY×FAMILY』Season 2 エンディング主題歌) / Vaundy：MAKING OF MUSIC VIDEO,MV,388,2023-12-25T10:35:38Z,Monday,Winter,438455,8610,230,0.020161704165763874
