style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『Ever』Music Video,LangVer,248,2025-07-16T12:00:06Z,Wednesday,Summer,77468,2248,58,0.029767129653534362
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『春を告げる（☆Taku Takahashi Remix）』Music Video,Remix,185,2025-04-23T15:00:06Z,Wednesday,Spring,147606,5855,129,0.04054035743804452
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『レコード（feat. Taka Perry）』Music Video,MV,179,2025-04-09T12:01:29Z,Wednesday,Spring,175352,4495,60,0.02597632191249601
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『色彩』from “the meaning of life” TOUR 2024 at LINE CUBE SHIBUYA,Live,190,2025-01-23T09:00:05Z,Thursday,Winter,25396,1038,32,0.04213261931012758
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『新星』Music Video,MV,196,2024-08-31T12:00:32Z,Saturday,Summer,284190,7867,130,0.028139624898835286
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『イノセント』Lyric Video,Lyric,242,2024-04-13T13:00:06Z,Saturday,Spring,353981,6369,97,0.01826651712945045
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『こだま』Music Video,MV,185,2024-03-16T12:00:06Z,Saturday,Spring,827757,15523,205,0.01900074538783725
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『日々』Lyric Video,Lyric,200,2024-02-22T12:00:10Z,Thursday,Winter,335544,7403,104,0.02237262475264049
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『灰炎 (with. cinema staff)』Lyric Video,Lyric,207,2024-02-15T12:00:10Z,Thursday,Winter,246758,6325,89,0.02599307823859814
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『沫雪』Music Video,MV,187,2024-02-08T12:00:07Z,Thursday,Winter,1248594,19082,225,0.015462992774272502
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama × ぼっちぼろまる『ハロ』MV（テレビアニメ「ポケットモンスター」オープニングテーマ）,MV,203,2023-12-13T11:00:08Z,Wednesday,Winter,992810,13777,244,0.014122541070295425
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama × ぼっちぼろまる『ハロ』lyric Video（テレビアニメ『ポケットモンスター』オープニングテーマ）,Lyric,199,2023-10-27T10:30:06Z,Friday,Fall,7183913,53043,1358,0.007572613977925401
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『パレットは透明』MV,MV,205,2023-10-18T09:00:10Z,Wednesday,Fall,1547908,6101,125,0.004022202869938007
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『返光(Movie Edition)』lyric Video（映画『スイート・マイホーム』主題歌）,Lyric,242,2023-09-02T12:00:44Z,Saturday,Fall,177825,2849,92,0.01653873189933924
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『slash』Official Live Video (“Special Online Live「Early Summer Nights」“ 2023.05.23),Live,265,2023-06-25T12:00:09Z,Sunday,Summer,322412,7627,158,0.02414612359341464
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『新星』Official Live Video (acoustic live tour 2023 “夜と閃き“ at GORILLA HALL OSAKA),Live,223,2023-06-15T12:00:28Z,Thursday,Summer,190681,3697,148,0.020164568048206166
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『ストロボ』Official Live Video (“Special Online Live「Early Summer Nights」“ 2023.05.23),Live,320,2023-05-30T12:00:15Z,Tuesday,Spring,124582,2779,81,0.02295676743028688
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『slash』Music Video（TVアニメ『機動戦士ガンダム 水星の魔女』Season2 OP）,MV,246,2023-05-22T12:00:10Z,Monday,Spring,7231596,69946,808,0.009784008951827508
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『いぶき』MV（カンロ 『ピュレグミ』 CMソング）,MV,198,2023-04-19T12:00:07Z,Wednesday,Spring,754430,8646,187,0.0117081770343173
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『slash』Lyric Video（TVアニメ『機動戦士ガンダム 水星の魔女』Season2 OP）,Lyric,245,2023-04-16T08:30:00Z,Sunday,Spring,6917740,41242,610,0.006049952730226924
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『ライカ』Official Live Video (“the meaning of life“ TOUR 2022 at Zepp DiverCity 2022.10.8),Live,207,2023-02-25T13:00:36Z,Saturday,Winter,198451,3202,104,0.01665902414197963
JPop,UClbieOB_NYcY9TlIthmyw-A,1200000,yama『くびったけ』Official Live Video (“the meaning of life“ TOUR 2022 at Zepp DiverCity 2022.10.8),Live,254,2023-02-22T12:00:13Z,Wednesday,Winter,118899,2159,84,0.018864750754842344
