style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI / New me (English Version) Official Music Video,MV,208,2025-07-11T13:00:06Z,Friday,Summer,177569,6469,220,0.03766986354600184
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI / Watch me! (English Version) Official Music Video,MV,187,2025-06-08T08:30:07Z,Sunday,Summer,519580,17148,410,0.03379267870202856
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI / PLAYERS (English Version) Official Music Video,MV,217,2025-05-23T13:00:21Z,Friday,Spring,277187,8635,285,0.03218044136269017
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI「Watch me!」Official Music Video,MV,187,2025-05-18T08:30:07Z,Sunday,Spring,11277755,197296,5241,0.01795898208464362
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI「PLAYERS」 from 『Echoes Baa (Day2)』2025.04.06@横浜・赤レンガ倉庫,Live,241,2025-05-10T11:00:06Z,Saturday,Spring,892926,15004,525,0.017391138795376102
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI「PLAYERS」Official Music Video,MV,217,2025-04-17T11:00:06Z,Thursday,Spring,2280076,43591,1241,0.019662502477987575
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI「HEART BEAT」 from 『YOASOBI ASIA TOUR 2024-2025 “超現実｜cho-genjitsu” in Singapore』2025.2.22-23,Live,339,2025-03-18T12:01:26Z,Tuesday,Spring,955222,16786,578,0.01817797328788491
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,YOASOBI / UNDEAD (English Version) Official Music Video,MV,187,2025-02-28T11:00:07Z,Friday,Winter,1228950,30401,686,0.025295577525529925
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,"YOASOBI「アイドル」from『劇場版YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現実""』／ 絶賛公開中！",Live,336,2025-02-25T11:00:20Z,Tuesday,Winter,14017555,203277,3897,0.01477961028153626
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,"YOASOBI「New me」 from 『YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現実""』2024.11.10@東京ドーム",Live,222,2025-01-04T13:00:38Z,Saturday,Winter,1356375,22453,617,0.017008570638650817
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,"YOASOBI「モノトーン」 from 『YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現実""』2024.11.10@東京ドーム",Live,220,2024-12-28T14:00:38Z,Saturday,Winter,1927069,22887,470,0.012120479339349031
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,"YOASOBI「舞台に立って」 from 『YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現実""』2024.11.10@東京ドーム",Live,235,2024-12-21T13:00:27Z,Saturday,Winter,6066025,56283,1445,0.00951661096022519
vTubers,UCvpredjG93ifbCP1Y77JyFA,7250000,"YOASOBI「UNDEAD」 from 『YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現実""』2024.11.10@東京ドーム",Live,215,2024-12-14T13:00:12Z,Saturday,Winter,15656811,115042,2600,0.007513790643573586
