style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師「IRIS OUT」劇場版『チェンソーマン レゼ篇』主題歌,MV,96,2025-07-04T00:09:23Z,Friday,Summer,2520240,63544,2534,0.0262189315303304
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師「Plazma」×『機動戦士Gundam GQuuuuuuX』　Kenshi Yonezu - Plazma × Mobile Suit Gundam GQuuuuuuX　⚠️閲覧注意,MV,180,2025-06-24T16:00:05Z,Tuesday,Summer,7923651,133415,4343,0.0173856723371587
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,Kenshi Yonezu - BOW AND ARROW  (Live),Live,184,2025-06-09T12:05:06Z,Monday,Summer,3670513,72539,2468,0.0204350182113508
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,Kenshi Yonezu - Plazma（Live）,Live,189,2025-06-09T12:00:06Z,Monday,Summer,2582677,54992,1970,0.0220554099486695
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 Kenshi Yonezu - BOW AND ARROW / 羽生結弦 Yuzuru Hanyu Short Program ver.,LangVer,195,2025-03-13T11:00:06Z,Thursday,Spring,9227485,210902,14715,0.0244505409653876
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 Kenshi Yonezu - BOW AND ARROW,MV,198,2025-03-05T11:00:07Z,Wednesday,Spring,25682681,443927,25869,0.0182923270354835
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師  Kenshi Yonezu - Plazma,MV,200,2025-01-21T11:00:15Z,Tuesday,Winter,29627713,258116,11289,0.0090930069425203
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 - Azalea  × 「さよならのつづき」Special MV,MV,221,2024-11-26T11:00:22Z,Tuesday,Fall,4152911,45024,1901,0.0112993030671738
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師  Kenshi Yonezu - Azalea,MV,223,2024-11-18T11:00:06Z,Monday,Fall,11769677,113532,8207,0.0103434444292736
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,"ハチ - ドーナツホール 2024 , HACHI - DONUT HOLE 2024",MV,229,2024-09-30T01:00:33Z,Monday,Fall,24552128,533909,16497,0.0224178531490223
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,"米津玄師 - さよーならまたいつか！「虎に翼」OPタイトルバック・フル　Kenshi Yonezu - Sayonara, Mata Itsuka !",MV,202,2024-09-24T11:39:39Z,Tuesday,Fall,11191889,92538,2148,0.008460234014115
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,LOST CORNER AR LIVE in HARAKADO,Live,319,2024-08-26T11:00:01Z,Monday,Summer,632067,21954,803,0.0360040945026397
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 - がらくた　Kenshi Yonezu - Garakuta JUNK,MV,287,2024-08-22T15:00:07Z,Thursday,Summer,12635412,154368,8500,0.0128898052552619
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 2023 TOUR / 空想 - Kenshi Yonezu 2023 TOUR / FANTASY,Live,159,2024-08-19T15:00:56Z,Monday,Summer,1615820,34882,1962,0.0228020447822158
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師  Kenshi Yonezu - RED OUT,MV,195,2024-08-07T15:00:07Z,Wednesday,Summer,8017145,124761,7630,0.0165134845384485
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 - 毎日　Kenshi Yonezu - Mainichi ( Every Day ),LangVer,207,2024-05-28T15:00:07Z,Tuesday,Spring,17722595,198106,10670,0.0117802161590895
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,"米津玄師 - さよーならまたいつか！ Kenshi Yonezu - Sayonara, Mata Itsuka !",MV,208,2024-04-11T23:14:57Z,Thursday,Spring,95266041,558495,26044,0.0061358590518104
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,"米津玄師「地球儀」× 宮﨑駿「君たちはどう生きるか」Kenshi Yonezu - Spinning Globe (Hayao Miyazaki, The Boy and The Heron)",MV,312,2023-12-03T22:00:01Z,Sunday,Winter,18015742,129397,2796,0.0073376383831429
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,「FINAL FANTASY XVI」× 米津玄師「月を見ていた」Special MV【ネタバレ注意】Kenshi Yonezu - Tsuki Wo Miteita - Moongazing,MV,269,2023-08-25T11:00:25Z,Friday,Summer,3481257,45701,1398,0.0135293085227548
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 × 菅田将暉 - 僕たちはどう生きるか 対談4,MV,122,2023-08-12T11:00:32Z,Saturday,Summer,131201,4000,81,0.0311049458464493
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師  - 地球儀　Kenshi Yonezu - Spinning Globe（Live）,Live,296,2023-08-10T13:00:08Z,Thursday,Summer,8187297,90976,3664,0.0115593705712642
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師  - 地球儀　Kenshi Yonezu - Spinning Globe,MV,307,2023-07-25T23:00:08Z,Tuesday,Summer,45271508,326989,13027,0.0075105958476134
JPop,UCUCeZaZeJbEYAAzvMgrKOPQ,7780000,米津玄師 - 月を見ていた Kenshi Yonezu - Tsuki Wo Miteita / Moongazing,MV,270,2023-07-09T11:02:30Z,Sunday,Summer,22313275,236233,9979,0.0110343282194119
