style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - LIVE「晴る」,Live,279,2025-06-17T09:00:57Z,Tuesday,Summer,3415067,63012,1699,0.01894867655597972
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 火星人（OFFICIAL VIDEO）,MV,239,2025-05-09T09:00:37Z,Friday,Spring,10642285,150529,5031,0.014617161633991196
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - へび（OFFICIAL VIDEO）,MV,257,2025-02-25T09:00:59Z,Tuesday,Winter,6650923,77439,1891,0.011927667783854963
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 太陽（OFFICIAL VIDEO）,MV,266,2024-11-21T15:00:21Z,Thursday,Fall,5143904,69971,1960,0.01398373686600683
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - アポリア（OFFICIAL VIDEO）,MV,242,2024-10-08T09:00:41Z,Tuesday,Fall,13366910,134979,2981,0.010321009118786615
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ -  LIVE「斜陽」,Live,203,2024-09-03T09:00:15Z,Tuesday,Fall,2597353,54139,1213,0.021310926932149768
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 忘れてください（OFFICIAL VIDEO）,MV,228,2024-07-18T08:00:10Z,Thursday,Summer,23679159,244229,5712,0.010555315752556922
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 晴る（OFFICIAL VIDEO）,MV,277,2024-03-05T09:00:13Z,Tuesday,Spring,64869647,431783,6767,0.006760480753040016
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 月光浴（OFFICIAL VIDEO）,MV,253,2023-10-19T09:00:40Z,Thursday,Fall,4124935,65304,1703,0.016244377184125327
JPop,UCRIgIJQWuBJ0Cv_VlU3USNA,3720000,ヨルシカ - 第一夜（OFFICIAL VIDEO）,MV,270,2023-06-24T13:00:00Z,Saturday,Summer,5277112,79248,1972,0.015390994164990245
