style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『真夏の果実』acoustic ver. 優里 × 瑛人,MV,299,2025-07-31T10:00:49Z,Thursday,Summer,549047,10322,412,0.019550238868439315
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『息を吸って』acoustic ver. 優里 × KOKONA,MV,237,2025-07-26T10:00:16Z,Saturday,Summer,85380,3046,161,0.037561489810260015
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『香水』acoustic ver. 瑛人 × 優里,MV,269,2025-07-21T10:00:03Z,Monday,Summer,889967,15059,615,0.017611888980153197
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『糸』acoustic cover. 優里,MV,220,2025-07-17T10:00:36Z,Thursday,Summer,972327,16595,858,0.017949722675601933
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『群青日和』acoustic cover. 優里 × 上野 羽有音(TETORA),MV,202,2025-07-11T10:01:45Z,Friday,Summer,109282,2720,148,0.026244029208835857
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『今日くらいは』acoustic ver. 優里 × 上野 羽有音(TETORA),MV,212,2025-07-06T10:00:34Z,Sunday,Summer,381873,8065,328,0.02197851118041862
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『最&強』acoustic ver. 優里 × 川崎鷹也,MV,254,2025-06-29T10:00:48Z,Sunday,Summer,451679,10118,541,0.023598617602323773
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『曖昧Blue』acoustic ver. 川崎鷹也 × 優里,MV,252,2025-06-22T10:00:03Z,Sunday,Summer,587915,11108,440,0.0196422952297526
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『ギブス』acoustic cover. 優里 × Mumeixxx,MV,308,2025-06-08T10:00:52Z,Sunday,Summer,815549,11945,425,0.015167696852059166
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『ここでキスして。』acoustic cover. 優里 × LiLi,MV,280,2025-06-01T10:00:24Z,Sunday,Summer,844500,13542,404,0.016513913558318532
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『First Love』acoustic cover. 優里 × 春茶,MV,272,2025-05-26T10:01:04Z,Monday,Spring,1742498,24590,555,0.014430432631773465
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『栄光の架橋』acoustic cover. 優里 × 竹中雄大,MV,327,2025-05-22T10:01:27Z,Thursday,Spring,2644648,29134,1379,0.011537641304249186
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『そばかす』acoustic cover. 優里 × Mumeixxx,MV,244,2025-05-18T10:00:43Z,Sunday,Spring,1315609,16831,626,0.013269139995241748
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『ボーイフレンド』 acoustic cover. 優里 × LiLi,MV,286,2025-05-14T10:00:03Z,Wednesday,Spring,2354416,26824,671,0.011678055195003771
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『WINDING ROAD』 acoustic cover. 優里 × もーりーしゅーと,MV,304,2025-05-10T10:01:30Z,Saturday,Spring,921206,19569,1103,0.022440149108885525
JPop,UC7MvTslTWkE1HKNYkXiGv1Q,2290000,『地球最後の告白を』Acoustic cover. 優里× Kotoha（ハコニワリリィ）,MV,300,2025-05-06T10:04:00Z,Tuesday,Spring,1357074,26631,602,0.02006743921112629
