style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里オーケストラアレンジアルバム『響』初回生産限定盤Blu-rayに収録『ビリミリオン』『ベテルギウス』オーケストラアレンジver. MVダイジェスト,MV,146,2023-11-09T03:00:03Z,Thursday,Fall,641016,9800,379,0.015879478827361564
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『ライラ』Official Music Video,MV,216,2023-11-02T11:00:08Z,Thursday,Fall,2057857,20402,729,0.010268449168236665
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『15の夜』Official Music Video,MV,324,2023-10-06T03:00:13Z,Friday,Fall,2366061,30137,1314,0.013292556700778214
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『アストロノーツ』Official Music Video（紙芝居ミュージックビデオ）,MV,209,2023-05-24T11:00:08Z,Wednesday,Spring,3988961,27144,734,0.006988787305767091
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『恋人じゃなくなった日』Official Music Video,MV,240,2023-03-01T11:00:11Z,Wednesday,Spring,21155588,101746,2392,0.0049224819466138214
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『ビリミリオン』Official Music Video,MV,229,2023-01-19T11:00:09Z,Thursday,Winter,85130929,480430,15448,0.005824886510988269
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『メリーゴーランド』Official Music Video,MV,314,2022-12-28T11:00:08Z,Wednesday,Winter,16071114,123038,3159,0.007852411475645062
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『ベテルギウス』/ ROCK IN JAPAN FESTIVAL 2022,Live,336,2022-12-21T07:00:19Z,Wednesday,Winter,4876889,56706,2123,0.012062812994103413
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『クリスマスイブ』Official Music Video,MV,249,2022-12-01T11:00:07Z,Thursday,Winter,11659627,77367,1749,0.006785465778622249
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『おにごっこ』Official Music Video,MV,251,2022-09-16T11:00:10Z,Friday,Fall,13729680,55810,1513,0.004175115516166437
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里 HALL TOUR 2021 ～夏が終わる音がする～チャンネル登録と「グッド」はお忘れなく！～ 『花鳥風月』× 360 Reality Audio,Live,212,2022-09-04T10:00:05Z,Sunday,Fall,541699,6005,196,0.011447316683250292
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『Dried Flowers』(Chinese ver.) ×『ドライフラワー』-ディレクターズカットver.- Official Music Video,MV,288,2022-08-27T03:00:18Z,Saturday,Summer,442876,12658,577,0.029884211381966962
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『Dried Flowers』(English ver.) ×『ドライフラワー』 -ディレクターズカットver.- Official Music Video,MV,288,2022-08-11T03:00:01Z,Thursday,Summer,874518,20102,541,0.023605002984501175
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『うぉ』Official Music Video,MV,187,2022-06-15T11:00:09Z,Wednesday,Summer,4328448,36820,6365,0.009977017166430091
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『シャッター』Official Music Video,MV,270,2022-03-30T12:00:09Z,Wednesday,Spring,47979818,159390,2789,0.003380150379061463
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『レオ』Official Music Video,MV,269,2022-02-03T12:00:12Z,Thursday,Winter,67345156,459173,15543,0.007048999931041811
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『ベテルギウス』Official Music Video,MV,292,2021-11-18T12:00:10Z,Thursday,Fall,65788315,401860,7093,0.006216195079627743
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里 『夏音』Lyric Music Video（1コーラスver.),Lyric,115,2021-09-13T04:00:20Z,Monday,Fall,1005579,16822,448,0.017174185220653972
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里 TOUR 2021〜御伽噺のようなハッピーエンドへ向かって〜「前半」(Live Digest Movie)＜for J-LODlive＞,Live,305,2021-09-08T08:00:15Z,Wednesday,Fall,452961,8160,243,0.018551266003033372
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里 TOUR 2021〜御伽噺のようなハッピーエンドへ向かって〜「後半」(Live Digest Movie)＜for J-LODlive＞,Live,318,2021-09-08T08:00:10Z,Wednesday,Fall,282930,5658,164,0.020577528010461952
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里 『シャッター』Lyric Music Video（1コーラスver.）,Lyric,75,2021-09-03T06:00:08Z,Friday,Fall,460150,6520,149,0.014493100076062153
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『飛行船』Official Music Video,MV,210,2021-05-18T07:00:01Z,Tuesday,Spring,4878981,38590,982,0.008110710002764922
JPop,UCBNVZPlWoR7oArfzJNrK9yw,917000,優里『ドライフラワー』Official Music Video -ディレクターズカットver.-,MV,288,2021-03-18T06:00:07Z,Thursday,Spring,202534500,534353,11383,0.0026945335239181474
