style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,劇場版 鬼滅の刃(Demon Slayer)- '太陽が昇らない世界(World Where the Sun Never Rises) / Aimer ' COVER by ココル原人,Cover,171,2025-08-01T10:00:06Z,Friday,Summer,37235,1346,72,0.038082449308446356
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,ダンダダン(DAN DA DAN) - '革命道中 (On The Way) /アイナ・ジ・エンド' COVER by ココル原人 ｜ Cocolu Genjin,Cover,214,2025-07-22T10:00:42Z,Tuesday,Summer,112086,2973,100,0.02741644808450654
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,ダンダダン(DAN DA DAN) - '革命道中(On The Way) /アイナ・ジ・エンド' COVER by TaiHEY,Cover,200,2025-07-18T10:00:49Z,Friday,Summer,21876,676,39,0.032684220149936
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,チ。-地球の運動について- '怪獣(Kaiju) /サカナクション' COVER by ココル原人｜Cocolu Genjin,Cover,269,2025-07-02T10:01:24Z,Wednesday,Summer,114108,2731,81,0.02464332036316472
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'ブリキノダンス (Spiky MIX ver.) /日向電工' - COVER by ココル原人 ｜Cocolu Genjin,Cover,218,2025-06-27T10:00:06Z,Friday,Summer,141671,3151,105,0.022982826407662825
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'お返事まだカナ💦❓おじさん構文😁❗️/ 吉本おじさん' COVER by ココル原人 ｜Cocolu Genjin,Cover,202,2025-06-16T10:00:24Z,Monday,Summer,179246,3426,89,0.01960992156031376
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,"'残酷な天使のテーゼ(Zankoku na Tenshi no Te-ze""A Cruel Angel's Thesis"") / 高橋洋子' COVER by ココル原人 ｜Cocolu Genjin",Cover,260,2025-05-29T10:01:01Z,Thursday,Spring,194134,4034,154,0.021572728115631472
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'ベテルギウス(Betelgeuse) / 優里' COVER by ココル原人 ｜Cocolu Genjin,Cover,249,2025-05-19T10:00:18Z,Monday,Spring,108352,2208,86,0.021171736562315416
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'チルドレンレコード(Re:boot) / じん' COVER by ココル原人 ｜Cocolu Genjin,Cover,192,2025-04-28T10:00:22Z,Monday,Spring,114148,2273,92,0.020718716052843675
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,Mrs. GREEN APPLE - 'クスシキ(Kusushiki) - 薬屋のひとりごと' COVER by ココル原人 ｜ Cocolu Genjin,Cover,208,2025-04-14T10:00:06Z,Monday,Spring,308226,4727,96,0.01564760922180478
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,Mrs. GREEN APPLE - 'ライラック(Lilac)' COVER by ココル原人 ｜Cocolu Genjin,Cover,307,2025-04-07T10:00:34Z,Monday,Spring,362349,4277,131,0.012165067379791306
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'モニタリング(Monitoring) / DECO*27' COVER by ココル原人 ｜Cocolu Genjin,Cover,197,2025-03-24T10:00:06Z,Monday,Spring,231988,4058,115,0.01798799937927824
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'テレパシ / DECO*27' COVER by ココル原人 ｜Cocolu Genjin,Cover,164,2025-03-10T10:00:22Z,Monday,Spring,189230,3145,82,0.017053321354964856
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,メダリスト(Medalist) - 'BOW AND ARROW /米津玄師(Kenshi Yonezu)' COVER by ココル原人 ｜ Cocolu Genjin,Cover,193,2025-02-21T10:00:02Z,Friday,Winter,203947,3144,88,0.015847254433749944
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,薬屋のひとりごと - '百花繚乱(Hyakka Ryouran) / 幾田りら(Lilas Ikuta)' COVER by ココル原人 ｜ Cocolu Genjin,Cover,200,2025-02-12T10:00:21Z,Wednesday,Winter,222944,3655,75,0.016730658820152147
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'テトリス(Tetoris)/柊マグネタイト(Hiiragi Magnetite)'  COVER by ココル原人 ｜Cocolu Genjin,Cover,159,2025-02-05T10:00:06Z,Wednesday,Winter,544837,6636,157,0.01246794912973972
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,機動戦士 Gundam GQuuuuuuX - 'Plazma /米津玄師(Kenshi Yonezu)' COVER by ココル原人 ｜ Cocolu Genjin,Cover,200,2025-01-27T10:00:12Z,Monday,Winter,412044,4841,95,0.011979303181213657
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,SAKAMOTO DAYS - '走れSAKAMOTO / Vaundy' COVER by ココル原人 ｜ Cocolu Genjin,Cover,226,2025-01-21T10:00:27Z,Tuesday,Winter,139798,1714,49,0.012611053090888282
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'死ぬな！(NEVER DIE！)/こっちのけんと(Kocchi no Kento)'  COVER by ココル原人 ｜Cocolu Genjin,Cover,228,2025-01-08T10:00:10Z,Wednesday,Winter,129624,2522,65,0.019957723878294142
JPop,UCRVVQyVOfjI5WEvJMZvj0XQ,253000,'みむかｩわナイストライ(Mimukauwa Nice Try)' COVER by ココル原人 ｜Cocolu Genjin,Cover,215,2024-12-30T10:00:14Z,Monday,Winter,170675,4202,102,0.025217518675845905
