style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,"milet「コイコガレ」(「milet 5th anniversary live ""GREEN LIGHTS""」at Yokohama Arena)",Live,212,2025-07-06T09:30:06Z,Sunday,Summer,87767,2763,79,0.03238119110827532
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,"milet「絆ノ奇跡」(「milet 5th anniversary live ""GREEN LIGHTS""」at Yokohama Arena)",Live,232,2025-07-04T09:30:06Z,Friday,Summer,358149,6071,174,0.017436876830592855
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「I still」Music Video(映画『知らないカノジョ』主題歌),MV,301,2025-02-07T13:00:07Z,Friday,Winter,13263471,48626,1707,0.003794858826923963
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,Live Forever/Oasis cover by milet×Takashi Kato(TOKYO SKA PARADISE ORCHESTRA)×THE SPELLBOUND,Live,204,2024-11-11T11:00:19Z,Monday,Fall,223327,7124,312,0.03329646661621748
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「We All Lie」Lyric Video (テレビ朝日系 木曜ドラマ「スカイキャッスル」テーマソング),Lyric,199,2024-08-01T11:00:40Z,Thursday,Summer,3752542,13864,321,0.003780104259992293
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Bluer」MUSIC VIDEO (神戸須磨シーワールド 公式テーマソング),MV,290,2024-06-05T11:00:05Z,Wednesday,Summer,2238490,15931,574,0.007373273948063203
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「hanataba」(TBS系 日曜劇場「アンチヒーロー」主題歌) LIVE SESSION,Live,341,2024-06-03T13:00:52Z,Monday,Summer,2619684,22762,409,0.008844959926464413
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「hanataba」MUSIC VIDEO(TBS系 日曜劇場「アンチヒーロー」主題歌),MV,247,2024-04-21T11:00:07Z,Sunday,Spring,27217146,89596,2574,0.003386468221172051
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「inside you」Live at 日本武道館 1chorus EDIT,Live,149,2024-01-18T09:00:16Z,Thursday,Winter,995912,7741,164,0.007937448288603812
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Anytime Anywhere」MUSIC VIDEO (TVアニメ『葬送のフリーレン』エンディングテーマ),MV,262,2023-10-06T13:00:09Z,Friday,Fall,28746153,211135,4425,0.007498742527391404
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「December」MUSIC VIDEO,MV,255,2023-09-03T11:00:40Z,Sunday,Fall,4930475,17211,471,0.0035862670432361995
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「コイコガレ」Live at 日本武道館,Live,223,2023-08-30T11:00:11Z,Wednesday,Summer,2428454,11274,283,0.004758994817278812
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Hey Song」MUSIC VIDEO,MV,303,2023-08-24T11:00:03Z,Thursday,Summer,4007632,22747,739,0.005860318512278573
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Living My Life」MUSIC VIDEO(ドラマ「転職の魔王様」主題歌),MV,230,2023-07-31T11:00:18Z,Monday,Summer,8651445,26874,849,0.003204435790784083
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet×MAN WITH A MISSION「コイコガレ」MUSIC VIDEO(テレビアニメ「鬼滅の刃」刀鍛冶の里編 エンディングテーマ),MV,225,2023-04-23T15:00:08Z,Sunday,Spring,27024798,124741,2623,0.0047128566881424975
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,"milet livehouse tour 2022 ""UNZEPP"" ＜for J-LODlive＞",Live,260,2022-11-30T11:00:18Z,Wednesday,Fall,141922,3315,218,0.024893955834895225
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Final Call」MUSIC VIDEO(「七人の秘書 THE MOVIE」主題歌 ）,MV,235,2022-10-03T12:00:15Z,Monday,Fall,11215141,33951,931,0.003110259603512787
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet 3rd anniversry live “INTO THE MIRROR” ＜for J-LODlive＞,Live,174,2022-09-17T06:00:08Z,Saturday,Fall,159603,3153,118,0.020494602231787624
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Always You」MUSIC VIDEO(映画「TANG タング」主題歌 ）,MV,284,2022-08-10T11:00:04Z,Wednesday,Summer,8782416,23975,864,0.0028282650241118162
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Walkin' In My Lane」MUSIC VIDEO (フジテレビ系木曜劇場「やんごとなき一族」主題歌 ),MV,332,2022-04-29T10:59:59Z,Friday,Spring,13409577,61919,1710,0.004745041547544714
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Flare」MUSIC VIDEO&CROSSFADE (フジテレビ“ノイタミナ”TVアニメ「王様ランキング」第2クールエンディング・テーマ),MV,387,2022-03-03T11:00:03Z,Thursday,Spring,6127817,21423,698,0.0036099315629040487
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet live tour ”visions” 2022＜for J-LODlive＞,Live,312,2022-02-28T11:00:02Z,Monday,Winter,257608,4374,290,0.018105027794167883
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「On the Edge」LIVE VIDEO (1st tour SEVENTH HEAVEN),Live,252,2022-02-18T11:00:02Z,Friday,Winter,1560230,6733,239,0.0044685719413163445
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Shed a light」MUSIC VIDEO (ECCジュニア「届け想い篇」 CMソング),MV,303,2022-02-08T11:00:04Z,Tuesday,Winter,2401880,11547,326,0.004943211151264843
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「One Reason」MUSIC VIDEO (映画「鹿の王 ユナと約束の旅」主題歌),MV,268,2022-02-01T12:00:02Z,Tuesday,Winter,4481037,28609,819,0.006567229862194845
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Wake Me Up」MUSIC VIDEO (テレビ朝日「羽鳥慎一モーニングショー」テーマ曲),MV,268,2022-01-19T11:00:03Z,Wednesday,Winter,3407809,20911,766,0.006360978564232914
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Fly High」MUSIC VIDEO (NHKウィンタースポーツテーマソング),MV,273,2021-12-18T12:00:04Z,Saturday,Winter,13008678,39979,1055,0.003154355884587196
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet 1st tour SEVENTH HEAVEN＜for J-LODlive＞,Live,367,2021-11-02T11:00:30Z,Tuesday,Fall,260532,4456,179,0.01779052093408871
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「Ordinary days」Music Video(日本テレビ系水曜ドラマ「ハコヅメ～たたかう！交番女子～」主題歌),MV,289,2021-07-14T14:00:11Z,Wednesday,Summer,21962474,102361,1898,0.004747142785462148
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,「milet 2nd anniversary live “You&I” ＜for J-LODlive＞」,Live,394,2021-06-01T11:00:16Z,Tuesday,Summer,347926,5371,165,0.015911429441892815
JPop,UCpgxgkifUGSKg9dNFE5Vo7Q,829000,milet「checkmate」MUSIC VIDEO(『映画 賭ケグルイ  絶体絶命ロシアンルーレット』主題歌),MV,203,2021-04-29T13:00:12Z,Thursday,Spring,5593611,39317,1213,0.007245766643407988
