style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,鷲尾伶菜「DiZZY」（Official Lyric Video）,Lyric,178,2025-07-15T11:00:06Z,Tuesday,Summer,24402,957,45,0.041062208015736415
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,愛のかたまり / KinKi Kids [Cover] by 鷲尾伶菜,Cover,239,2025-06-10T10:00:05Z,Tuesday,Summer,870095,9022,370,0.010794223619259967
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,満ちてゆく / 藤井風 [Cover] by 鷲尾伶菜,Cover,317,2025-04-11T11:00:43Z,Friday,Spring,271260,3892,159,0.014934011649340117
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,鷲尾伶菜「正解」(Official Music Video),MV,204,2025-03-03T11:00:06Z,Monday,Spring,159971,3721,322,0.025273330791205906
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Merry × Merry Xmas★/E-girls [Cover] by 鷲尾伶菜,Cover,248,2024-12-24T11:01:04Z,Tuesday,Winter,323058,9134,451,0.029669594933417528
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Secret of my heart/倉木麻衣  [Cover] by 鷲尾伶菜,Cover,267,2024-11-22T09:00:03Z,Friday,Fall,514664,7221,403,0.014813548256726719
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,東京依存性/乃紫 [Cover] by 鷲尾伶菜,Cover,168,2024-10-18T10:00:06Z,Friday,Fall,193781,2207,130,0.012060005882929698
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,晩餐歌/tuki [Cover] by 鷲尾伶菜×SG,Cover,222,2024-08-01T09:00:35Z,Thursday,Summer,511168,4599,273,0.00953111305872042
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,紡ぐ/とた [Cover],Cover,232,2024-04-01T13:00:39Z,Monday,Spring,633140,6220,225,0.010179423192342926
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,ホワイト・ラブ/iScream [cover] by 鷲尾伶菜×YUNA,Cover,250,2023-12-20T12:00:35Z,Wednesday,Winter,412876,5379,253,0.013640899446807273
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,プロローグ feat.Aimer/清水翔太 [cover] by 鷲尾伶菜×小波津志,Cover,315,2023-11-11T12:00:26Z,Saturday,Fall,1507562,14994,500,0.010277520924512557
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,SPECIAL REQUEST LIVE 「怪獣の花唄」 【「For My Dear」初回生産限定盤収録映像】,Live,251,2023-10-18T12:00:15Z,Wednesday,Fall,305961,3276,110,0.011066769947803805
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,銀色/鷲尾伶菜 [Official Music Video],MV,228,2023-10-11T12:00:03Z,Wednesday,Fall,730674,7417,262,0.010509474813665192
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,SPECIAL REQUEST LIVE 「恋だろ」 【「For My Dear」初回生産限定盤収録映像】,Live,188,2023-09-29T12:00:42Z,Friday,Fall,87534,1452,56,0.01722759156442068
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,SPECIAL REQUEST LIVE digest【「For My Dear」初回生産限定盤収録映像】,Live,196,2023-09-25T12:00:26Z,Monday,Fall,66445,1697,77,0.02669877342162691
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,SPECIAL REQUEST LIVE 「So Addictive」 【「For My Dear」初回生産限定盤収録映像】,Live,251,2023-09-21T12:00:17Z,Thursday,Fall,141189,2684,113,0.019810325166974764
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Oz./yama [cover],Cover,193,2023-09-13T12:00:05Z,Wednesday,Fall,232537,3235,129,0.014466515006214065
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,炎 [cover],Cover,273,2023-06-26T12:00:55Z,Monday,Summer,529898,6165,304,0.012208009843403825
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,恋だろ/wacci [cover] by 伶×春茶,Cover,262,2023-05-04T12:00:25Z,Thursday,Spring,1022073,8988,238,0.009026752492238813
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,やさしいキスをして/DREAMS COME TRUE [cover],Cover,185,2023-04-06T12:00:42Z,Thursday,Spring,785302,6643,233,0.00875586716957298
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,So Addictive/伶 [Official Lyric Video],Lyric,249,2023-02-15T11:00:08Z,Wednesday,Winter,1210943,13541,270,0.011405161101719899
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,強く儚い者たち/伶 [Official Lyric Video],Lyric,227,2023-01-20T10:00:42Z,Friday,Winter,241160,3385,137,0.01460441200862498
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,粉雪/レミオロメン [Cover],Cover,315,2022-12-24T12:00:27Z,Saturday,Winter,1545425,13095,522,0.00881116844880858
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,"Hello,Again ～昔からある場所～/MY LITTLE LOVER [Cover]",Cover,299,2022-11-08T12:00:12Z,Tuesday,Fall,1356322,9554,334,0.0072903042197944145
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,想うた～親を想う～/キヨサク [Cover],Cover,156,2022-09-30T10:00:25Z,Friday,Fall,337789,3496,165,0.010838126759604369
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,君がくれた夏/家入レオ [Cover],Cover,260,2022-08-31T12:00:27Z,Wednesday,Summer,808710,9279,296,0.011839843701697765
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Butterfly/伶 [Official Lyric Video],Lyric,261,2022-08-11T12:00:34Z,Thursday,Summer,122964,2559,77,0.02143716860219251
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,プロローグ/Uru [Cover],Cover,280,2022-07-07T12:00:12Z,Thursday,Summer,1752622,13776,468,0.008127251626420301
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,最後のサクラ/三代目 J SOUL BROTHERS from EXILE TRIBE [Cover],Cover,297,2022-05-02T12:00:12Z,Monday,Spring,1299249,12225,503,0.009796428552186686
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,怪獣の花唄/Vaundy [Cover],Cover,225,2022-04-22T12:00:29Z,Friday,Spring,1660302,13364,285,0.008220793566471643
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,恋と、終わりと、kiss feat. 清塚信也×360 Reality Audio/伶 [Official Music Video],MV,381,2022-04-15T12:00:09Z,Friday,Spring,447099,5519,189,0.012766747409410443
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,"Stand by me, Stand by you./平井大 [Cover]",Cover,198,2022-02-14T12:00:08Z,Monday,Winter,1991274,15596,433,0.008049620494216266
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,メリクリ/BoA [Cover],Cover,335,2021-12-22T12:00:17Z,Wednesday,Winter,2394721,23184,770,0.010002835403372668
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,エンカウント feat. 笹川真生×360 Reality Audio/伶 [Official Music Video],MV,217,2021-12-21T12:00:10Z,Tuesday,Winter,535964,3298,101,0.006341843855184303
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,宝石 feat. 幾田りら×360 Reality Audio/伶 [Official Music Video],MV,275,2021-11-29T12:00:12Z,Monday,Fall,1271444,15232,333,0.012241986277020458
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,点描の唄/Mrs.GREEN APPLE [Cover] by 伶×中垣悟(FREAK),Cover,303,2021-11-15T04:00:14Z,Monday,Fall,2278150,15175,385,0.006830103373351184
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,10月無口な君を忘れる/あたらよ[Cover],Cover,356,2021-10-29T12:00:22Z,Friday,Fall,1241490,16620,602,0.01387204085413495
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,So Special-Version EX-/EXILE ATSUSHI + AI [Cover] by 伶×数原龍友,Cover,281,2021-10-24T12:00:00Z,Sunday,Fall,4279974,41183,1404,0.009950294090571578
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,蝶蝶結び/Aimer [Cover],Cover,289,2021-09-17T12:00:01Z,Friday,Fall,1196412,12941,488,0.011224394272207233
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,だから僕は音楽を辞めた/ヨルシカ [Cover],Cover,247,2021-07-30T12:00:18Z,Friday,Summer,878848,10635,492,0.01266089244101369
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,青と夏/Mrs.GREEN APPLE [Cover],Cover,270,2021-07-16T12:00:01Z,Friday,Summer,1453293,14222,498,0.010128721462224067
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Answer/幾田りら [Cover],Cover,247,2021-07-01T12:00:06Z,Thursday,Summer,1008833,12782,499,0.013164716063015384
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,キミとならいいよ。/伶 [Official Music Video],MV,224,2021-06-24T12:00:13Z,Thursday,Summer,312514,8494,443,0.02859711884907556
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,First Love/宇多田ヒカル [Cover],Cover,257,2021-06-17T12:00:19Z,Thursday,Summer,3702225,30166,944,0.00840305491967668
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,キミとならいいよ。/伶 [Self-cover],Cover,225,2021-06-16T12:00:22Z,Wednesday,Summer,223476,5445,236,0.025421074298806134
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,115万キロのフィルム/Official髭男dism [Cover],MV,330,2021-06-03T12:00:34Z,Thursday,Summer,1786350,18154,735,0.010574075629076049
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,花束のかわりにメロディーを/清水翔太 [Cover],Cover,308,2021-05-20T12:00:10Z,Thursday,Spring,3223965,26904,988,0.008651458685190442
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,情熱/UA [Cover],Cover,250,2021-05-06T12:00:16Z,Thursday,Spring,912027,10297,486,0.01182311488585316
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,やさしさで溢れるように/JUJU [Cover],Cover,291,2021-04-22T12:00:18Z,Thursday,Spring,2158909,23437,877,0.011262169920084636
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,水平線/back number [Cover],Cover,282,2021-04-08T13:00:08Z,Thursday,Spring,5936904,49622,1919,0.008681460909591935
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,こんな世界にしたのは誰だ (Acoustic Ver.)/伶 [Performance Video],Live,190,2021-03-26T12:00:17Z,Friday,Spring,637341,11818,577,0.019447987811862095
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,ドライフラワー/優里 [Cover],Cover,269,2021-03-26T12:00:00Z,Friday,Spring,5312484,45270,1699,0.008841250157176943
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Flower 『F』 (Lyric Video),Lyric,324,2019-03-26T20:00:01Z,Tuesday,Spring,1659126,21740,1851,0.014218932136558646
JPop,UC8hGV6UGvtlC4k2McpRgBvw,488000,Flower 『紅のドレス』Music Video (Edited ver.),MV,168,2019-01-22T20:00:00Z,Tuesday,Winter,4075786,76144,3449,0.019528257862409852
