style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 ‘Tap Clap' MV,MV,155,2025-04-19T09:01:19Z,Saturday,Spring,207085,15504,955,0.0794794408093295
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Oh Ha Young (오하영) - Lady Marmalade | ＜PINK CHRISTMAS＞Special Stage,Live,191,2025-03-26T09:25:25Z,Wednesday,Spring,11243,953,45,0.08876634350262386
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) - Water | ＜PINK CHRISTMAS＞Special Stage,Live,178,2025-03-26T07:00:12Z,Wednesday,Spring,10414,1025,61,0.1042826963702708
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Jeong Eun Ji (정은지) - 한 페이지가 될 수 있게 | ＜PINK CHRISTMAS＞Special Stage,Live,224,2025-03-26T06:00:14Z,Wednesday,Spring,59249,2958,131,0.05213590102786545
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Park Cho Rong (박초롱) - Gimme More | ＜PINK CHRISTMAS＞Special Stage,Live,196,2025-03-26T05:30:21Z,Wednesday,Spring,19280,1835,108,0.10077800829875519
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Yoon Bo Mi (윤보미) - Unholy | ＜PINK CHRISTMAS＞Special Stage,Live,211,2025-03-26T05:00:21Z,Wednesday,Spring,15467,1725,90,0.11734660890929074
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,2024 Apink CHOBOM FANMEETING TOUR [MATCH]♥ IN SEOUL Special Stage #나를돌아봐 #전화받어,Live,182,2024-10-25T08:00:39Z,Friday,Fall,8190,971,58,0.12564102564102564
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) [BAD JOO’S] Special Stage #My_Name,Live,112,2024-04-24T09:00:11Z,Wednesday,Spring,9527,900,37,0.09835205206255904
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) [BAD JOO’S] Special Stage #첫만남은계획대로되지않아 #Baggy_Jeans #Guilty,Live,92,2024-04-24T08:00:31Z,Wednesday,Spring,9293,1109,66,0.12643925535349188
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,"Apink 에이핑크 'Wait Me There (기억, 그 아름다움)' MV",MV,223,2024-04-19T09:00:03Z,Friday,Spring,1576380,17851,1375,0.012196297846965833
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) ‘BAD’ Performance Video,Live,159,2024-03-26T03:00:14Z,Tuesday,Spring,577404,3364,111,0.006018316464728336
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) ‘BAD’ MV,MV,165,2024-03-18T09:00:22Z,Monday,Spring,3436073,28348,1448,0.008671527060106115
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Kim Nam Joo (김남주) - Valentine's Day Special Live Clip | COVER,Live,238,2024-02-14T05:14:00Z,Wednesday,Winter,30794,4252,561,0.15629668117165682
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,"(SUB) Apink Mini Diary - ""IDOL RADIO LIVE IN SEOUL"" 콘서트 비하인드 Do you Remember..? Remember!",Live,365,2024-01-05T06:00:23Z,Friday,Winter,14517,1324,72,0.09616311910174279
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 'PINK CHRISTMAS' MV,MV,197,2023-12-11T09:00:19Z,Monday,Winter,3407383,31058,1522,0.009561590229216968
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 ’D N D' 안무 연습 영상 (Choreography Practice Video) Part Switch Ver.,Dance,270,2023-04-27T10:00:37Z,Thursday,Spring,38090,3158,190,0.08789708584930428
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 ‘Candy’ 안무 연습 영상 (Choreography Practice Video),Dance,205,2023-04-19T09:00:11Z,Wednesday,Spring,121967,6266,333,0.05410479883903023
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 12th Anniversary Special Video ‘Candy’,LangVer,189,2023-04-19T04:00:32Z,Wednesday,Spring,173295,6968,381,0.04240745549496523
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 'D N D' 안무 연습 영상 (Choreography Practice Video),Dance,201,2023-04-18T10:00:27Z,Tuesday,Spring,132574,8098,268,0.06310437944091601
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,13년 차 아이돌의 복화술 라이브ㅣ에이핑크 ‘D N D’ (복화술 Ver.),LangVer,93,2023-04-08T03:00:18Z,Saturday,Spring,61599,4025,195,0.06850760564294875
KPop,UCmW1Pq56lA-k-GWpX1z8WPg,1440000,Apink 에이핑크 'D N D' MV,MV,194,2023-04-05T09:00:03Z,Wednesday,Spring,19104837,115865,7493,0.006456898847134891
