style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘HOT SAUCE’ DANCE PRACTICE BEHIND,Dance,429,2025-07-18T09:01:30Z,Friday,Summer,617511,50244,1675,0.08407785448356385
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘HOT SAUCE’ DANCE PERFORMANCE VIDEO (M/V White Horizon Ver.),Dance,158,2025-07-15T15:00:03Z,Tuesday,Summer,19109178,105189,4227,0.005725834988820555
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘HOT SAUCE’ DANCE PRACTICE VIDEO,Dance,154,2025-07-03T15:00:08Z,Thursday,Summer,56856535,245914,12456,0.0045442445622125936
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'HOT SAUCE' (Official Audio),MV,146,2025-07-02T09:01:03Z,Wednesday,Summer,465009,41425,1244,0.09175951433198067
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'BILLIONAIRE' EXCLUSIVE PERFORMANCE VIDEO BEHIND,Live,466,2025-03-08T09:00:09Z,Saturday,Spring,1465390,89433,4029,0.06377960815892016
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'BILLIONAIRE' PERFORMANCE VIDEO,Live,166,2025-02-13T15:00:02Z,Thursday,Winter,55101789,594490,22913,0.0112047723169206
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'BILLIONAIRE' EXCLUSIVE PERFORMANCE VIDEO,Live,164,2025-02-06T15:00:24Z,Thursday,Winter,119887224,1086125,38187,0.00937808018642587
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘CLIK CLAK’ (Official Audio),MV,174,2024-11-21T04:28:39Z,Thursday,Fall,378317,17497,371,0.04723023284705683
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘DRIP’ (Official Audio),MV,186,2024-11-21T04:28:25Z,Thursday,Fall,411978,22196,411,0.054874289403803116
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,"BABYMONSTER - ‘Love, Maybe’ (Official Audio)",MV,193,2024-11-21T04:28:06Z,Thursday,Fall,1880989,31287,865,0.017093135579208597
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘Really Like You’ (Official Audio),MV,203,2024-11-21T04:27:45Z,Thursday,Fall,1146990,27828,793,0.024953138213933863
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘BILLIONAIRE’ (Official Audio),MV,162,2024-11-21T04:27:27Z,Thursday,Fall,2959987,56296,1726,0.01960211311738869
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘Love In My Heart’ (Official Audio),MV,197,2024-11-21T04:26:57Z,Thursday,Fall,830958,26250,779,0.032527516432840166
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘Woke Up In Tokyo (RUKA & ASA)’ (Official Audio),MV,148,2024-11-21T04:26:20Z,Thursday,Fall,3513030,82096,1917,0.02391468333603755
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘FOREVER’ (Official Audio),MV,218,2024-11-21T04:25:27Z,Thursday,Fall,239106,18047,671,0.07828327185432403
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘BATTER UP (Remix) - Bonus Track’ (Official Audio),Remix,232,2024-11-21T04:24:40Z,Thursday,Fall,912684,27673,1114,0.03154103720455272
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘CLIK CLAK’ SPECIAL PERFORMANCE VIDEO,Live,179,2024-11-08T05:00:07Z,Friday,Fall,23581275,485430,11880,0.021089190469980947
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘DRIP' SPECIAL PERFORMANCE VIDEO,Live,190,2024-11-08T05:00:01Z,Friday,Fall,21739044,495881,10011,0.023271124525991116
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘DRIP’ PERFORMANCE VIDEO,Live,190,2024-11-05T05:00:07Z,Tuesday,Fall,140978025,1110650,33405,0.008115129999870548
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘CLIK CLAK’ PERFORMANCE VIDEO,Live,179,2024-11-03T04:00:07Z,Sunday,Fall,61053478,782710,21409,0.013170732058868128
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘BATTER UP -JP VER.’ Live at BABYMONSTER PRESENTS：SEE YOU THERE - ARIAKE ARENA,Live,199,2024-09-23T09:00:01Z,Monday,Fall,6217045,161930,5095,0.026865657237481792
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 2024 TMEA Music Festival BEHIND,Live,441,2024-09-06T09:00:02Z,Friday,Fall,846677,70959,2731,0.08703437084035588
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,[BAEMON NEWS 7] BABYMONSTER FANDOM NAME RELEASE (NG CUTS ver.),LangVer,141,2024-08-02T09:00:03Z,Friday,Summer,893683,87060,1996,0.0996505472298343
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘FOREVER’ DANCE PERFORMANCE VIDEO BEHIND,Dance,437,2024-07-17T09:00:01Z,Wednesday,Summer,1615924,108829,3835,0.069721100744837
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘FOREVER’ DANCE PERFORMANCE VIDEO,Dance,220,2024-07-04T15:00:04Z,Thursday,Summer,63054429,893384,21411,0.014508021315996692
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘FOREVER’ (Official Audio),MV,213,2024-07-02T03:00:24Z,Tuesday,Summer,1232739,80993,1791,0.06715452338248405
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘LIKE THAT’ DANCE PERFORMANCE VIDEO,Dance,180,2024-06-08T15:00:04Z,Saturday,Summer,44221315,748211,15278,0.017265180829651946
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO,Live,178,2024-05-30T15:00:02Z,Thursday,Spring,201875520,2469787,71621,0.012588985529300432
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - 'SHEESH' PERFORMANCE VIDEO BEHIND,Live,338,2024-04-24T09:00:03Z,Wednesday,Spring,1418240,112502,2763,0.08127326827617329
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘SHEESH’ PERFORMANCE VIDEO,Live,183,2024-04-04T15:00:01Z,Thursday,Spring,205873283,1625684,37461,0.008078488746886112
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘SHEESH’ (Official Audio),MV,171,2024-04-01T15:19:00Z,Monday,Spring,2814221,60964,1062,0.022040202244244498
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘LIKE THAT’ (Official Audio),MV,169,2024-04-01T15:16:38Z,Monday,Spring,19522588,269446,6548,0.01413716255242389
KPop,UCqwUnggBBct-AY2lAdI88jQ,9810000,BABYMONSTER - ‘Stuck In The Middle (7 ver.)’ (Official Audio),LangVer,247,2024-04-01T15:14:51Z,Monday,Spring,1050254,47977,1162,0.04678772944449629
