style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,V.I (from BIGBANG) - WHERE R U FROM feat. MINO (from WINNER) M/V (JP Ver.),LangVer,149,2018-08-23T03:00:02Z,Thursday,Summer,601781,34167,1582,0.0594053318399883
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,SEUNGRI - 2018 1st SOLO TOUR CONCERT MAKING FILM,Live,196,2018-08-20T12:00:09Z,Monday,Summer,240319,15576,1114,0.06944935689645845
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,『BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL』SPECIAL MOVIE,Dance,425,2018-08-18T15:00:04Z,Saturday,Summer,1626381,42470,3115,0.028028487789761438
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - FLOWER ROAD (DOCUMENTARY OF BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-),Dance,157,2018-08-17T06:00:02Z,Friday,Summer,1024959,44577,2742,0.0461667247177692
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,"V.I (from BIGBANG) - 1, 2, 3! M/V (JP Ver.)",LangVer,147,2018-08-08T03:00:02Z,Wednesday,Summer,660953,42861,2062,0.0679670112700903
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - LAST DANCE (JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL [DELUXE EDITION]),Dance,206,2018-07-31T06:00:03Z,Tuesday,Summer,522144,23640,1626,0.04838895017466446
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - 声をきかせて (JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL),Dance,199,2018-07-30T06:00:04Z,Monday,Summer,8186434,74896,3344,0.009557274876948865
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - BAD BOY (JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL),Dance,153,2018-07-27T06:00:03Z,Friday,Summer,518233,15242,755,0.030868354581819375
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - SOBER (JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL),Dance,168,2018-07-26T06:00:01Z,Thursday,Summer,3197505,57115,2471,0.018635154597099926
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,BIGBANG - BANG BANG BANG (JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL),Dance,157,2018-07-24T08:00:01Z,Tuesday,Summer,5179661,56374,2520,0.011370242183803149
KPop,UCzw-C7fNfs018R1FzIKnlaA,16600000,"SEUNGRI - ‘셋 셀테니 (1, 2, 3!)’ DANCE PRACTICE VIDEO (MOVING VER.)",Dance,211,2018-07-23T13:00:01Z,Monday,Summer,2853260,119236,5920,0.04386421146337873
