style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - '뛰어(JUMP)' Live at WORLD TOUR [DEADLINE] IN GOYANG,Live,188,2025-07-29T03:00:08Z,Tuesday,Summer,8537989,429290,11258,0.05159856729728745
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘뛰어(JUMP)’ M/V Behind the Scenes,Live,478,2025-07-21T09:00:01Z,Monday,Summer,4605304,321254,10826,0.07210816050362799
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘뛰어(JUMP)’ (Official Audio),MV,165,2025-07-12T04:00:02Z,Saturday,Summer,6183521,218187,9051,0.03674896551657219
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘뛰어(JUMP)’ M/V,Live,194,2025-07-11T04:00:07Z,Friday,Summer,139207251,5329812,419382,0.04129952972061779
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - 8TH ANNIVERSARY ‘OUR AREA’ RECAP VIDEO,LangVer,343,2024-09-06T09:00:41Z,Friday,Fall,3061027,281400,15102,0.09686356899171422
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - 'You & Me' Behind The Scenes,Live,164,2023-10-13T04:00:36Z,Friday,Fall,3487731,239065,5762,0.07019664073863495
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - ‘You & Me (Jazz ver.)’ LIVE CLIP,Live,151,2023-10-11T04:00:28Z,Wednesday,Fall,11337576,766075,28635,0.07009523023263527
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - ‘You & Me’ [BORN PINK] WORLD TOUR STAGE MIX VIDEO,Live,186,2023-10-08T04:00:14Z,Sunday,Fall,10418831,496756,12489,0.04887736445672264
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - You & Me (Official Audio),MV,180,2023-10-06T07:00:20Z,Friday,Fall,8391828,364632,12425,0.04493144997728743
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - You & Me (Coachella ver.) (Official Audio),LangVer,180,2023-10-06T07:00:06Z,Friday,Fall,30962522,558605,13805,0.018487189124968568
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO,Dance,212,2023-10-06T04:00:20Z,Friday,Fall,226683865,3705676,309924,0.01771453826235052
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘B.P.M.’ Roll #31,Live,459,2023-09-29T09:00:28Z,Friday,Fall,3871455,244495,8270,0.06528940669593215
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK THE GAME - ‘THE GIRLS’ MV,MV,164,2023-08-25T04:43:41Z,Friday,Summer,120523060,2242249,255041,0.02072043308558545
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pretty Savage’ Live at Coachella 2023,Live,226,2023-06-15T04:00:02Z,Thursday,Summer,103372529,1306637,25752,0.012889198057638699
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Typa Girl’ Live at Coachella 2023,Live,239,2023-05-27T04:00:11Z,Saturday,Spring,129099160,1806942,32697,0.01424981386400965
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Shut Down’ Live at Coachella 2023,Live,196,2023-05-27T04:00:02Z,Saturday,Spring,62701600,973396,19471,0.015834795284330863
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - ‘꽃(FLOWER)’ M/V REACTION,Live,266,2023-04-08T04:00:26Z,Saturday,Spring,4187782,425906,11973,0.10456107791666329
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - ‘꽃(FLOWER)’ DANCE PERFORMANCE VIDEO,Dance,181,2023-04-05T15:00:08Z,Wednesday,Spring,192519881,3228214,107330,0.017325711935174112
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - ‘꽃(FLOWER)’ M/V MAKING FILM,Live,208,2023-04-04T04:00:12Z,Tuesday,Spring,7068800,614161,10910,0.08842674852874603
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - [ME] JACKET MAKING FILM,Live,135,2023-04-02T04:00:00Z,Sunday,Spring,6033305,689486,12872,0.1164134748699096
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - ‘꽃(FLOWER)’ FANCHANT GUIDE,Live,259,2023-04-01T11:08:00Z,Saturday,Spring,4189893,566916,21827,0.14051504417893249
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,JISOO - ‘꽃(FLOWER)’ M/V,Live,185,2023-03-31T04:00:14Z,Friday,Spring,610273674,11153709,1397826,0.020567059558266314
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - [BORN PINK] OFFLINE FAN SIGNING EVENT,Live,142,2022-11-07T09:00:25Z,Monday,Fall,4373281,289831,6993,0.0678721536530582
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ (Official Audio),MV,188,2022-09-21T12:02:04Z,Wednesday,Fall,14419797,355579,5673,0.025052502472815673
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Shut Down’ (Official Audio),MV,176,2022-09-21T12:01:47Z,Wednesday,Fall,15486455,354641,4958,0.023220226966081003
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Typa Girl’ (Official Audio),MV,180,2022-09-21T12:01:25Z,Wednesday,Fall,127051406,1426492,20572,0.011389594539394551
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Yeah Yeah Yeah’ (Official Audio),MV,179,2022-09-21T12:01:09Z,Wednesday,Fall,23651161,465820,8188,0.020041637702267554
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Hard to Love’ (Official Audio),MV,163,2022-09-21T12:00:53Z,Wednesday,Fall,43514115,700931,25033,0.016683414105974577
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘The Happiest Girl’ (Official Audio),MV,223,2022-09-21T12:00:37Z,Wednesday,Fall,32258838,688368,16567,0.021852461021689622
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Tally’ (Official Audio),MV,185,2022-09-21T12:00:19Z,Wednesday,Fall,109581984,910565,15094,0.00844718233975395
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Ready For Love’ (Official Audio),MV,185,2022-09-21T12:00:02Z,Wednesday,Fall,5527133,326573,6479,0.06025764171044916
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Shut Down’ M/V MAKING FILM,Live,210,2022-09-20T15:00:21Z,Tuesday,Fall,9756934,961979,16709,0.10030692018619784
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Shut Down’ DANCE PERFORMANCE VIDEO,Dance,181,2022-09-18T15:00:14Z,Sunday,Fall,219817656,3992586,101857,0.018626542901540175
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Shut Down’ M/V,Live,181,2022-09-16T04:00:12Z,Friday,Fall,750578047,11900812,2092533,0.018643424299352042
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ SPECIAL STAGE,Live,194,2022-08-27T06:00:06Z,Saturday,Summer,51952359,2801395,59897,0.05507530466518373
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ Visualizer,Live,193,2022-08-26T09:00:12Z,Friday,Summer,10791185,1030328,14893,0.09685877871614657
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ M/V REACTION,Live,262,2022-08-25T15:00:06Z,Thursday,Summer,20065806,1636529,28245,0.08296571789839889
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ DANCE PRACTICE VIDEO,Dance,196,2022-08-24T15:00:15Z,Wednesday,Summer,293033511,5128131,135794,0.017963559805963626
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ M/V MAKING FILM,Live,182,2022-08-19T15:13:29Z,Friday,Summer,20054543,2036363,47265,0.10389805442088608
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Pink Venom’ M/V,Live,194,2022-08-19T04:00:13Z,Friday,Summer,1002954805,17235962,3486713,0.020661623930302624
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK X PUBG MOBILE - ‘Ready For Love’ M/V,Live,187,2022-07-29T04:00:03Z,Friday,Summer,179939886,5483695,615555,0.03389604237050589
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,CALLING ALL BLINKS: REFLECT ON #COP26 주한 영국대사와 함께한 블랙핑크의 #기후행동 돌아보기,Live,137,2022-06-02T02:00:01Z,Thursday,Summer,4567603,552190,28582,0.12715027991705935
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,Live,144,2021-11-03T02:00:01Z,Wednesday,Fall,13159690,1152998,39771,0.09063807734072764
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK Performs Stay | Dear Earth,Live,256,2021-10-23T22:36:00Z,Saturday,Fall,15118671,1609945,60183,0.11046791083687184
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK Talks Climate Change  | Dear Earth,Live,193,2021-10-23T21:04:00Z,Saturday,Fall,3550381,655514,21811,0.1907752998903498
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'MONEY' DANCE PRACTICE VIDEO,Dance,176,2021-10-10T15:00:14Z,Sunday,Fall,138922528,3789342,83016,0.027874226417762854
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' 0926 SBS Inkigayo,Live,206,2021-09-26T09:57:55Z,Sunday,Fall,22248776,1447067,41107,0.06688790430538741
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'MONEY' EXCLUSIVE PERFORMANCE VIDEO,Live,171,2021-09-23T15:00:16Z,Thursday,Fall,1143438864,15201029,1124002,0.014277134977633575
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' DANCE PRACTICE VIDEO,Dance,209,2021-09-16T15:00:31Z,Thursday,Fall,97802683,3056038,66492,0.03192683374545052
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' JACKET MAKING FILM,Live,216,2021-09-16T00:00:02Z,Thursday,Fall,7399232,870106,19951,0.12029045717177134
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' SPECIAL STAGE,Live,201,2021-09-12T15:00:00Z,Sunday,Fall,99161481,3554643,94756,0.03680258668181852
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' M/V MAKING FILM,Live,276,2021-09-11T00:00:12Z,Saturday,Fall,14491738,1813270,42428,0.1280521356375612
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,LISA - 'LALISA' M/V,Live,207,2021-09-10T04:00:13Z,Friday,Fall,755150858,17671009,2785980,0.027089936776579813
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - 'Lovesick Girls-JP Ver.-' 0820 MUSIC STATION SUMMER FES,LangVer,147,2021-09-08T15:00:30Z,Wednesday,Fall,10727630,865391,25199,0.08301833676217393
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - 「How you like that -JP Ver.-」 MV,LangVer,180,2021-08-02T23:00:03Z,Monday,Summer,28316920,1539375,57668,0.056398895077571995
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - 「Lovesick Girls - JP Ver.-」 MV,LangVer,195,2021-07-12T23:00:18Z,Monday,Summer,23276431,1777605,151206,0.08286541007940608
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'Gone' M/V MAKING FILM,Live,255,2021-04-07T15:00:12Z,Wednesday,Spring,9449547,810493,29928,0.08893770251632169
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'Gone' M/V,Live,221,2021-04-04T15:00:06Z,Sunday,Spring,326826810,7776596,1260113,0.027649839987117335
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' 0404 SBS Inkigayo,Live,172,2021-04-04T11:11:17Z,Sunday,Spring,6266268,548772,24196,0.09143688077177675
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' 0328 SBS Inkigayo : NO.1 OF THE WEEK,Live,250,2021-03-28T10:06:25Z,Sunday,Spring,6289363,577705,24267,0.09571271367227492
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' Dance Performance,Dance,172,2021-03-22T15:00:28Z,Monday,Spring,121114248,3405100,146289,0.029322635929671957
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' 0321 SBS Inkigayo,Live,172,2021-03-21T09:54:20Z,Sunday,Spring,11232362,823140,29579,0.07591626765590354
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' 0314 SBS Inkigayo,Live,172,2021-03-14T10:16:46Z,Sunday,Spring,27773956,1994273,74529,0.07448712023595054
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' M/V MAKING FILM,Live,373,2021-03-13T00:00:10Z,Saturday,Spring,8459393,1115723,36900,0.13625362954528772
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,ROSÉ - 'On The Ground' M/V,Live,189,2021-03-12T05:00:15Z,Friday,Spring,383980163,11600009,2573559,0.03691224017736562
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,Live,132,2021-02-26T06:00:08Z,Friday,Winter,4456568,628089,39859,0.14987945881225193
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘THE SHOW’ GUIDE VIDEO,Live,161,2020-12-17T07:36:53Z,Thursday,Winter,3204957,321077,19229,0.10618114377197573
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,블링크들 주목! 기후변화에 대해 함께 배워 볼 시간! #COP26,Live,123,2020-12-09T09:00:38Z,Wednesday,Winter,2586715,400035,20004,0.16238317711846878
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26,Live,123,2020-12-09T09:00:30Z,Wednesday,Winter,2719677,481999,22156,0.18537311599870132
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Lovesick Girls’ 1025 SBS Inkigayo : NO.1 OF THE WEEK,Live,276,2020-10-25T08:44:48Z,Sunday,Fall,32961834,1439738,51746,0.045248817162297464
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live,Live,218,2020-10-21T08:00:00Z,Wednesday,Fall,61417092,2249193,58534,0.03757467058192856
KPop,UCOmHUn--16B90oW2L6FRR3A,98300000,BLACKPINK - ‘Lovesick Girls’ 1018 SBS Inkigayo : NO.1 OF THE WEEK,Live,260,2020-10-18T09:38:56Z,Sunday,Fall,8898456,752757,26998,0.0876281233508375
