style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID – ‘불이나’ Dance Performance Video,Dance,210,2022-09-30T10:00:31Z,Friday,Fall,1319600,62935,1332,0.048701879357381024
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID – ‘FIRE (ENG Ver.)’ Official Lyric Video,LangVer,208,2022-09-29T09:00:34Z,Thursday,Fall,216948,12338,341,0.058442576101185535
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[ENG SUB] EXID – ‘불이나’ Official Lyric Video,Lyric,208,2022-09-29T09:00:27Z,Thursday,Fall,88299,3523,99,0.04101971709758887
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[ENG SUB] EXID – ‘LEGGO’ Official Lyric Video,Lyric,205,2022-09-29T09:00:23Z,Thursday,Fall,129616,7975,452,0.06501512158992717
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[ENG SUB] EXID – ‘IDK (I Don’t Know)’ Official Lyric Video,Lyric,209,2022-09-29T09:00:18Z,Thursday,Fall,217473,9127,356,0.04360541308576237
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID – ‘불이나’ MV,MV,214,2022-09-29T09:00:11Z,Thursday,Fall,14631028,479117,23308,0.03433969233057308
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID(이엑스아이디) - 'WE ARE..' (Official Music Video),MV,237,2019-05-29T10:00:05Z,Wednesday,Spring,803160,60412,3780,0.07992429901887545
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID(이엑스아이디) - 'ME&YOU' 안무 영상(Dance Practice Video),Dance,204,2019-05-16T03:00:04Z,Thursday,Spring,2298012,105320,1901,0.04665815496176695
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,EXID(이엑스아이디) - 'ME&YOU' Music Video,MV,205,2019-05-15T09:00:04Z,Wednesday,Spring,33027014,957220,36699,0.030094122344817488
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 알러뷰 안무 영상 ('I LOVE YOU' Dance Practice Video),Dance,199,2018-11-26T09:00:02Z,Monday,Fall,20406936,384056,7979,0.01921087026489425
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] '알러뷰' ASMR ver. ('I LOVE YOU' ASMR ver.),LangVer,243,2018-11-24T04:00:29Z,Saturday,Fall,881328,63016,1885,0.07364000689868018
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 알러뷰 (I LOVE YOU) M/V (Official Music Video),MV,212,2018-11-21T08:30:05Z,Wednesday,Fall,79361758,1416491,63161,0.018644395453034195
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] '내일해' Piano ver. ('LADY' Piano ver.),LangVer,192,2018-04-19T03:00:05Z,Thursday,Spring,955776,60960,1982,0.06585434244006964
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] '내일해' 댄스 퍼포먼스('LADY' Performance Video),Live,191,2018-04-10T09:00:01Z,Tuesday,Spring,2017948,61336,1171,0.03097552563296973
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 내일해 안무영상('LADY' DANCE PRACTICE),Dance,194,2018-04-04T03:00:03Z,Wednesday,Spring,1392235,55929,1381,0.0411640276246467
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 내일해(LADY) 뮤직 비디오 (Official Music Video),MV,195,2018-04-02T09:00:00Z,Monday,Spring,18975750,469903,26534,0.026161653689577485
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] Re:flower #1. 꿈에 (솔지SOLO) (2018 Remastering Ver.),LangVer,209,2018-01-15T09:00:01Z,Monday,Winter,620626,25374,1855,0.043873443909858756
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,"[EXID(이엑스아이디)] ""1000만 공약"" 덜덜덜 수트버젼 안무영상('DDD' PRACTICE VIDEO Suit ver.)",LangVer,206,2017-11-26T09:00:01Z,Sunday,Fall,2754196,56135,3347,0.02159686529208524
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,"[EXID(이엑스아이디)] ""800만 공약"" 덜덜덜 파트체인지 안무영상('DDD' Part Switch ver.)",LangVer,334,2017-11-20T09:00:05Z,Monday,Fall,3566212,115246,7167,0.034325777603799214
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 덜덜덜 안무 영상('DDD' Dance Practice Video),Dance,211,2017-11-20T03:00:04Z,Monday,Fall,4159174,90234,1683,0.022099820781722526
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 덜덜덜(DDD) 뮤직 비디오 (Official Music Video),MV,207,2017-11-07T08:30:02Z,Tuesday,Fall,69017020,955283,40603,0.014429571140567934
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 2017 Korea Music Festival Sketch,Live,130,2017-10-09T03:30:05Z,Monday,Fall,36171,2182,90,0.06281275054601752
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 2017 Asia Tour In Taiwan  Behind(비하인드),Live,459,2017-09-07T09:00:15Z,Thursday,Fall,32245,1859,100,0.06075360521011009
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 해주세요 : 하니 - OMEN(Cover),LangVer,192,2017-07-27T09:00:01Z,Thursday,Summer,269796,11352,649,0.044481756586457914
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 해주세요 : LE - CREAM(Solo ver.),LangVer,202,2017-07-07T10:00:01Z,Friday,Summer,366523,15635,808,0.04486212325010982
KPop,UCZDD7mbBlV-Mg-vpI6wQvSA,1960000,[EXID(이엑스아이디)] 해주세요 : 정화 - 밤편지(Cover),LangVer,274,2017-05-17T09:00:02Z,Wednesday,Spring,269386,10800,685,0.04263398988811594
