style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,2025 KAI SOLO CONCERT TOUR 'KAION' IN SEOUL Recap Video,Live,196,2025-06-01T09:01:08Z,Sunday,Summer,26596,4421,332,0.17871108437359
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 'Wait On Me' Dance Practice,Dance,194,2025-04-24T12:00:58Z,Thursday,Spring,556821,40176,2024,0.07578737152514003
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 'Adult Swim' Dance Practice,Dance,147,2025-04-10T12:00:15Z,Thursday,Spring,289961,28564,1199,0.10264483844379071
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,진짜 리스펙합니다 여러분‼️ | 2025 KAI SOLO CONCERT TOUR 'KAION' IN SEOUL TICKETING,Live,317,2025-03-26T09:00:43Z,Wednesday,Spring,72079,10236,595,0.1502656807114416
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,CHANYEOL 찬열 'Black Out' Stage Video @2025 CHANYEOL LIVE TOUR : 都市風景 (City-scape)│Epilogue,Live,230,2025-03-25T12:00:34Z,Tuesday,Spring,43394,7237,515,0.1786422086002673
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,CHANYEOL 찬열 'Tomorrow' Stage Video @2025 CHANYEOL LIVE TOUR : 都市風景 (City-scape)│Epilogue,Live,152,2025-03-25T12:00:00Z,Tuesday,Spring,40381,6055,385,0.15948094400832075
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,2025 KAI SOLO CONCERT TOUR 'KAION' IN SEOUL Concert Meeting,Live,253,2025-03-19T09:01:17Z,Wednesday,Spring,56038,9143,631,0.17441735964880975
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,SUHO 수호 'EXO Medley' Stage Video @2025 SUHO CONCERT 'SU:HOMME' ENCORE,Live,391,2025-03-06T12:00:34Z,Thursday,Spring,60930,7805,593,0.13783029706220254
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,'2024 CHANYEOL LIVE TOUR : 都市風景 (City-scape) in SEOUL' Recap Video,Live,162,2024-09-26T13:00:52Z,Thursday,Fall,28931,6075,399,0.22377380664339291
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,CHANYEOL 찬열 'Clover' Dance Practice,Dance,181,2024-09-12T13:00:35Z,Thursday,Fall,125634,17008,1146,0.14449910056194978
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,'2024 CHANYEOL LIVE TOUR : 都市風景 (City-scape) in SEOUL' KICK-OFF MEETING,Live,318,2024-09-04T12:00:32Z,Wednesday,Fall,31947,6667,362,0.22002065921682787
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[4K] 240616 SUHO 수호 'Made In You' | MEGAFIELD MUSIC FESTIVAL 2024,Live,314,2024-06-27T13:03:00Z,Thursday,Summer,24436,3831,239,0.16655753805860207
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[4K] 240616 SUHO 수호 'Grey Suit' | MEGAFIELD MUSIC FESTIVAL 2024,Live,239,2024-06-27T13:02:00Z,Thursday,Summer,17382,3715,186,0.22442756874928085
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[4K] 240616 SUHO 수호 '치즈 (Cheese) (Feat. 웬디)' | MEGAFIELD MUSIC FESTIVAL 2024,Live,207,2024-06-27T13:01:03Z,Thursday,Summer,16950,3427,147,0.21085545722713864
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[4K] 240616 SUHO 수호 '점선면 (1 to 3)' | MEGAFIELD MUSIC FESTIVAL 2024,Live,235,2024-06-27T13:00:06Z,Thursday,Summer,17971,3714,221,0.2189638862611986
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[DIAGEO presents] SUHO 수호 X DRINKiQ 'Savour Every Moment' MV Behind The Scenes,LangVer,143,2024-02-27T23:00:40Z,Tuesday,Winter,58301,9548,431,0.17116344488087684
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[DIAGEO presents] SUHO 수호 X DRINKiQ 'Savour Every Moment' MV,LangVer,159,2024-02-27T15:00:35Z,Tuesday,Winter,188465,27764,2481,0.16048072586421883
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,D.O. 디오 'Somebody' Live Clip,Live,177,2023-09-20T09:00:41Z,Wednesday,Fall,1849706,114548,6464,0.06542228873129027
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO 엑소 'Cream Soda' Dance Practice,Dance,185,2023-07-12T10:00:10Z,Wednesday,Summer,8822308,447706,33670,0.0545634997100532
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#CHANYEOL Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,208,2023-04-13T13:00:44Z,Thursday,Spring,148445,22980,2527,0.17182794974569707
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#XIUMIN Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:36Z,Thursday,Spring,108566,14350,958,0.14100178693145182
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#D.O. Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:36Z,Thursday,Spring,615394,46059,2405,0.07875279901981495
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#CHEN Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:23Z,Thursday,Spring,83318,16816,2565,0.2326148011234067
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#BAEKHYUN Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,211,2023-04-13T13:00:15Z,Thursday,Spring,324409,38557,1503,0.12348609317250754
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#KAI Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:13Z,Thursday,Spring,203411,20836,2048,0.11250129049068143
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#SUHO Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:08Z,Thursday,Spring,95475,15520,995,0.17297721916732128
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,"[#SEHUN Cam] 'LOVE ME RIGHT' | EXO @2023 EXO FANMEETING ""EXO’ CLOCK""",Live,210,2023-04-13T13:00:06Z,Thursday,Spring,156606,21857,1474,0.14897896632312937
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,FILM : KAI #Rover,LangVer,390,2023-03-20T09:00:11Z,Monday,Spring,1454468,136820,12563,0.1027062816094957
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO 엑소 '2022 Debut Anniversary Fan Event : EXO' Behind The Scenes (Backstage Ver.),Live,475,2022-04-29T11:00:02Z,Friday,Spring,347886,60287,2708,0.18107943406748186
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,🐻화보처럼 촬영해 볼 예정입니다✨ㅣCHARMZONE MASK AD SHOOTING BEHIND (photo ver.),LangVer,379,2022-03-03T11:00:00Z,Thursday,Spring,120338,32908,2127,0.2911382938057804
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,Beyond LIVE #Cinema - KAI : KLoor Making Film l KAI 카이,Live,173,2021-12-27T03:00:10Z,Monday,Winter,221364,35058,1694,0.16602518928100324
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 'Peaches' Dance Practice,Dance,208,2021-12-10T13:00:05Z,Friday,Winter,1502273,142775,6109,0.09910582164493405
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 'Peaches' Performance Video,Live,210,2021-12-09T11:00:01Z,Thursday,Winter,1547787,141070,4723,0.09419448541692106
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,D.O. 디오 'Rose' MV Behind The Scenes,MV,474,2021-07-29T11:00:32Z,Thursday,Summer,741106,115982,6725,0.16557280604933708
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,XIUMIN 시우민 'Shake' Dance Practice,Dance,218,2021-04-24T09:00:01Z,Saturday,Spring,992958,193060,14683,0.2092163011930011
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN 백현 'Bambi' MV Behind the Scenes,MV,392,2021-04-07T09:00:14Z,Wednesday,Spring,313930,64599,2789,0.21465931895645526
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[THE BOX OST] CHANYEOL 찬열 '비가 (Raining)' Track MV,MV,166,2021-04-02T11:00:00Z,Friday,Spring,822965,153537,17951,0.20837824208805963
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[THE BOX OST] CHANYEOL 찬열 'Without You' Track MV,MV,174,2021-03-25T09:00:08Z,Thursday,Spring,3908819,453407,108499,0.14375339456751515
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,D.O. 디오 '괜찮아도 괜찮아 (That's okay)' Live Clip,Live,234,2021-01-25T15:37:53Z,Monday,Winter,13437799,897418,117188,0.07550388274151146
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,Beyond LIVE Dance Practice Sketch,Dance,139,2020-12-29T09:00:05Z,Tuesday,Winter,384713,81135,3384,0.2196936417537229
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[Beyond LIVE – BAEKHYUN : LIGHT] Photoshoot sketch,Live,100,2020-12-27T09:00:03Z,Sunday,Winter,235631,72610,3713,0.32390899329884437
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[Beyond LIVE – BAEKHYUN : LIGHT] VCR Making Film,Live,149,2020-12-25T06:00:20Z,Friday,Winter,340179,95841,4095,0.2937747480003175
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 'Reason' Dance Practice,Dance,176,2020-12-22T08:00:06Z,Tuesday,Winter,2611027,215071,14767,0.0880258993874824
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,XIUMIN 시우민 '이유 (You)' @XIUMIN’s Let It XIUnow,Live,311,2020-12-14T12:00:24Z,Monday,Winter,1504197,254011,23751,0.18465799360057228
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,KAI 카이 '음 (Mmmh)' Dance Practice,Dance,213,2020-12-11T09:00:31Z,Friday,Winter,9254448,532715,24304,0.06018932733751381
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,CHEN 첸 '안녕 (Hello)' MV Behind The Scenes,MV,209,2020-10-16T09:00:07Z,Friday,Fall,651658,196395,23656,0.337678659665039
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[BAEKHYUN/KAI] 2020 'EXO-L'-ACE 회원 OFFICIAL KIT UN-BOXING,MV,419,2020-10-12T03:00:04Z,Monday,Fall,551347,133526,9579,0.2595552347251368
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO-SC 세훈&찬열 '10억뷰 (1 Billion Views) (Feat. MOON)' @EXO-SC’s SUMMER PARADISE,Live,214,2020-07-24T11:00:01Z,Friday,Summer,2447599,226742,7896,0.09586455951322091
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO-SC 세훈&찬열 '10억뷰 (1 Billion Views) (Feat. MOON)' Official Lyrics Eng,Lyric,210,2020-07-15T09:00:16Z,Wednesday,Summer,534963,127368,4401,0.24631423107766331
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO-SC 세훈&찬열 'On Me' Track MV (SEHUN Solo),MV,119,2020-07-09T15:00:01Z,Thursday,Summer,14453590,1120451,215268,0.09241434135048801
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,EXO-SC 세훈&찬열 'Nothin’' Track MV (CHANYEOL Solo),MV,139,2020-07-08T15:00:19Z,Wednesday,Summer,11979781,923380,272616,0.09983454622417555
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN 백현 'Candy' Dance Practice,Dance,228,2020-06-08T11:00:00Z,Monday,Summer,5590785,469846,12846,0.08633707073335856
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN 백현 Unwrapped Candy Cam 🍭 (w/ lyrics),Lyric,223,2020-05-31T15:00:05Z,Sunday,Spring,598383,101140,3143,0.1742746702362868
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN THE STAGE Behind The Scenes,Live,256,2020-05-30T12:00:30Z,Saturday,Spring,382462,69475,2042,0.18699112591577724
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[ONE-TAKE] BAEKHYUN 백현 'Candy' (Sweet Ver.) @BAEKHYUN THE STAGE,Live,235,2020-05-30T11:00:16Z,Saturday,Spring,706871,92194,1711,0.13284602140984705
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[ONE-TAKE] BAEKHYUN 백현 'Candy' (Spicy Ver.) @BAEKHYUN THE STAGE,Live,235,2020-05-30T11:00:14Z,Saturday,Spring,677641,77926,1458,0.11714757519099346
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[Eye Contact Cam] BAEKHYUN 백현 'Candy' (Sweet Ver.) @BAEKHYUN THE STAGE,Live,235,2020-05-28T11:21:05Z,Thursday,Spring,639021,118362,4824,0.19277300745984874
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,[Eye Contact Cam] BAEKHYUN 백현 'Candy' (Spicy Ver.) @BAEKHYUN THE STAGE,Live,235,2020-05-28T11:00:16Z,Thursday,Spring,491181,90356,3754,0.19159943075974029
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN 백현 'Candy' (Spicy & Sweet Ver.) @BAEKHYUN THE STAGE,Live,236,2020-05-27T11:00:10Z,Wednesday,Spring,670270,133776,2947,0.20398197741208768
KPop,UCzCedBCSSltI1TFd3bKyN6g,9690000,BAEKHYUN 백현 'Candy' (Spicy Ver.) @BAEKHYUN THE STAGE,Live,235,2020-05-26T11:00:23Z,Tuesday,Spring,2501195,307697,8751,0.12651872404990414
