style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[CHOREOGRAPHY] GFRIEND (여자친구) ‘우리의 다정한 계절 속에’ Dance Practice (Fix ver.),Dance,189,2025-01-16T15:00:02Z,Thursday,Winter,231337,20707,436,0.09139480498147724
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,GFRIEND 10th Anniversary 'Season of Memories' Poster Shoot Sketch - GFRIEND (여자친구),LangVer,215,2025-01-16T08:00:03Z,Thursday,Winter,34895,5027,223,0.15045135406218657
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[CHOREOGRAPHY] GFRIEND (여자친구) ‘우리의 다정한 계절 속에’ Dance Practice (Moving ver.),Dance,187,2025-01-15T15:00:16Z,Wednesday,Winter,261169,32027,987,0.12640857069560324
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,GFRIEND 10th Anniversary 'Season of Memories' 언니즈 & 동생즈 미니 인터뷰 - GFRIEND (여자친구),LangVer,430,2025-01-14T10:00:02Z,Tuesday,Winter,66592,8287,501,0.13196780394041327
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] Pilates S Photoshoot Behind the Scenes - GFRIEND (여자친구),LangVer,389,2021-05-14T07:00:03Z,Friday,Spring,82759,10032,573,0.12814316267717107
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Cover] GFRIEND SOWON(소원) - 행복한 척 (원곡:SUZY),LangVer,223,2021-05-03T09:00:04Z,Monday,Spring,696530,59710,11918,0.10283548447303059
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] ELLE Photoshoot Behind the Scenes - GFRIEND (여자친구),LangVer,443,2021-04-20T09:00:04Z,Tuesday,Spring,100819,12283,532,0.12710897747448396
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] Marie Claire Photoshoot Behind the Scenes - GFRIEND (여자친구),LangVer,308,2021-04-19T09:00:02Z,Monday,Spring,68938,10414,532,0.15878035336099103
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] SINB X EVISU 2020 F/W Photoshoot Behind - GFRIEND(여자친구),LangVer,203,2021-02-22T09:00:03Z,Monday,Winter,93044,14934,689,0.16790980611323675
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] EUNHA and YUJU’s Christmas Stage Behind - GFRIEND (여자친구),Live,277,2021-02-16T09:00:04Z,Tuesday,Winter,76046,10326,509,0.14247955185019592
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[G-ING] ‘Love Spell’ Live - GFRIEND (여자친구),Live,142,2020-12-30T09:00:03Z,Wednesday,Winter,117256,16817,803,0.15026949580405266
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Cover] EUNHA(은하) 'I Think I' (원곡: 풀하우스 OST) - GFRIEND (여자친구),LangVer,166,2020-12-10T13:00:22Z,Thursday,Winter,1022828,66335,5694,0.0704214198281627
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] '回:Walpurgis Night’ Jacket Simulation Behind - GFRIEND (여자친구),LangVer,413,2020-12-09T09:00:13Z,Wednesday,Winter,136243,16318,603,0.12419720646198337
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Cover] UMJI(엄지) '너의 모든 순간' (원곡: 별에서 온 그대 OST) - GFRIEND (여자친구),LangVer,221,2020-12-08T13:00:02Z,Tuesday,Winter,1260358,78461,6574,0.06746892549577184
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Cover] YUJU(유주) '시간을 거슬러' (원곡: 해를 품은 달 OST) - GFRIEND (여자친구),LangVer,156,2020-12-04T13:00:05Z,Friday,Winter,1198390,76111,6749,0.0691427665451147
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] ‘MAGO’ Recording Behind - GFRIEND (여자친구),LangVer,464,2020-12-01T09:00:06Z,Tuesday,Winter,980852,71326,1406,0.07415185981167394
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[CHOREOGRAPHY] GFRIEND (여자친구) 'MAGO' Dance Practice (Eye Mask ver.),Dance,254,2020-11-12T09:00:08Z,Thursday,Fall,7152568,383747,18805,0.056280765174130463
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[CHOREOGRAPHY] GFRIEND (여자친구) ‘MAGO’ Dance Practice,Dance,199,2020-11-11T13:00:14Z,Wednesday,Fall,8847639,348720,15064,0.04111650577063553
KPop,UCRDd3x33kfF0IW6g2MRUkRw,2390000,[Special Clips] 여자친구 x 아는 형님 ‘MAGO’ Reaction Video - GFRIEND (여자친구),LangVer,146,2020-11-03T09:00:28Z,Tuesday,Fall,368296,36615,2124,0.10518441688207311
