style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,Girls’ Generation 소녀시대 ‘Lucky Like That’ 16th Anniversary Special Video 💗,LangVer,187,2023-08-05T11:05:00Z,Saturday,Summer,925528,75338,4115,0.08584613323421873
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,Girls' Generation 소녀시대 'FOREVER 1' MV Reaction 🎬,LangVer,336,2022-08-18T11:00:14Z,Thursday,Summer,985764,74363,1639,0.07709958975982081
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,LIM YOONA 임윤아 l  ONEW 온유 'DICE'🎲 MV Reaction,MV,277,2022-04-21T12:00:23Z,Thursday,Spring,157488,13697,570,0.0905910291577771
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,효연 (HYO) & 댄서팀 'La chica' l 효연 (HYO) ‘Second (Feat. 비비 (BIBI))' MV Reaction,MV,335,2021-08-17T11:00:20Z,Tuesday,Summer,301141,11064,242,0.03754387479619182
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,효연 (HYO) & 비비 (BIBI)  l 효연 (HYO) ‘Second (Feat. 비비 (BIBI))' MV Reaction,MV,326,2021-08-16T11:00:12Z,Monday,Summer,80043,7996,247,0.10298214709593594
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,Girls’ Generation SUNNY & YOONA  l 효연 (HYO) ‘Second (Feat. 비비 (BIBI))' MV Reaction,MV,342,2021-08-12T13:00:17Z,Thursday,Summer,523289,43077,1924,0.08599645702470336
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 l 효연 (HYO) ‘Second (Feat. 비비 (BIBI))' MV Reaction,MV,269,2021-08-11T11:00:08Z,Wednesday,Summer,397766,36322,1298,0.09457821935509822
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,놀라운 토요일(Amazing Saturday) l 태연 TAEYEON 'Weekend' MV Reaction,MV,348,2021-07-07T11:00:19Z,Wednesday,Summer,1688385,77327,2430,0.04723863336857411
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 'Galaxy' Live Clip,Live,231,2020-12-24T13:00:15Z,Thursday,Winter,1304630,46616,1403,0.03680660417129761
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 'What Do I Call You' Live Clip,Live,179,2020-12-23T13:00:31Z,Wednesday,Winter,1269088,66827,1668,0.05397182858871883
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 'Playlist' Live Clip,Live,171,2020-12-22T13:00:26Z,Tuesday,Winter,757417,42731,1563,0.05848033513903174
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,[YOONA] 2020 'S♡NE'-ACE 회원 OFFICIAL KIT UN-BOXING,MV,404,2020-09-23T06:00:02Z,Wednesday,Fall,243146,18769,1465,0.0832174907257368
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,HYO 효연 'DESSERT' Behind : Look at me I'm your QUEEN 👑,Live,274,2020-07-27T07:00:02Z,Monday,Summer,81512,7392,276,0.09407203847286288
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,"[Dance Tutorial] HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ 안무 배우기",Dance,337,2020-07-24T08:00:10Z,Friday,Summer,658557,47193,783,0.07285018608867569
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,"HYO 효연 ‘DESSERT (Feat. Loopy, 소연 ((여자)아이들))’ MV Making Film",MV,286,2020-07-24T03:00:06Z,Friday,Summer,194307,18624,529,0.0985708183441667
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,"HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ Official Lyrics Eng",Lyric,201,2020-07-22T15:00:22Z,Wednesday,Summer,182867,20190,534,0.11332826589816643
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,[HAPPY CAM] 💗TAEYEON 'Happy' Live Video shooting day-log💗,Live,283,2020-06-30T03:00:05Z,Tuesday,Summer,104803,9824,450,0.09803154489852389
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,[HAPPY CAM] ~🐚TAEYEON being 'HAPPY' at the Aquarium🐬~,Live,130,2020-06-29T03:00:22Z,Monday,Summer,97389,12222,465,0.1302713858854696
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 ‘Happy’ MV Making Film,MV,150,2020-05-06T03:00:02Z,Wednesday,Spring,60320,7339,242,0.12567970822281166
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 'Happy' Official Lyrics Eng,Lyric,221,2020-05-04T15:00:03Z,Monday,Spring,234696,12123,423,0.05345638613355149
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 ‘너를 그리는 시간 (Drawing Our Moments)’ Lyrics,Lyric,275,2020-01-31T09:00:00Z,Friday,Winter,154669,8184,302,0.05486555159728194
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,[FOCUS CAM] TAEYEON 태연 'Better Babe' Concert Ver. @ TAEYEON Concert – The UNSEEN,Live,238,2020-01-23T11:00:00Z,Thursday,Winter,218819,13868,484,0.06558845438467409
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 '내게 들려주고 싶은 말 (Dear Me)' Concert Ver. @ TAEYEON Concert – The UNSEEN,Live,229,2020-01-22T11:00:01Z,Wednesday,Winter,92734,7465,207,0.08273125283067699
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 '내게 들려주고 싶은 말 (#Dear_Me)' MV Behind Film 💌,MV,148,2020-01-20T09:00:10Z,Monday,Winter,20354,2511,49,0.12577380367495333
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 ‘내게 들려주고 싶은 말 (Dear Me)’ MV Making Film,MV,231,2020-01-17T09:00:15Z,Friday,Winter,28871,3533,124,0.12666689757888538
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,[TAEYEON 태연] ‘불티’ MV 현장 밀착캠 📹😳 | 'Spark' MV Behind The Scenes,MV,175,2019-10-31T07:00:05Z,Thursday,Fall,68469,5699,123,0.08503118199477136
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 '불티 (Spark)' MV Making Film,MV,290,2019-10-30T01:00:01Z,Wednesday,Fall,281535,17006,389,0.06178627879304527
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,YOONA 윤아 '여름밤 (Feat. 스무살) (Summer Night)' MV Making Film,MV,212,2019-06-01T01:00:00Z,Saturday,Summer,81164,7666,240,0.09740771770735794
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 '사계 (Four Seasons)' Concert Ver. @＇s...one TAEYEON CONCERT,Live,199,2019-03-28T01:00:04Z,Thursday,Spring,4589880,56456,1410,0.012607301280207761
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 'Blue' Concert Ver. @＇s...one TAEYEON CONCERT,Live,221,2019-03-28T01:00:00Z,Thursday,Spring,313597,9387,181,0.03051049595499957
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,TAEYEON 태연 '사계 (Four Seasons)' MV Making Film,MV,193,2019-03-24T01:00:03Z,Sunday,Spring,73992,7105,181,0.09847010487620284
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,2018 HYO 효연 'Punk Right Now' Korea Club Tour Sketch Film,Live,155,2019-01-04T13:00:04Z,Friday,Winter,44673,3359,124,0.07796655698072662
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,HYO 효연 & 3LAU 'Punk Right Now' MV Making Film,MV,180,2018-11-16T03:00:00Z,Friday,Fall,35954,2123,74,0.06110585748456361
KPop,UCPENYtHg4Xhmm6oX8zaQA7Q,2970000,GIRLS`GENERATION少女時代 - Catch Me If You Can_ Music Video,MV,262,2015-04-10T03:00:01Z,Friday,Spring,21027038,166220,4588,0.008123255400974689
