style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) ‘jellyous’ Dance Practice,Dance,172,2025-07-13T12:00:05Z,Sunday,Summer,2160350,84987,2004,0.04026708635174856
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) '빌려온 고양이 (Do the Dance)' Dance Practice,Dance,199,2025-06-19T13:00:01Z,Thursday,Summer,1111267,48729,1089,0.04482991036357599
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) ‘빌려온 고양이(Do the Dance)' 응원법,Dance,240,2025-06-16T09:30:04Z,Monday,Summer,198993,14170,621,0.0743292477624841
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) 'Aim High' @GLITTERDAY IN SEOUL,Live,186,2025-06-14T11:59:01Z,Saturday,Summer,521587,20491,852,0.04091934806657375
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) ‘Magnetic’ @GLITTERDAY IN SEOUL,Live,187,2025-06-14T10:59:00Z,Saturday,Summer,787343,17578,553,0.023028083059098765
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,Making Film | ILLIT (아일릿) 'bomb' Brand Film (little monster MV),MV,446,2025-06-11T12:00:00Z,Wednesday,Summer,86216,8850,468,0.10807738702792985
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,🎧 만찬가 晩餐歌 - tuki. Covered by MOKA,LangVer,152,2025-06-01T13:00:01Z,Sunday,Summer,1380935,58749,2742,0.04452852596248194
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) Official Light Stick User Guide (공식 응원봉 사용 안내),MV,476,2025-06-01T05:00:53Z,Sunday,Summer,128552,13614,523,0.10997106229385774
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) Almond Chocolate (Korean Ver.) Performance Video,Live,208,2025-03-10T10:00:05Z,Monday,Spring,3186282,77379,3657,0.025432777136486978
KPop,UCEpFoWeCMCo5z3EvWaz6hQQ,2600000,ILLIT (아일릿) 제39회 골든디스크어워즈 ‘Intro & Cherish (My Love) (Moonlight Remix)’ Dance Practice,Dance,232,2025-01-10T11:00:02Z,Friday,Winter,175591,11413,411,0.06733830321599626
