style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,Chroma Drift Covered by IVE GAEUL,LangVer,167,2025-07-24T12:24:00Z,Thursday,Summer,280968,33579,2689,0.1290823154238205
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,GOLDEN Covered by IVE ANYUJIN,LangVer,99,2025-07-19T12:01:53Z,Saturday,Summer,6362151,241563,18463,0.040870768392639534
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,200% Covered by IVE LIZ,LangVer,93,2025-06-29T05:00:35Z,Sunday,Summer,154226,16097,915,0.11030565533697301
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[Special Clip] IVE 'TKO' @3rd FAN CONCERT 'IVE SCOUT',Live,191,2025-04-14T14:00:43Z,Monday,Spring,981503,29958,991,0.03153225206647356
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,바람 바람 바람 (Baram X 3) Covered by IVE LIZ,LangVer,121,2025-04-09T14:21:00Z,Wednesday,Spring,163885,12692,793,0.08228330841748788
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,luther Covered by IVE REI,LangVer,135,2025-02-27T14:00:17Z,Thursday,Winter,2560913,113790,2358,0.045354137372101276
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'ATTITUDE' DANCE PRACTICE,Dance,199,2025-02-09T14:00:48Z,Sunday,Winter,2000603,49864,1266,0.025557294475715572
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'ATTITUDE' MV Reaction,MV,253,2025-02-05T14:00:59Z,Wednesday,Winter,355200,20563,701,0.059864864864864864
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'REBEL HEART' DANCE PRACTICE,Dance,192,2025-01-21T14:00:37Z,Tuesday,Winter,2624525,56513,1623,0.0221510559053543
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'REBEL HEART' Performance Video,Live,189,2025-01-20T14:00:49Z,Monday,Winter,7053786,125071,2647,0.018106304897823666
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'REBEL HEART' MV Reaction,MV,225,2025-01-15T14:00:31Z,Wednesday,Winter,356945,22118,812,0.06423958873215761
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,"IVE, David Guetta, BE@RBRICK 'Supernova Love' MV",Live,159,2024-12-24T09:00:34Z,Tuesday,Winter,252046,16902,725,0.06993564666767177
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,Nobody gets me Covered by IVE ANYUJIN,LangVer,97,2024-12-18T12:01:29Z,Wednesday,Winter,430375,31547,1531,0.0768585535869881
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,"IVE, David Guetta - Supernova Love MV BTS",MV,137,2024-11-29T09:01:21Z,Friday,Fall,157214,9808,406,0.06496876868472273
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,"모든 날, 모든 순간 Covered by IVE LEESEO",LangVer,139,2024-11-23T14:00:12Z,Saturday,Fall,435211,20483,1441,0.050375564955849
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,接吻 -Kiss- Covered by IVE REI,LangVer,167,2024-11-13T14:00:45Z,Wednesday,Fall,2127991,70020,2105,0.03389347041411359
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,"IVE, David Guetta - Supernova Love Official Music Video",MV,154,2024-11-08T05:00:04Z,Friday,Fall,12589338,329036,32122,0.028687608514442936
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,Marigold Covered by GAEUL,LangVer,224,2024-10-08T02:00:11Z,Tuesday,Fall,1551950,64675,3272,0.04378169399787364
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,Ending Credit Covered by ANYUJIN,LangVer,190,2024-09-11T12:01:11Z,Wednesday,Fall,405724,22835,1638,0.060319330382230286
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'ROYAL' Lollapalooza Stage Rehearsal,Live,229,2024-08-08T14:00:22Z,Thursday,Summer,920833,35433,1721,0.040348249899818965
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Accendio' MV Reaction,MV,271,2024-05-21T14:00:43Z,Tuesday,Spring,466837,25434,1305,0.0572769510557218
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Accendio' DANCE PRACTICE,Dance,197,2024-05-18T14:00:19Z,Saturday,Spring,3790054,96663,2056,0.0260468584352624
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 '해야(HEYA)' DANCE PRACTICE,Dance,193,2024-05-04T14:00:20Z,Saturday,Spring,4251756,102315,2675,0.024693326710187508
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 '해야 (HEYA)' MV Reaction,MV,214,2024-05-01T14:00:56Z,Wednesday,Spring,506638,29905,1584,0.06215285864858143
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,LEESEO's 속마음 캠🎥 | THE 1ST WORLD TOUR ＜SHOW WHAT I HAVE＞,Live,405,2024-03-22T14:00:49Z,Friday,Spring,135797,9538,585,0.07454509304329256
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[Special Clip] IVE 'Holy Moly' @2nd FANMEETING 'MAGAZINE IVE',Live,182,2024-03-15T14:00:25Z,Friday,Spring,1650291,50143,1467,0.031273272410744526
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,To.X Covered by IVE GAEUL&LIZ,LangVer,122,2024-02-23T14:00:35Z,Friday,Winter,1866312,73712,2678,0.040930991174037354
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'All Night (Feat. Saweetie)' Performance Video,Live,178,2024-01-26T02:00:02Z,Friday,Winter,6725695,129493,3491,0.01977252908435485
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'All Night (Feat. Saweetie)' Official Music Video,MV,207,2024-01-19T00:00:11Z,Friday,Winter,18731104,435958,17147,0.024189978337635625
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[IVE ON] LIZ X 'NOBODY' MV BEHIND,MV,379,2023-11-22T14:00:22Z,Wednesday,Fall,209537,13705,595,0.0682457036227492
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Baddie' MV Reaction,MV,206,2023-10-18T14:00:28Z,Wednesday,Fall,377069,20151,639,0.05513579742699612
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Baddie' DANCE PRACTICE,Dance,158,2023-10-17T14:00:11Z,Tuesday,Fall,5126153,113262,1821,0.02245016877178656
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Off The Record' DANCE PRACTICE,Dance,193,2023-10-16T14:00:13Z,Monday,Fall,2849816,68915,1557,0.024728614057890053
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Off The Record' MV Reaction,MV,229,2023-10-11T09:00:29Z,Wednesday,Fall,335915,19326,640,0.05943765535924266
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Either Way' MV Reaction,MV,307,2023-09-28T14:00:32Z,Thursday,Fall,622887,31905,1771,0.05406438085880746
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'NOT YOUR GIRL' Special Clip,LangVer,290,2023-05-17T14:00:11Z,Wednesday,Spring,1252303,47338,1694,0.03915346365855548
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'I AM' DANCE PRACTICE,Dance,189,2023-04-18T14:00:01Z,Tuesday,Spring,9502466,190566,2418,0.020308833517531134
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Kitsch' DANCE PRACTICE,Dance,203,2023-04-17T14:00:12Z,Monday,Spring,6816958,158595,3051,0.023712336206266782
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'I AM' MV Reaction,MV,415,2023-04-13T14:00:23Z,Thursday,Spring,1320357,61855,2017,0.04837479560452211
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'Kitsch' MV Reaction,MV,465,2023-03-30T14:00:38Z,Thursday,Spring,1329861,51947,2578,0.04100052561884287
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[IVE ON] 1theK 'After LIKE' Special Clip BEHIND,LangVer,381,2022-10-09T14:00:15Z,Sunday,Fall,240616,12752,477,0.054979718721947006
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 MV 'After LIKE' - Behind The Scenes,MV,293,2022-09-10T14:00:00Z,Saturday,Fall,650989,37001,850,0.05814383960404861
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'After LIKE' DANCE PRACTICE,Dance,181,2022-08-29T14:00:08Z,Monday,Summer,13371098,296271,3589,0.022425981770532233
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'After LIKE' MV Reaction,MV,230,2022-08-24T04:00:13Z,Wednesday,Summer,1153941,70061,1683,0.0621730227108665
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'After LIKE' (OUT NOW ver.),LangVer,189,2022-08-22T12:00:18Z,Monday,Summer,6329246,298346,6007,0.04808677052527268
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[IVE ON] PEPSI 'BLUE & BLACK' MV BEHIND,MV,339,2022-07-28T14:00:31Z,Thursday,Summer,301885,16721,400,0.05671364923729234
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,FAKE LOVE Covered by IVE LEESEO,LangVer,157,2022-07-21T14:00:14Z,Thursday,Summer,1117075,81060,2367,0.07468343665376094
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,strawberry moon Covered by IVE JANGWONYOUNG & LEESEO,LangVer,160,2022-07-12T14:00:03Z,Tuesday,Summer,1659165,64715,4749,0.041866842658807295
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,[IVE ON] ANYUJIN x VERSACE 2022 S/S Campaign,LangVer,466,2022-05-06T14:00:13Z,Friday,Spring,132227,12089,460,0.0949049740219471
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 MV 'LOVE DIVE' - Behind The Scenes,MV,390,2022-04-18T14:00:32Z,Monday,Spring,921673,53944,1085,0.05970555717700313
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'LOVE DIVE' 응원법 Cheering Guide (CUPID Ver.),LangVer,325,2022-04-14T14:00:15Z,Thursday,Spring,179642,15120,462,0.086739181260507
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'LOVE DIVE' DANCE PRACTICE,Dance,178,2022-04-11T14:00:05Z,Monday,Spring,37887907,649083,8290,0.017350470164530334
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'LOVE DIVE' MV Reaction,MV,228,2022-04-08T14:00:33Z,Friday,Spring,1030906,68378,1429,0.06771422418726829
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,SOLO Covered by IVE REI,LangVer,172,2022-01-29T14:00:01Z,Saturday,Winter,4502098,355265,9479,0.08101645055260903
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,금요일에 만나요 Covered by IVE LIZ,LangVer,184,2022-01-27T14:00:11Z,Thursday,Winter,1913576,109386,5007,0.059779700414302854
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 'ELEVEN' (Amazon Music Original Performance Video),Live,184,2022-01-11T09:00:09Z,Tuesday,Winter,2581926,145540,2114,0.057187541393517866
KPop,UC-Fnix71vRP64WXeo0ikd0Q,4480000,IVE 아이브 'ELEVEN' 2021 KBS 가요대축제 DANCE PRACTICE,Dance,210,2021-12-30T14:00:16Z,Thursday,Winter,3380966,116880,1959,0.035149421792469965
