style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[MV] 솔라 (Solar) Single 'Floating Free' (Korean Ver.),LangVer,219,2025-07-25T09:01:22Z,Friday,Summer,178394,7843,639,0.047546442144915185
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 어린이 방송댄스 ver. 👦🏻,LangVer,180,2025-07-13T09:00:31Z,Sunday,Summer,4282,829,0,0.19360112097150864
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 왁킹 ver. 👑,LangVer,179,2025-07-11T09:00:29Z,Friday,Summer,3673,684,24,0.19275796351756058
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind :  스피닝 ver. 🪩,LangVer,167,2025-07-10T09:00:12Z,Thursday,Summer,4275,784,47,0.1943859649122807
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[Special] 문별 (Moon Byul) - 'Memories (Feat. 원위 (ONEWE))' RELEASE BUSKING Live Clip,Live,202,2025-07-09T12:00:00Z,Wednesday,Summer,14576,1972,79,0.14071075740944017
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 팝핀 ver. 💥,LangVer,168,2025-07-09T09:00:30Z,Wednesday,Summer,3623,743,28,0.21280706596743032
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[Special] 문별 (Moon Byul) - 'LUNATIC' RELEASE BUSKING Live Clip,Live,207,2025-07-08T12:00:01Z,Tuesday,Summer,29367,2849,107,0.10065720025879388
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 댄스스포츠 ver. 🕺,LangVer,126,2025-07-08T09:00:14Z,Tuesday,Summer,4240,764,35,0.1884433962264151
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[Special] 문별 (Moon Byul) - 'ICY BBY' RELEASE BUSKING Live Clip,Live,182,2025-07-07T12:00:01Z,Monday,Summer,20391,2721,120,0.13932617331175517
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 아크로바틱 ver. 🤸🏾,LangVer,118,2025-07-07T09:00:01Z,Monday,Summer,4526,766,35,0.17697746354396818
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 한국무용 ver. 🇰🇷,LangVer,147,2025-07-05T09:01:28Z,Saturday,Summer,5128,887,35,0.1797971918876755
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 태권도 ver. 🥋,LangVer,123,2025-07-03T09:00:08Z,Thursday,Summer,4749,867,42,0.1914087176247631
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 치어리딩 ver. 🎉,LangVer,136,2025-07-02T09:00:00Z,Wednesday,Summer,4239,790,54,0.199103562160887
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 농구 퍼포먼스 ver. 🏀,LangVer,151,2025-07-01T09:00:31Z,Tuesday,Summer,4491,899,47,0.21064350924070363
KPop,UCuhAUMLzJxlP1W7mEk0_6lA,6880000,[문별] 내곡네춤 챌린지 Behind : 아이스 하키 ver. 🏒,LangVer,170,2025-06-30T09:00:38Z,Monday,Summer,6176,1009,53,0.1719559585492228
