style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,2025 IRENE & SEULGI Concert Tour [BALANCE] in SEOUL Recap Video,Live,206,2025-07-16T11:01:18Z,Wednesday,Summer,26389,4141,212,0.1649550949259161
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet - IRENE & SEULGI 'TILT' Dance Practice,Dance,185,2025-06-01T15:00:06Z,Sunday,Summer,85592,10706,380,0.12952145060286008
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,"SEULGI 슬기 'Baby, Not Baby' Dance Practice",Dance,194,2025-03-11T15:01:17Z,Tuesday,Spring,184412,19852,1077,0.11349044530724682
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,"Red Velvet 레드벨벳 '빨간 맛 (Red Flavor)' Stage @Red Velvet Happiness Diary : My Dear, ReVe1uv In Cinemas",Live,196,2025-01-26T08:00:14Z,Sunday,Winter,171033,10854,364,0.0655896815234487
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,"Red Velvet 레드벨벳 'Psycho' Stage @Red Velvet Happiness Diary : My Dear, ReVe1uv In Cinemas",Live,213,2025-01-25T08:00:26Z,Saturday,Winter,1355753,42869,1106,0.0324358493029335
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,IRENE 아이린 'Like A Flower' Performance Video,Live,228,2024-12-10T10:00:57Z,Tuesday,Winter,523961,36037,1115,0.07090604071677091
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,IRENE 아이린 'Like A Flower' Dance Practice,Dance,193,2024-12-08T11:00:10Z,Sunday,Winter,261536,19419,693,0.07689954728985685
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,IRENE 아이린 'Like A Flower' Hint Clip,LangVer,123,2024-11-20T15:00:18Z,Wednesday,Fall,131056,14426,835,0.1164464045904041
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,"2024 Red Velvet FANCON TOUR : 'HAPPINESS : My Dear, ReVe1uv' Recap Video",Live,202,2024-09-05T11:11:20Z,Thursday,Fall,93922,8676,474,0.09742126445348268
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Night Drive' (Official Audio),MV,200,2024-08-01T09:05:00Z,Thursday,Summer,248553,8223,311,0.03433472941384735
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Bubble' (Official Audio),MV,209,2024-08-01T09:04:00Z,Thursday,Summer,252342,8655,318,0.0355588843712105
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Love Arcade' (Official Audio),MV,177,2024-08-01T09:03:00Z,Thursday,Summer,168418,5699,189,0.034960633661485115
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Last Drop' (Official Audio),MV,204,2024-08-01T09:02:00Z,Thursday,Summer,270251,8705,348,0.03349848844222593
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Sunflower' (Official Audio),MV,197,2024-08-01T09:01:00Z,Thursday,Summer,375019,11072,341,0.03043312472168077
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Cosmic' Performance Video,Live,234,2024-06-30T15:00:33Z,Sunday,Summer,8387769,247235,4600,0.030024074339672444
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,💚Joyful Summer☀️ | W Digital Cover Behind The Scenes,LangVer,396,2024-05-29T11:00:33Z,Wednesday,Spring,28486,3117,167,0.1152847012567577
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 웬디 'Wish You Hell' Live Video (1min ver.),Live,93,2024-03-19T11:00:48Z,Tuesday,Spring,176757,18567,620,0.10855015642944833
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 'Vermilion' (Official Audio),LangVer,192,2024-03-12T09:04:00Z,Tuesday,Spring,271655,11253,420,0.0429699434945059
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 'Queen Of The Party' (Official Audio),MV,187,2024-03-12T09:03:00Z,Tuesday,Spring,251350,9878,348,0.04068430475432663
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 'Better Judgement' (Official Audio),MV,170,2024-03-12T09:02:00Z,Tuesday,Spring,214528,9085,320,0.043840431085918855
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 'Best Ever' (Official Audio),LangVer,189,2024-03-12T09:01:00Z,Tuesday,Spring,207676,10562,341,0.05250004815192896
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,WENDY 'His Car Isn’t Yours' (Official Audio),MV,185,2024-03-12T09:00:45Z,Tuesday,Spring,1439703,36144,1244,0.02596924504567956
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,JOY 조이 'Day By Day' Live Video,Live,265,2023-09-07T13:00:16Z,Thursday,Fall,418951,26357,1094,0.0655231757413158
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,YERI 예리 ‘My Sweetie’ Cover Video,LangVer,209,2023-03-11T11:00:16Z,Saturday,Spring,299621,31418,1926,0.11128725957125836
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' Stage Video,Live,220,2023-01-13T11:00:42Z,Friday,Winter,4694310,116520,1900,0.025226284587085215
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Time To Love' @'Birthday' PARTY in KWANGYA,Live,200,2023-01-09T12:00:14Z,Monday,Winter,1355897,49532,2348,0.038262493389984636
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Celebrate' @'Birthday' PARTY in KWANGYA,Live,171,2023-01-09T12:00:08Z,Monday,Winter,934344,41466,1626,0.046120058565153735
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Birthday' Performance Video,Live,226,2022-12-06T09:00:15Z,Tuesday,Winter,2325142,114209,3139,0.05046917564604656
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Birthday' MV Reaction l RV Collection,MV,354,2022-12-01T11:00:03Z,Thursday,Winter,234026,26590,586,0.11612384948680916
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,SEULGI 슬기 '28 Reasons' Performance Video,Live,201,2022-10-09T15:03:42Z,Sunday,Fall,4312786,200034,2702,0.04700812885220829
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,SEULGI 슬기 '28 Reasons' MV Reaction I Red Velvet,MV,428,2022-10-06T13:00:40Z,Thursday,Fall,1257607,109414,1857,0.08847835611602034
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm (Orchestra Ver.)' MV Reaction,LangVer,436,2022-07-05T13:00:17Z,Tuesday,Summer,653858,60462,1397,0.09460616831177411
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet SEULGI ReactionㅣONEW ‘DICE’🎲 MV,MV,297,2022-04-23T13:00:04Z,Saturday,Spring,153017,18419,731,0.12514949319356672
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet レッドベルベット 'Color of Love' Lyric Video,Lyric,189,2022-04-10T03:00:01Z,Sunday,Spring,653830,43008,1409,0.06793356071149993
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' Dance Practice BehindㅣRV Collection,Dance,422,2022-04-04T13:00:28Z,Monday,Spring,1092756,71193,1482,0.06650615507945049
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' Dance Practice,Dance,210,2022-03-31T13:00:28Z,Thursday,Spring,5666858,305082,7641,0.05518454847465738
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' Performance Video Behind I RV Collection,Live,313,2022-03-30T13:00:30Z,Wednesday,Spring,517122,51334,1116,0.10142674262553131
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' MV Reaction l RV Collection,MV,358,2022-03-24T13:00:06Z,Thursday,Spring,1519353,114455,2876,0.07722431850926019
KPop,UCk9GmdlDTBfgGRb7vXeRMoQ,5520000,Red Velvet 레드벨벳 'Feel My Rhythm' Performance Video,Live,225,2022-03-23T09:00:07Z,Wednesday,Spring,46026780,1013289,32242,0.022715710288662382
