style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,『SEVENTEEN [RIGHT HERE] WORLD TOUR IN JAPAN』 今 -明日 世界が終わっても-,Live,226,2025-06-27T12:00:12Z,Friday,Summer,271911,19477,311,0.07277381201937398
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,『SEVENTEEN [RIGHT HERE] WORLD TOUR IN JAPAN』 MAESTRO -Japanese ver.-,Live,225,2025-06-27T11:59:57Z,Friday,Summer,324593,17713,202,0.05519219453284575
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[COVER] 도겸 - BUTTER-FLY (원곡 : Kōji Wada),Cover,279,2025-06-20T12:59:53Z,Friday,Summer,1441100,65876,4411,0.04877315939213101
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[SPECIAL VIDEO] SEVENTEEN (세븐틴) - 만세 + Collabo Dance (MAMA 2015 Practice ver.),Dance,184,2025-06-19T12:59:59Z,Thursday,Summer,490784,52597,1520,0.11026643085349155
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[SPECIAL VIDEO] SEVENTEEN (세븐틴) - Transformer (@ISAC 2017 Rehearsal ver.),Live,104,2025-06-19T11:59:59Z,Thursday,Summer,256755,40208,1691,0.1631866954879165
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[Choreography Video] 준 (JUN) -  Para Para Sakura (Fix ver.),Dance,238,2025-06-12T10:59:59Z,Thursday,Summer,204226,26419,1010,0.13430709116371078
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[Choreography Video] SEVENTEEN (세븐틴) - THUNDER,Dance,184,2025-06-02T10:00:01Z,Monday,Summer,3880755,179890,2841,0.04708645611485394
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,THE 8 'Orbit (轨道) (feat. JinJiBeWater_隼)' (Valentino Khan Remix),Remix,167,2025-04-20T04:00:00Z,Sunday,Spring,88471,13675,512,0.16035763131421596
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,SEVENTEEN (세븐틴) - 음악의 신 (God of Music) @ Tecate Pa'l Norte 2025,Live,265,2025-04-09T12:00:06Z,Wednesday,Spring,553233,31207,618,0.057525491067958706
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,SEVENTEEN (세븐틴) - HOT @ Tecate Pa’l Norte 2025,Live,332,2025-04-09T12:00:00Z,Wednesday,Spring,1105772,56197,1261,0.051961887260664946
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,SEVENTEEN [RIGHT HERE] WORLD TOUR RECAP,Live,205,2025-04-07T11:00:00Z,Monday,Spring,89861,13840,344,0.15784378095057922
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[COVER] 원우 - TOMBOY (원곡 : 혁오),Cover,238,2025-04-02T08:00:03Z,Wednesday,Spring,3852007,123532,9682,0.03458301088237898
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,SEVENTEEN(세븐틴) - 동그라미 (Encircled) @2025 SVT 9TH FAN MEETING ‘SEVENTEEN in CARAT LAND’,Live,202,2025-03-31T12:59:58Z,Monday,Spring,489939,31138,751,0.06508769459055107
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[RIGHT HERE] IN CINEMAS STAGE PREVIEW,Live,161,2025-03-30T14:00:00Z,Sunday,Spring,97067,11011,224,0.11574479483243533
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[INSIDE SEVENTEEN] 조슈아 ‘free love’ 커버 촬영 비하인드 (JOSHUA's 'free love' Cover Video Shoot Sketch),Cover,373,2025-03-28T12:59:58Z,Friday,Spring,92169,13946,609,0.15791643611192482
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[Choreography Video] HOSHI X WOOZI (SEVENTEEN) - STUPID IDIOT,Dance,161,2025-03-16T13:00:01Z,Sunday,Spring,775848,59433,754,0.07757576226271125
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[Choreography Video] HOSHI X WOOZI (SEVENTEEN) - 동갑내기,Dance,174,2025-03-15T12:59:59Z,Saturday,Spring,327098,28261,449,0.0877718604210359
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[COVER] 조슈아 - free love (원곡 : HONNE),Cover,211,2025-03-14T12:59:59Z,Friday,Spring,1338193,105705,7360,0.08449080214886791
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[INSIDE SEVENTEEN] 디노 & 도겸 DANCEOLOGY 비하인드 (DINO & DK's DANCEOLOGY Shoot Sketch),Dance,314,2025-03-07T12:59:59Z,Friday,Spring,146900,17051,384,0.1186861810755616
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[DINO'S DANCEOLOGY] Jorja Smith X Preditah - On My Mind (with DK),Dance,94,2025-02-11T11:00:00Z,Tuesday,Winter,417851,76716,3647,0.19232453673677938
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[COVER] JUN - 值得 (Worth It) (원곡 : 郑秀文 (정수문/Sammi Cheng)),Cover,252,2025-01-13T01:00:00Z,Monday,Winter,290094,37072,3197,0.13881362592814742
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[Choreography Video] 부석순 (SEVENTEEN) - 청바지,Dance,174,2025-01-12T12:59:56Z,Sunday,Winter,2006676,75173,1065,0.03799218209616301
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,SEVENTEEN(세븐틴) - 消費期限 (Shohikigen) @SEVENTEEN [RIGHT HERE] WORLD TOUR IN JAPAN,Live,195,2024-12-26T09:59:58Z,Thursday,Winter,519361,32494,588,0.0636975052035097
KPop,UCfkXDY7vwkcJ8ddFGz8KusA,15500000,[COVER] 민규 - Glimpse of Us (원곡 : Joji),Cover,232,2024-12-24T13:59:57Z,Tuesday,Winter,6056019,218307,17749,0.03897874164529536
