style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""THIS IS FOR"" Live Stage @ TWICE ＜THIS IS FOR＞ WORLD TOUR IN INCHEON",Live,170,2025-07-30T09:00:14Z,Wednesday,Summer,1335727,68985,1348,0.05265522071501138
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy” Official Lyric Video (from the Netflix film KPop Demon Hunters),Lyric,169,2025-07-17T13:00:09Z,Thursday,Summer,1262041,78228,1314,0.06302647853754355
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""THIS IS FOR"" Choreography Video (Moving ver.)",Dance,138,2025-07-15T15:00:06Z,Tuesday,Summer,1796500,93970,1663,0.05323295296409686
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""THIS IS FOR"" Choreography Video (Fix ver.)",Dance,143,2025-07-13T15:01:20Z,Sunday,Summer,2116664,121016,2560,0.05838243575739938
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""THIS IS FOR"" Official Lyric Video",Lyric,138,2025-07-12T15:01:29Z,Saturday,Summer,517897,58124,1736,0.11558282824577087
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,'Coldplay - WE PRAY(TWICE Version)' Photo Slideshow Video @ Coldplay MUSIC of the SPHERES WORLD TOUR,Live,248,2025-05-15T09:00:29Z,Thursday,Spring,172937,16692,588,0.09992078039979876
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE OPENING STAGE RECAP @ Coldplay MUSIC of the SPHERES WORLD TOUR,Live,179,2025-05-13T09:00:00Z,Tuesday,Spring,187546,19485,529,0.10671515254924126
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE OFFICIAL FANCLUB ONCE 5TH GENERATION ➽─𝑯𝒐𝒎𝒆 𝑺𝒘𝒆𝒆𝒕 𝑶𝒏𝒄𝒆─❥,MV,94,2025-04-15T09:01:02Z,Tuesday,Spring,155654,17377,771,0.11659192825112108
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (German),LangVer,208,2024-12-16T05:01:15Z,Monday,Winter,61150,5483,215,0.0931807031888798
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Chinese),LangVer,208,2024-12-16T05:01:12Z,Monday,Winter,44593,4716,216,0.11060031843562891
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Thai),LangVer,208,2024-12-16T05:01:06Z,Monday,Winter,38841,5075,215,0.13619628742823306
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Hindi),LangVer,208,2024-12-16T05:00:55Z,Monday,Winter,47809,4894,385,0.11041854044217615
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Japanese),LangVer,208,2024-12-16T05:00:52Z,Monday,Winter,46594,5408,110,0.11842726531313044
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Spanish),LangVer,208,2024-12-16T05:00:43Z,Monday,Winter,166341,23194,1528,0.14862240818559466
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (French),LangVer,208,2024-12-16T05:00:29Z,Monday,Winter,44736,6253,253,0.14543097281831188
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Vietnamese),LangVer,208,2024-12-16T05:00:13Z,Monday,Winter,52246,7648,440,0.1548061095586265
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video (Korean),LangVer,208,2024-12-16T05:00:05Z,Monday,Winter,73193,6671,160,0.09332859699698058
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy” Special Stage,Live,176,2024-12-11T15:00:28Z,Wednesday,Winter,9303165,199111,3188,0.02174518026929545
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""Strategy"" 🚨Warning🚨: EXTREME DANCE VIDEO",Dance,178,2024-12-10T09:00:02Z,Tuesday,Winter,195275,26367,639,0.13829727307643067
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""Strategy"" Dance Practice (SECRET STRATEGY)",Dance,308,2024-12-09T09:00:23Z,Monday,Winter,463173,39871,630,0.08744248909154895
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy” M/V (TWICE-TRATEGY ver.),LangVer,172,2024-12-08T15:00:37Z,Sunday,Winter,2532585,165282,3749,0.0667424785347777
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""Strategy"" Choreography Video (Moving ver.)",Dance,177,2024-12-07T15:00:49Z,Saturday,Winter,22418749,258323,5140,0.011751904622331959
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""Strategy"" Choreography Video (Fix ver.)",Dance,182,2024-12-07T07:00:14Z,Saturday,Winter,5872087,162964,2421,0.02816460314705828
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Strategy (feat. Megan Thee Stallion)” Official Lyric Video,Lyric,208,2024-12-06T16:00:54Z,Friday,Winter,192813,15314,419,0.08159719520986655
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “MOONLIGHT SUNRISE” @ Amazon Music Live,Live,186,2024-12-04T02:03:36Z,Wednesday,Winter,499445,22019,623,0.045334321096417024
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “The Feels” @ Amazon Music Live,Live,204,2024-12-04T02:03:25Z,Wednesday,Winter,2292101,44096,798,0.019586396934515537
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “ONE SPARK” @ Amazon Music Live,Live,190,2024-12-04T02:03:08Z,Wednesday,Winter,1000828,28468,696,0.029139872185830133
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “Sweetest Obsession” @ 2024 TWICE FANMEETING [HOME 9ROUND]⚾,Live,174,2024-10-29T04:01:00Z,Tuesday,Fall,1306357,44547,1589,0.035316532923236145
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “CHEER UP” @ 2024 TWICE FANMEETING [HOME 9ROUND]⚾,Live,213,2024-10-29T04:00:05Z,Tuesday,Fall,3778132,59014,976,0.015878217065999813
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE DAHYUN “첫사랑 (백아)” Vocal & Guitar Cover,Cover,131,2024-10-16T15:00:01Z,Wednesday,Fall,328771,40906,2026,0.1305832935386637
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE 9TH ANNIVERSARY ""Special 9-Second Medley Dance Video""👯",Dance,401,2024-10-11T04:00:00Z,Friday,Fall,1847667,120021,2793,0.06646976971499735
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TZUYU ""Run Away"" Choreography Video (Puppy Ver.)",Dance,217,2024-09-15T07:00:21Z,Sunday,Fall,219194,29705,1293,0.14141810451015996
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TZUYU ""Run Away"" Choreography Video (Moving Ver.)",Dance,204,2024-09-10T15:00:26Z,Tuesday,Fall,460707,37708,1071,0.08417280397302407
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TZUYU ""abouTZU"" Special Live Clip (Heartbreak In Heaven, Lazy Baby, Fly)",Live,244,2024-09-09T15:00:12Z,Monday,Fall,1019091,77883,3589,0.07994575558021806
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TZUYU ""Run Away"" Choreography Video",Dance,206,2024-09-07T15:00:49Z,Saturday,Fall,883998,69516,2010,0.0809119477645877
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,NAYEON “ABCD” Live @ 2024 WATERBOMB SEOUL,Live,223,2024-07-18T10:01:06Z,Thursday,Summer,1938604,59725,1079,0.03136483779049254
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,NAYEON “POP!” Live @ 2024 WATERBOMB SEOUL,Live,174,2024-07-18T10:00:27Z,Thursday,Summer,490390,24013,398,0.04977874752747813
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON “MAGIC (feat. JULIE of KISS OF LIFE)"" Live @ 2024 WATERBOMB SEOUL",Live,217,2024-07-16T10:01:00Z,Tuesday,Summer,619064,44136,932,0.07280022744013544
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON ""ABCD"" Choreography Video (FOCUS CAM Ver.)",Dance,205,2024-06-21T03:00:35Z,Friday,Summer,181841,14075,344,0.07929454853415896
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON ""ABCD"" Choreography Video",Dance,206,2024-06-19T15:00:20Z,Wednesday,Summer,2199355,74557,1170,0.03443145831391476
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,NAYEON “ABCD” Mirrored Dance Practice,Dance,214,2024-06-17T15:00:46Z,Monday,Summer,511262,45544,959,0.09095727826437326
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON ""ABCD"" Performance Video (FOCUS CAM Ver.)",Live,205,2024-06-16T03:00:29Z,Sunday,Summer,320116,27728,673,0.08872096365067662
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON “ABCD"" Performance Video",Live,207,2024-06-15T15:01:00Z,Saturday,Summer,18042362,367351,8839,0.020850374247008235
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""ONE SPARK"" Live Stage @ TWICE 5TH WORLD TOUR 'READY TO BE' ONCE MORE IN LAS VEGAS",Live,192,2024-04-01T09:00:44Z,Monday,Spring,9167528,137612,2750,0.015310779525298423
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “ONE SPARK” Choreography Video,Dance,197,2024-03-10T15:00:04Z,Sunday,Spring,3411687,120315,2412,0.035972526201846766
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “ONE SPARK” Choreography Video (Moving Ver.),Dance,192,2024-03-03T15:00:37Z,Sunday,Spring,22993589,257104,4103,0.011359992561404833
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “ONE SPARK” HOT vs COOL Dance Battle,Dance,377,2024-02-26T09:00:15Z,Monday,Winter,1631575,101458,1895,0.06334554035211376
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE “ONE SPARK” Performance Video,Live,195,2024-02-24T15:00:34Z,Saturday,Winter,12193809,274896,7920,0.023193409048805014
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""I GOT YOU"" Live Stage @ TWICE 5TH WORLD TOUR 'READY TO BE' IN MEXICO CITY",Live,188,2024-02-17T03:00:29Z,Saturday,Winter,1276508,97605,3675,0.07934145340256386
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""I GOT YOU (Garage ver.)"" Official Lyric Video",LangVer,193,2024-02-06T15:00:02Z,Tuesday,Winter,643532,72086,1826,0.11485365141127403
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"TWICE ""I GOT YOU"" Live Clip",Live,186,2024-02-02T15:00:18Z,Friday,Winter,4618758,218987,6508,0.04882156631717877
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,TWICE TZUYU “Zero (Yerin Baek)” Cover,Cover,216,2023-12-23T15:00:42Z,Saturday,Winter,578044,67278,3736,0.1228522396218973
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,CHAEYOUNG MELODY PROJECT “Weatherman (Eddie Benjamin)” Cover by CHAEYOUNG,Cover,156,2023-10-06T04:00:02Z,Friday,Fall,2444232,182335,8353,0.07801550752956347
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"NAYEON ""NO PROBLEM (Feat. Felix of Stray Kids)"" Band Live Clip",Live,211,2023-09-21T15:00:28Z,Thursday,Fall,9683409,681628,20305,0.07248821153789951
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"JIHYO ""Killin′ Me Good (English Ver.)"" Official Lyric Video",LangVer,191,2023-09-15T05:03:07Z,Friday,Fall,970132,67234,1982,0.07134699195573387
KPop,UCzgxx_DM2Dcb9Y1spb9mUJA,18500000,"JIHYO ""Talkin’ About It (Feat. 24kGoldn)"" Official Lyric Video (Clean Ver.)",LangVer,176,2023-09-04T03:00:18Z,Monday,Fall,495590,51602,1841,0.10783712342864062
