style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Dance Practice,Dance,190,2025-07-09T06:00:13Z,Wednesday,Summer,1493947,72555,1605,0.04964031521867911
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Choreography Video,Dance,200,2025-07-08T11:01:36Z,Tuesday,Summer,4281134,134829,2084,0.0319805453414913
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work (English Ver.)' (Official Audio),LangVer,181,2025-06-27T04:00:36Z,Friday,Summer,1188105,84421,1744,0.07252305141380602
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Dirty Work' Performance Video,Live,112,2025-06-08T15:00:05Z,Sunday,Summer,21351792,462112,15336,0.02236102712128331
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Pink Hoodie' Dance Practice (2024 SBS 가요대전 Ver.),Dance,117,2025-01-09T06:00:31Z,Thursday,Winter,750633,37981,1091,0.05205206805456195
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,'정준일 - 첫 눈' Cover by WINTER,LangVer,322,2025-01-07T07:00:05Z,Tuesday,Winter,6753865,147106,5417,0.022583069101914238
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,하이하잇 여기는 밀라노👋 | KARINA at Prada Spring/Summer 2025 Womenswear fashion show | katarinabluu-log,Live,389,2024-11-10T13:00:32Z,Sunday,Fall,249926,14655,539,0.060793995022526665
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 카리나 ‘UP (KARINA Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,178,2024-11-02T13:00:29Z,Saturday,Fall,2084441,57378,1552,0.02827136867870091
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 닝닝 ‘Bored! (NINGNING Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,188,2024-11-02T13:00:02Z,Saturday,Fall,1074603,40438,862,0.038432797972832757
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 윈터 ‘Spark (WINTER Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,208,2024-11-01T13:00:36Z,Friday,Fall,1126159,40807,899,0.037033846907941065
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[직캠] 에스파 지젤 ‘Dopamine (GISELLE Solo)’ㅣ2024 aespa LIVE TOUR - SYNK : PARALLEL LINE Concert in SEOUL,Live,200,2024-11-01T13:00:17Z,Friday,Fall,666134,35873,720,0.054933391780032245
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,많이 사랑해 주시고 격려해 주시고 아껴주시고 성화해 주시고 웃어주세요🥰🎵 | 에스파 ‘위플래시’ MV 리액션 (aespa ‘Whiplash’ MV Reaction),MV,337,2024-10-28T13:00:33Z,Monday,Fall,1363674,66214,927,0.04923537443699887
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Whiplash' Dance Practice,Dance,192,2024-10-24T06:00:02Z,Thursday,Fall,11078840,243772,4312,0.022392597058897862
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Just Another Girl' (Official Audio),MV,185,2024-10-21T09:04:00Z,Monday,Fall,1639488,62194,1510,0.03885603310301753
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Flowers' (Official Audio),MV,191,2024-10-21T09:03:00Z,Monday,Fall,2653141,78608,1986,0.030376825053775883
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Pink Hoodie' (Official Audio),MV,147,2024-10-21T09:02:00Z,Monday,Fall,1408989,47433,977,0.03435796872793187
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,"aespa 에스파 'Flights, Not Feelings' (Official Audio)",MV,182,2024-10-21T09:01:01Z,Monday,Fall,1431178,57516,1545,0.04126740349558196
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Kill It' (Official Audio),MV,200,2024-10-21T09:00:42Z,Monday,Fall,2594925,98166,2541,0.03880921413913697
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa エスパ 'Sun and Moon' Lyric Video,Lyric,203,2024-08-05T09:00:28Z,Monday,Summer,3664609,117212,2984,0.03279913355012772
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,2024 aespa LIVE TOUR - SYNK : PARALLEL LINE - in SEOUL Recap Video,Live,156,2024-07-09T13:00:12Z,Tuesday,Summer,178143,14914,446,0.08622286589986695
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,[2024 aespa LIVE TOUR - SYNK PARALLEL LINE] 우리가 MY라면…⁉🥰,Live,151,2024-06-28T06:00:31Z,Friday,Summer,61774,5860,143,0.09717680577589277
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 에스파 'Armageddon' Dance Practice,Dance,202,2024-05-29T06:00:19Z,Wednesday,Spring,10154066,267100,5541,0.026850426223347375
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa '목소리 (Melody)' (Official Audio),MV,188,2024-05-27T09:07:00Z,Monday,Spring,1301610,46152,1234,0.03640568219359101
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Live My Life' (Official Audio),Live,160,2024-05-27T09:06:00Z,Monday,Spring,1783375,54704,1226,0.03136188406812925
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Prologue' (Official Audio),MV,195,2024-05-27T09:05:00Z,Monday,Spring,1867074,55240,1450,0.030363017213029586
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Long Chat (#♥)' (Official Audio),MV,196,2024-05-27T09:04:00Z,Monday,Spring,450638,22586,540,0.05131835309050724
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'BAHAMA' (Official Audio),MV,191,2024-05-27T09:03:00Z,Monday,Spring,2652361,91196,2589,0.035359063113957714
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Licorice' (Official Audio),MV,159,2024-05-27T09:02:00Z,Monday,Spring,631850,31692,822,0.05145841576323495
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Mine' (Official Audio),MV,194,2024-05-27T09:01:00Z,Monday,Spring,1563660,64151,1791,0.04217157182507706
KPop,UC9GtSLeksfK4yuJ_g1lgQbg,7980000,aespa 'Set The Tone' (Official Audio),MV,203,2024-05-27T09:00:22Z,Monday,Spring,2241301,73934,1849,0.033812058264374126
