style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,우기 (YUQI) 'What It Sounds Like / KPop Demon Hunters OST' (Cover),LangVer,189,2025-08-08T09:01:04Z,Friday,Summer,353200,50559,2213,0.1494110985277463
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,소연 (SOYEON) '내 이름 맑음' LIVE CLIP,Live,192,2025-06-30T09:01:03Z,Monday,Summer,407896,28694,1523,0.07408015768725361
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Girlfriend' Choreography Video,Dance,163,2025-06-02T11:00:37Z,Monday,Summer,347602,20311,595,0.060143497448231026
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Girlfriend' @ HANYANG UNIVERSITY ERICA,Live,164,2025-05-30T05:00:47Z,Friday,Spring,48480,2806,89,0.05971534653465346
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '퀸카 (Queencard)' @ HANYANG UNIVERSITY ERICA,Live,165,2025-05-30T05:00:37Z,Friday,Spring,34797,2094,62,0.06195936431301549
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'MY BAG' @ HANYANG UNIVERSITY ERICA,Live,162,2025-05-30T05:00:25Z,Friday,Spring,64348,3567,102,0.05701808914029962
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'TOMBOY' @ HANYANG UNIVERSITY ERICA,Live,178,2025-05-30T05:00:15Z,Friday,Spring,23711,2320,65,0.10058622580237021
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Good Thing' @ HANYANG UNIVERSITY ERICA,Live,156,2025-05-30T05:00:06Z,Friday,Spring,28167,2603,70,0.09489828522739376
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Girlfriend' @ AJOU UNIVERSITY,Live,164,2025-05-29T05:01:14Z,Thursday,Spring,41647,2739,84,0.06778399404518932
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Wife' @ AJOU UNIVERSITY,Live,125,2025-05-29T05:00:53Z,Thursday,Spring,45002,2824,75,0.06441935913959379
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '퀸카 (Queencard)' @ AJOU UNIVERSITY,Live,164,2025-05-29T05:00:36Z,Thursday,Spring,89747,3765,109,0.043165788271474256
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'TOMBOY' @ AJOU UNIVERSITY,Live,177,2025-05-29T05:00:18Z,Thursday,Spring,25124,2587,87,0.10643209679987263
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Good Thing' @ AJOU UNIVERSITY,Live,157,2025-05-29T05:00:02Z,Thursday,Spring,26374,2637,100,0.10377644650034125
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '퀸카 (Queencard)' @ HANKUK UNIVERSITY OF FOREIGN STUDIES,Live,167,2025-05-28T09:00:37Z,Wednesday,Spring,20847,1940,58,0.09584112821988776
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Good Thing' @ HANKUK UNIVERSITY OF FOREIGN STUDIES,Live,158,2025-05-28T09:00:06Z,Wednesday,Spring,17968,1863,37,0.10574354407836153
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Girlfriend' @ MYONGJI UNIVERSITY,Live,162,2025-05-28T03:00:51Z,Wednesday,Spring,20539,2124,54,0.10604216368859243
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Wife' @ MYONGJI UNIVERSITY,Live,124,2025-05-28T03:00:40Z,Wednesday,Spring,49250,3221,89,0.06720812182741116
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '퀸카 (Queencard)' @ MYONGJI UNIVERSITY,Live,163,2025-05-28T03:00:31Z,Wednesday,Spring,24381,2086,49,0.08756818834338215
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'TOMBOY' @ MYONGJI UNIVERSITY,Live,176,2025-05-28T03:00:16Z,Wednesday,Spring,32115,3280,94,0.10505994083761482
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Good Thing' @ MYONGJI UNIVERSITY,Live,155,2025-05-28T03:00:05Z,Wednesday,Spring,33446,3147,99,0.09705196436046164
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Good Thing' Choreography Practice Video,Dance,155,2025-05-26T13:00:08Z,Monday,Spring,1061683,36785,858,0.035455969437204894
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) 'Girlfriend' @ YONSEI UNIVERSITY,Live,163,2025-05-25T14:32:34Z,Sunday,Spring,80502,4237,126,0.054197411244441135
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '나는 아픈 건 딱 질색이니까' @ YONSEI UNIVERSITY,Live,161,2025-05-25T14:32:19Z,Sunday,Spring,258064,4962,97,0.019603664207328415
KPop,UCritGVo7pLJLUS8wEu32vow,9390000,i-dle (아이들) '퀸카 (Queencard)' @ YONSEI UNIVERSITY,Live,164,2025-05-25T14:32:00Z,Sunday,Spring,113944,3883,107,0.03501720143228253
