style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《No Label》Official Audio - 影集「妮波自由式」片頭主題曲,MV,203,2024-10-10T16:00:27Z,Thursday,Fall,129456,806,48,0.006596835990606847
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《查無此心 The Abandoned》Official Music Video - 電影「查無此心」同名主題曲,MV,280,2023-08-15T11:00:47Z,Tuesday,Summer,2007001,8245,285,0.0042501224463764595
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《天亮之前 Dusk Till Dawn》Official Music Video - 影集「八尺門的辯護人」主題曲,MV,246,2023-07-14T04:00:07Z,Friday,Summer,1322927,7123,261,0.005581562701494489
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 #你是我的歌 You Are My Song》Official Music Video - 電影《不二兄弟》主題曲,MV,230,2023-02-18T04:00:16Z,Saturday,Winter,864559,5117,196,0.0061453295842157675
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《38一朵花 Flower》Official Music Video,MV,173,2022-07-25T12:00:28Z,Monday,Summer,1172662,5034,241,0.00449831238668943
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《姊妹旅行 Vacation Sisters》Official Live Performance MV,Live,236,2022-06-03T12:00:13Z,Friday,Summer,1121023,1831,108,0.0017296701316565316
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《摯友 Best Friend》Official Music Video,MV,333,2022-05-11T12:00:14Z,Wednesday,Spring,35312475,89498,3508,0.0026338000947257307
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《麥擱貢 Michael Go》Official Music Video,MV,216,2022-04-22T12:00:09Z,Friday,Spring,1603732,5507,267,0.0036003521785435474
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《聊聊天 Conversation》Official Music Video,MV,378,2022-04-08T12:00:48Z,Friday,Spring,1901529,3345,199,0.001863763318887064
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《我怨 Blame》Official Music Video,MV,393,2022-03-08T12:00:11Z,Tuesday,Spring,1901046,7648,493,0.004282379279617642
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《ROMADIW》Dance Cover by @rubyredli,Dance,181,2022-01-20T14:00:12Z,Thursday,Winter,17961,523,48,0.03179110294527031
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《ROMADIW 一起來唱歌》Official Live Performance MV,Live,220,2022-01-11T12:00:12Z,Tuesday,Winter,2184144,11173,442,0.00531787281424668
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《盡情旋轉 Turn》Official Music Video,MV,253,2021-11-23T12:00:15Z,Tuesday,Fall,3309769,8549,331,0.0026829666964673367
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 最悲傷的事 More Than Sorrow 》Official Music Video - 比悲傷更悲傷的故事 | 影集版 | 主題曲,MV,297,2021-10-14T09:16:54Z,Thursday,Fall,3123911,21558,607,0.007095272560581911
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 海語者 》Official Music Video - 手遊『天諭』主題曲,MV,240,2021-08-20T04:00:12Z,Friday,Summer,220876,2858,138,0.013564171752476503
TW,UCURRzgKx4DkVozbOjFflMpg,305000,【 I’m 夜貓子】Heartbreak Anniversary - Giveon（cover by A-Lin）,Cover,99,2021-04-05T16:21:05Z,Monday,Spring,18039,497,34,0.029436221520039912
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin feat.倪子岡《不屑完美 Anti-Perfect》Official Live Music Video,Live,192,2021-01-13T13:00:12Z,Wednesday,Winter,170965,2737,171,0.01700932939490539
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《抱歉，我不抱歉 I'm Not Sorry 》Official Music Video - 電影『 戀愛好好說 Love Talk 』主題曲,MV,281,2020-10-12T04:00:12Z,Monday,Fall,1540983,12716,459,0.008549737407875362
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《平衡感》- TME Live Sessions【I’m A-Lin線上音樂會】,Live,152,2020-05-20T09:00:28Z,Wednesday,Spring,17343,346,18,0.020988294989332874
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《920》- TME Live Sessions【I’m A-Lin線上音樂會】,Live,185,2020-05-09T16:00:20Z,Saturday,Spring,39933,691,51,0.01858112338166429
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《拿走了什麼 》- TME Live Sessions【I’m A-Lin線上音樂會】,Live,297,2020-05-06T09:30:05Z,Wednesday,Spring,621913,4822,155,0.008002727069541882
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《旅．課 Passenger》Official Music Video,MV,245,2020-02-06T13:00:12Z,Thursday,Winter,472262,4376,213,0.009717063833211225
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 隨心所遇 》Studio Live Sessions,Live,248,2019-10-15T11:11:38Z,Tuesday,Fall,139194,1187,59,0.00895153526732474
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《 最佳男主角 》Studio Live Sessions,Live,352,2019-10-15T10:52:22Z,Tuesday,Fall,637924,3285,131,0.005354869859105473
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《雨後彩虹 Rainbow》Studio Live Sessions,Live,208,2019-01-29T03:57:42Z,Tuesday,Winter,738545,7086,176,0.00983284701676946
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《恰好 As It So Happens》Official Video 電影『功夫聯盟』主題曲,MV,129,2018-10-24T04:00:00Z,Wednesday,Fall,307881,1878,145,0.00657072050564991
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《有一種悲傷 A Kind of Sorrow》Official Music Video - 電影『比悲傷更悲傷的故事 More Than Blue 』主題曲,MV,241,2018-10-12T04:00:00Z,Friday,Fall,108346646,301707,7827,0.0028568858513626717
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《不要不要的 More Than You Asked For》Official Lyric Video,Lyric,230,2018-01-11T04:00:01Z,Thursday,Winter,327671,2041,123,0.00660418529561664
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《最佳男主角 Best Actor》Official Music Video - 電視劇『我的野蠻公主』片頭曲,MV,352,2017-11-08T13:00:03Z,Wednesday,Fall,13184941,28292,974,0.0022196534667845687
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin feat. J.Sheon《你點的歌救了我 The Song You Picked Saves Me》Official Music Video- 偶像劇『噗通噗通我愛你』片頭曲,MV,222,2017-10-20T04:00:01Z,Friday,Fall,2104725,14349,366,0.006991412179738445
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《光之海 Sea Of Light》Official Music Video,MV,363,2017-09-28T04:00:00Z,Thursday,Fall,2349561,7773,255,0.0034168085016732914
TW,UCURRzgKx4DkVozbOjFflMpg,305000,"A-Lin《未單身 Pseudo-Single, Yet Single》Official Music Video - 偶像劇『噗通噗通我愛你』插曲",MV,215,2017-08-24T06:00:02Z,Thursday,Summer,6507775,18597,869,0.002991191305784235
TW,UCURRzgKx4DkVozbOjFflMpg,305000,A-Lin《一直走 GO》MV Making Video,MV,389,2017-07-31T14:13:25Z,Monday,Summer,34900,543,20,0.01613180515759312
