style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,鄭茵聲Alina Cheng -《想吃泡麵Want to Netflix & Chill》官方舞蹈MV版,Dance,176,2023-11-27T10:00:41Z,Monday,Fall,14029,402,11,0.02943901917456697
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,鄭茵聲Alina Cheng -《想吃泡麵Want to Netflix & Chill 》Official Music Video,MV,184,2023-11-20T12:00:40Z,Monday,Fall,49845,1050,72,0.022509780318988867
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜就讓這大雨全都落下（原唱：容祖兒）｜Alina鄭茵聲,Cover,222,2023-08-20T17:01:23Z,Sunday,Summer,13291,357,25,0.02874125347979836
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜你不屬於我（原唱：周興哲）｜Alina鄭茵聲,Cover,321,2022-07-30T12:00:13Z,Saturday,Summer,40119,1011,52,0.02649617388269897
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜摯友（原唱：A-Lin）｜Alina鄭茵聲,Cover,308,2022-07-02T12:00:16Z,Saturday,Summer,42543,1117,86,0.028277272406741414
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,鄭茵聲 Alina Cheng - 幸福註解 LOVE MEMO (官方完整版MV) Official Music Video,MV,214,2022-04-12T13:03:05Z,Tuesday,Spring,166660,2521,116,0.015822632905316214
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,鄭茵聲 Alina Cheng - 回憶倒放 MEMORY REWIND (官方完整版MV) Official Music Video,MV,251,2021-12-06T12:00:11Z,Monday,Winter,263803,5589,251,0.022137731564841945
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜愛情你比我想的閣較偉大 ft. 李唯楓（原唱：茄子蛋）｜Alina鄭茵聲,Cover,259,2021-09-14T13:09:11Z,Tuesday,Fall,191067,3995,145,0.021667791926392312
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜刻在我心底的名字 ft. 禾浩辰（原唱：盧廣仲）｜Alina鄭茵聲,Cover,272,2021-03-08T10:00:14Z,Monday,Spring,310255,7222,292,0.024218787771349375
TW,UCJM_OTvzTrkZbYEq4GKVuOQ,224000,茵聲來Cover｜ 記得愛 ft. 黃宏軒（原唱：阿沁 & 李玖哲）｜Alina鄭茵聲,Cover,268,2021-01-30T10:03:40Z,Saturday,Winter,75233,1392,86,0.019645634229659856
