style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】還會太小聲嗎？人聲放大歌詞版 _［暈病］ _ Music Video.,MV,282,2023-10-30T12:19:49Z,Monday,Fall,55680,2075,113,0.03929597701149425
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】全新曲風！病入膏肓、無藥可救 _［暈病］_ Music Video.  (ft. @crispyfriedabc、喬恩),Live,286,2023-10-27T12:00:11Z,Friday,Fall,205571,5463,348,0.028267605839345043
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】把3650個日子濃縮成一首歌 [ 一直都在 ] _ Music Video.,MV,248,2022-09-24T10:02:58Z,Saturday,Fall,145548,6901,553,0.05121334542556408
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】饒舌黑暗系單曲 -  [ 鬼胎 ] _ Music Video.,MV,193,2022-06-23T12:00:09Z,Thursday,Summer,232107,6881,295,0.030916775452700693
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】給朋友吃超臭的糖果！(ft. @AJin_Jin @胡子Huzi ),Live,399,2022-03-26T09:00:03Z,Saturday,Spring,70182,2433,62,0.035550426035165714
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,Onion Man - 明明就很ㄍㄧㄥ但我還是喜歡妳 (Cover by Annie),Cover,229,2022-03-11T11:34:05Z,Friday,Spring,59082,1949,94,0.03457905961206459
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】去年的京都小廢片，每餐都加超辣一味粉！(with @黃氏兄弟 瑋瑋、@AJin_Jin ),Live,381,2021-02-13T10:06:59Z,Saturday,Winter,51027,1715,48,0.034550336096576324
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】千年後的我仍是... [ 女媧 ] _ Official MV,MV,236,2020-11-21T04:00:05Z,Saturday,Fall,616748,13203,443,0.022125730444200874
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】最瘋狂的旅程 - 電影〈最瘋狂的旅程〉同名中文主題曲 _ Official MV,MV,220,2020-06-24T10:00:12Z,Wednesday,Summer,343836,9454,295,0.02835363370909387
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,【魚乾】我要報仇！給梅伯吃超辣泡麵...吃完立刻跑廁所！(Feat. Bref妙力馬桶清潔球、@meberisgod),Live,295,2020-01-18T09:00:11Z,Saturday,Winter,165875,5407,342,0.0346586284853052
TW,UCpgt8SEyAy5tbr9BzVK8Lsg,1300000,羅文裕 - 才華 (Cover by Annie),Cover,174,2019-04-19T10:15:02Z,Friday,Spring,53354,1504,86,0.02980095213104922
