style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,Onion Man - 明明就很ㄍㄧㄥ但我還是喜歡妳 (Cover by Annie),Cover,229,2022-03-11T11:34:05Z,Friday,Spring,59083,1949,94,0.03457847434964372
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,羅文裕 - 才華 (Cover by Annie),Cover,174,2019-04-19T10:15:02Z,Friday,Spring,53354,1504,86,0.02980095213104922
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,魚乾 - 失戀慶功宴 (街頭演唱版 Feat.魏嘉瑩),Live,205,2018-12-22T04:00:00Z,Saturday,Winter,35296,1425,33,0.04130779691749773
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,魏嘉瑩 - 不完美不後悔+喜歡我吧 (街頭演唱版 Feat.魏嘉瑩),Live,204,2018-12-22T04:00:00Z,Saturday,Winter,29050,963,42,0.03459552495697074
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,JC - 說散就散 (Cover by Annie),Cover,151,2018-11-10T11:39:34Z,Saturday,Fall,129555,5515,261,0.04458338157539269
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,陳粒 - 小半 (Cover by Annie),Cover,164,2018-08-31T11:35:25Z,Friday,Summer,156722,4366,231,0.0293321933104478
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,陳粒 - 易燃易爆炸 (Cover by Annie),Cover,224,2018-01-22T09:57:32Z,Monday,Winter,407490,8482,446,0.021909740116321873
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,洛天依/言和 (bilibili：ilem) - 普通Disco (Cover by Annie),Cover,190,2018-01-21T04:52:06Z,Sunday,Winter,392934,6590,364,0.017697628609384782
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,樂正綾 (bilibili：绛舞乱丸) - 不可能存在的女神 (Cover by Annie),Cover,333,2017-08-11T13:26:54Z,Friday,Summer,475856,5585,703,0.013214081570895398
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,歡樂好聲音 (史嘉蕾喬韓森) - Set it all free (Cover by Annie),Cover,216,2017-07-17T05:56:20Z,Monday,Summer,285801,6256,479,0.023565347916907217
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,楊丞琳 - 失憶的金魚 (Cover by Annie),Cover,272,2017-06-26T08:48:01Z,Monday,Summer,212756,3365,179,0.016657579574724097
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,鄧紫棋 - 光年之外 (Cover by Annie),Cover,235,2017-05-29T06:00:01Z,Monday,Spring,880090,14804,1168,0.018148143939824335
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,周興哲 - 你好不好 (Cover by Annie),Cover,212,2017-02-14T13:49:36Z,Tuesday,Winter,564499,9145,688,0.017418985684651344
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,老田x蕭小M - 夫妻臉 (Cover by Annie),Cover,163,2017-01-27T17:19:32Z,Friday,Winter,950135,14296,1262,0.016374515200471514
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,"周杰倫 - 告白氣球 (Cover by Annie , 伴奏 張義 Yimuzic)",Cover,244,2017-01-26T14:44:04Z,Thursday,Winter,903363,13892,1835,0.017409391352092126
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,鄧紫棋 - 我的秘密 (Cover by Annie),Cover,251,2016-06-16T13:46:10Z,Thursday,Summer,319100,4817,242,0.015853964274522094
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,莊心妍 - 走著走著就散了 (Cover by Annie),Cover,266,2016-06-07T16:19:20Z,Tuesday,Summer,446991,5373,293,0.01267587043139571
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,クマムシ(KUMAMUSHI) - 因為很溫暖 あったかいんだからぁ (Cover by Annie),Cover,114,2016-04-04T13:51:09Z,Monday,Spring,750544,13234,1929,0.020202679656355922
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,李佳薇 - 大火 (Cover by Annie KTV),Cover,288,2015-05-26T14:00:31Z,Tuesday,Spring,121277,2307,118,0.019995547383263108
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,Pink - Dear Mr. President  親愛的總統先生 (Cover by Annie),Cover,274,2014-03-27T14:05:31Z,Thursday,Spring,289844,5639,314,0.0205386345758408
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,孫燕姿 - 安寧 (Cover by Annie),Cover,195,2013-10-11T14:31:12Z,Friday,Fall,184910,2196,175,0.012822454166892
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,孫燕姿 - 我懷念的 (Cover by Annie),Cover,291,2013-08-14T06:15:05Z,Wednesday,Summer,362329,4231,361,0.012673564633247683
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,洪佩瑜 - 踮起腳尖愛 (Cover by Annie),Cover,282,2013-08-03T11:02:31Z,Saturday,Summer,332121,5792,403,0.018652840380463748
TW,UCwMsxbLEm5rN0wszzwFxrkQ,134000,周杰倫 Jay Chou - 龍捲風 Tornado (Cover by Annie),Cover,267,2013-08-02T21:50:15Z,Friday,Summer,1027618,16421,1886,0.01781498572426719
