style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O - 《 #chopper  》Official Music Video,MV,224,2023-07-20T04:00:04Z,Thursday,Summer,57262,856,157,0.017690615067584087
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《Oh! That girl》 Official Music Video (Chinese Ver.),LangVer,214,2021-03-19T10:00:21Z,Friday,Spring,1195006,2543,220,0.002312122282231219
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O - |《 Oh ! That girl (오! 댓걸) (C.T.O Project – The Survival) 》Dance Practice Ver. |,Dance,209,2021-03-03T14:30:06Z,Wednesday,Spring,20853,786,77,0.04138493262360332
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《Oh! That girl (오! 댓걸) (C.T.O Project – The Survival) 》 Special Clip (Behind Ver.),LangVer,215,2021-02-24T09:00:15Z,Wednesday,Winter,18530,911,69,0.0528872099298435
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《Oh! That girl (오!댓걸) (C.T.O Project – The Survival)》 Official Music Video (Korean Ver.),LangVer,226,2021-02-18T09:00:14Z,Thursday,Winter,104995,3130,359,0.03323015381684842
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O - |《New Level》Cover Dance Practice Ver. |,Dance,91,2021-02-16T16:04:29Z,Tuesday,Winter,10330,461,43,0.04878993223620523
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O  《陷阱》 Official Live Video,Live,212,2020-06-14T05:14:12Z,Sunday,Summer,64628,1443,146,0.02458686637370799
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O - |《START IT》Dance Practice Ver. |,Dance,209,2020-02-27T05:44:33Z,Thursday,Winter,11613,451,38,0.04210798243347972
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,說好不哭 Remix.Goodbyes - [Cover by C.T.O YC翁宇慶 & J.Win李振緯],Remix,149,2020-01-24T14:00:12Z,Friday,Winter,27936,1125,48,0.04198883161512027
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,《我的世代》- 羅志祥Show Lo  (Cover Remix by C.T.O J.Win李振緯),Remix,168,2019-11-07T16:00:13Z,Thursday,Fall,25252,535,54,0.023324885157611278
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O《口袋裡的愛》feat. 羅志祥/ 愷樂 Official Music Video,MV,214,2019-08-01T04:00:05Z,Thursday,Summer,1386357,6008,462,0.004666907585852706
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《Super Girl》Official Music Video,MV,239,2019-07-19T04:00:00Z,Friday,Summer,761956,4974,472,0.007147394337730787
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《START IT》Official Music Video (Dance Ver.),Dance,213,2019-07-12T03:58:18Z,Friday,Summer,92833,2421,219,0.02843816315318906
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O 《START IT》Official Music Video,MV,214,2019-07-05T04:00:14Z,Friday,Summer,1524671,6751,664,0.004863344288702284
TW,UC8Dh3TZrwCM9jOjb-xDyHnA,17300,C.T.O - 《LOVE YOU》Official Music Video,MV,216,2019-06-14T03:59:57Z,Friday,Summer,1666861,8263,530,0.005275184913439093
