style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 CaiZi「好好晚安」'Good Night' Official MV,MV,273,2025-03-05T13:42:37Z,Wednesday,Spring,56186,491,170,0.011764496493788489
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「大可以」‘ Might As Well ’ Official MV （微電影【最幸運的一天 Good Day】 主題曲）,MV,310,2024-05-10T12:00:06Z,Friday,Spring,41556,499,110,0.01465492347675426
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi「夏夜吻著海風和你 Sea Breeze Kiss」 Official MV,MV,238,2023-07-13T12:00:06Z,Thursday,Summer,79357,848,178,0.012928916163665462
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「帶我回去 Back to the future」 Official MV,MV,262,2023-06-15T16:00:08Z,Thursday,Summer,110087,1129,230,0.012344781854351559
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,Those Eyes-New West(CaiZi 采子 cover),Cover,91,2023-05-20T14:20:34Z,Saturday,Spring,7923,208,30,0.030039126593462074
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「再也想不起那時候的我」 Official MV,MV,244,2023-04-08T04:00:22Z,Saturday,Spring,171350,2277,934,0.01873942223519113
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,魔法女孩-采子 Cover,Cover,202,2021-01-01T14:32:59Z,Friday,Winter,331466,5773,645,0.019362468548810435
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「美夢」 ’You Were My Dream  ‘ Official MV,MV,275,2020-10-30T14:00:12Z,Friday,Fall,1277863,15205,1626,0.0131712084941813
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,盧廣仲 Crowd Lu『刻在我心底的名字』’ 采子 Cai Zi 邱鋒澤 FENG ZE 張暐弘Hoong ‘ 原音鐵三角COVER,Cover,242,2020-10-26T14:00:11Z,Monday,Fall,1355390,18819,1179,0.014754424925667151
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,美夢 Acoustic Cover,MV,157,2020-09-06T13:35:32Z,Sunday,Fall,62420,2039,177,0.03550144184556232
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,"采子 Cai Zi , 文慧如 Boon Hui Lu「Sunny Day」 Official MV",MV,190,2020-08-19T14:00:11Z,Wednesday,Summer,530057,11030,752,0.022227798142463923
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「喃喃」 ’ thoughts ‘ Official MV,MV,261,2020-07-27T14:00:11Z,Monday,Summer,1072799,12373,1265,0.012712539814075144
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,"采子 Cai Zi , 黃偉晉 Wayne「前任」 ’EX‘ Official MV",MV,268,2020-06-02T14:00:11Z,Tuesday,Summer,4013726,38731,3670,0.010563999635251634
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「先分開」 ’Time Out‘ Official MV,MV,242,2020-04-17T14:00:12Z,Friday,Spring,835562,11002,809,0.014135396296145589
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,背光旅行 - 采子 Cover,Cover,232,2020-04-12T14:00:12Z,Sunday,Spring,474229,7126,433,0.01593955662770518
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,下次我會把你抓緊 - 采子 Cover,Cover,190,2020-03-16T14:33:01Z,Monday,Spring,3397142,44605,2083,0.01374331717661493
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「油漆」 ’Paint‘ Official MV',MV,236,2020-02-20T14:00:11Z,Thursday,Winter,455803,6467,991,0.016362331972365255
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,en-囂張『你的一字一句猶如刀疤劃心上，我的一舉一動隨你改變多荒唐』’ 采子 Cai Zi 邱鋒澤 FENG ZE  張暐弘Hoong ‘ 原音鐵三角COVER,Cover,199,2020-01-22T14:00:12Z,Wednesday,Winter,2510590,26706,1159,0.01109898470080738
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「光害」 ’Shining Lights‘ Official MV',MV,221,2019-12-30T14:00:11Z,Monday,Winter,840343,10522,1411,0.014200153984741944
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,采子 Cai Zi 「最後我失去你」 ’When I Lose You‘ Official MV',MV,254,2019-12-04T14:00:13Z,Wednesday,Winter,2348734,19601,1700,0.009069141077703988
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,理想混蛋-不是因為天氣晴朗才愛你cover,Cover,260,2018-08-29T15:44:11Z,Wednesday,Summer,495402,5628,281,0.011927687009741584
TW,UCLUxf2VgT6sDxtDdyXofCww,91600,煙把兒-紙短情長Cover,Cover,269,2018-08-12T11:45:53Z,Sunday,Summer,196026,2714,199,0.014860273637170579
