style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【廢Nothing】Official MV,MV,221,2024-08-19T04:00:04Z,Monday,Summer,738010,1693,141,0.002485061178032818
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella陳嘉樺【Hot Like Chili】舞蹈練習室版 Dance Practice Video,Dance,195,2024-06-21T04:02:03Z,Friday,Summer,58619,1026,89,0.019021136491581228
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【別再留下Don't Stay】Official MV,MV,279,2024-04-08T02:59:35Z,Monday,Spring,1610437,8038,456,0.0052743447896440535
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【Bad Habits】Official MV,MV,164,2024-03-08T04:00:30Z,Friday,Spring,778079,5269,547,0.007474819394945757
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【南方的月亮 The Moon】Official MV,MV,250,2024-01-22T12:00:08Z,Monday,Winter,854778,3640,769,0.005158064433104268
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【願望清單 Wishes】Official MV,MV,263,2023-12-27T12:00:48Z,Wednesday,Winter,1623608,5068,739,0.0035766022340367873
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【娛樂無限公司Entertainment Unlimited Company】Official MV,MV,232,2021-01-26T12:00:11Z,Tuesday,Winter,1511751,2530,174,0.0017886543485005136
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【A CA ELLA】Official MV,MV,175,2020-12-24T16:00:12Z,Thursday,Winter,2194417,2270,366,0.0012012302128538012
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【人生不能沒副歌Don't Wanna  Be A Song Without A Chorus】Official MV,MV,214,2020-12-04T04:00:11Z,Friday,Winter,1481009,2421,181,0.0017569103226246431
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【晚安歌 Goodnight】Official MV,MV,232,2020-06-08T12:00:03Z,Monday,Summer,3189631,13014,381,0.004199545339257112
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【囉哩叭唆Stop Nagging】舞蹈教學版,Dance,208,2019-07-30T06:22:08Z,Tuesday,Summer,16126,551,51,0.03733101823142751
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【囉哩叭唆Stop Nagging】生日派對現場直擊舞蹈版MV,Dance,209,2019-07-24T10:21:43Z,Wednesday,Summer,1164406,2202,187,0.002051689874493948
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【囉哩叭唆Stop Nagging】歌詞版 Lyrics Video,Lyric,208,2019-06-17T16:00:11Z,Monday,Summer,66945,1178,148,0.019807304503697064
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,Ella 陳嘉樺【都幾歲了How Old Are You 】Official MV  ( 電視劇《幸福一家人》片尾曲),MV,245,2019-06-05T13:00:02Z,Wednesday,Summer,5565505,36728,975,0.006774407713226383
TW,UC1_kfkKNiPnQufzrlZrsPkw,83700,《 傀 》ELLA 陳嘉樺 【張藝謀”影”電影推廣曲官方藝人版MV】- 勁樺娛樂,MV,239,2018-10-03T11:42:57Z,Wednesday,Fall,87522,1480,62,0.017618427366833483
