style,channelId,channelSubs,title,type,duration_sec,publishedAt,dayOfWeek,season,views,likes,comments,engagment
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《Dreamers》Official Music Video (feat.Gummy B),MV,225,2025-03-03T04:00:31Z,Monday,Spring,352000,1629,120,0.00496875
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《I love us》Official Music Video  (feat.魏如萱),MV,226,2025-02-14T04:00:35Z,Friday,Winter,480401,3855,171,0.008380498791634489
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《幾乎是愛情Almost》MV Making Film (特邀主演:舒華 Shuhua 슈화),MV,268,2025-01-23T04:00:37Z,Thursday,Winter,98336,3202,103,0.033609258054018876
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《幾乎是愛情 Almost》Official Music Video (特邀主演:舒華 Shuhua 슈화),MV,278,2025-01-22T04:00:20Z,Wednesday,Winter,4081826,45342,1874,0.011567372053585821
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《我們沒開始 We never started》Official Music Video,MV,256,2025-01-03T12:00:39Z,Friday,Winter,4598718,18899,432,0.004203562819029129
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲 Eric Chou《永不結束的情人節Valentine’s Day》Official Music Video,MV,197,2024-12-24T12:01:09Z,Tuesday,Winter,1997259,10374,295,0.0053418209656334
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《想念你想我When you missed me》(電視劇《冬至》片頭曲) Official Music Video,MV,261,2024-12-14T10:00:33Z,Saturday,Winter,6558094,22098,571,0.0034566445677661835
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲 Eric Chou《巴黎的夜晚走走》Official Music Video,MV,203,2024-10-11T12:00:10Z,Friday,Fall,1018280,2162,138,0.0022587107671760225
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《明天我在你⾝邊》 (電影《危機航線》片尾曲) Official Music Video,MV,187,2024-10-04T14:00:33Z,Friday,Fall,2558900,7552,307,0.0030712415491031303
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲 Eric Chou《青春要用幾行詩來寫》電視劇《顏心記》推廣曲 Official Music Video,MV,291,2024-06-14T04:00:06Z,Friday,Summer,4597613,9590,294,0.0021498112172555627
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《不喜歡沒有你的地方 》Official Music Video,MV,236,2023-11-13T12:00:12Z,Monday,Fall,6717006,25687,488,0.0038968254606293337
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《不喜歡沒有你的地方》Live 首唱版,Live,105,2023-10-29T09:00:11Z,Sunday,Fall,90712,1980,76,0.02266513801922568
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《最後一堂課 Graduation》MV Making Film,MV,312,2022-07-24T12:00:24Z,Sunday,Summer,208383,3079,100,0.015255563073763214
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《最後一堂課 Graduation》Official Music Video - 影集「媽，別鬧了！」片尾曲,MV,301,2022-07-22T12:00:13Z,Friday,Summer,32697412,82019,2212,0.0025760754398543835
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《說太多 Say Too Much》MV Making Film,MV,151,2022-07-04T12:00:06Z,Monday,Summer,104554,1467,43,0.014442297760009182
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《說太多 Say Too Much》Official Music Video,MV,191,2022-07-01T12:00:10Z,Friday,Summer,2932806,19827,491,0.006927836345124771
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,續寫 - 單依純 (Cover by 周興哲),Cover,221,2022-06-09T09:10:28Z,Thursday,Summer,9268747,36692,830,0.0040482278780508306
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,摯友 - A-Lin (Cover by Eric周興哲),Cover,161,2022-05-09T11:00:11Z,Monday,Spring,9107772,50660,1191,0.005693049847975993
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《想知道你在想什麼 What's on Your Mind》完整版 MV - 電影「我吃了那男孩一整年的早餐」主題曲,MV,300,2022-02-18T12:00:14Z,Friday,Winter,25595338,88066,1953,0.003517007667568211
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《你不屬於我 You Don't Belong to Me》Official Music Video - Netflix「比悲傷更悲傷的故事」影集版片尾曲,MV,321,2021-10-30T12:00:00Z,Saturday,Fall,68801228,160336,4528,0.002396236299735813
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《你不屬於我 You Don't Belong to Me》MV Making Film,MV,276,2021-10-29T04:00:11Z,Friday,Fall,308473,7208,232,0.02411880456312222
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou 《離開你以後 Leaving You》Official Music Video - 電影「你的婚禮」插曲,MV,312,2021-09-06T12:00:03Z,Monday,Fall,33387010,85377,1565,0.0026040666714389816
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou × 單依純《愛我的時候 When You Loved Me》Official Music Video,MV,223,2021-05-18T12:00:30Z,Tuesday,Spring,34618066,105331,2047,0.003101790839499815
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《如果能幸福 Fortunate》Official MV - HBO Asia 原創影集《戒指流浪記》片尾曲,MV,311,2021-02-08T12:00:05Z,Monday,Winter,14232522,52347,1730,0.0037995374256228095
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲《怎麼了》-｜YouTube FanFest 2020｜,Live,324,2020-10-12T05:40:42Z,Monday,Fall,1872275,9298,399,0.005179260525296765
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《In the Works》Official Music Video,MV,189,2020-07-13T11:00:28Z,Monday,Summer,582280,10726,415,0.0191334066085045
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,周興哲Eric Chou《相信愛 Always Believe in Love》Official Music Video【內含血腥內容】,MV,331,2020-06-23T10:30:03Z,Tuesday,Summer,11964393,49948,1487,0.004299006226224766
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《其實你並沒那麼孤單 You Are Not Alone》MV Making Film,MV,351,2020-06-18T08:18:51Z,Thursday,Summer,47308,954,41,0.021032383529212818
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《其實你並沒那麼孤單 You Are Not Alone》Official Music Video,MV,239,2020-06-15T10:00:22Z,Monday,Summer,1910809,19260,639,0.010413913687867286
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《That's Why I Like You》Official Music Video,MV,213,2020-05-08T10:00:13Z,Friday,Spring,3450408,45135,1343,0.013470291049638188
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《我很快樂 I'm Happy》Official Music Video,MV,312,2020-04-10T09:00:11Z,Friday,Spring,49187998,135850,3266,0.0028282509078739085
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Me and You》MV Making Film,MV,233,2020-03-30T05:02:02Z,Monday,Spring,38909,889,56,0.024287439923925055
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Me and You》Official Music Video,MV,244,2020-03-28T13:00:04Z,Saturday,Spring,1434282,20393,689,0.014698643641905845
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《一樣美麗 Forever Beautiful》MV Making Film,MV,325,2020-03-16T04:51:05Z,Monday,Spring,61502,1163,55,0.019804234008650126
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《一樣美麗 Forever Beautiful》Official Music Video,MV,279,2020-03-15T09:00:00Z,Sunday,Spring,9833916,52009,1282,0.005419102624020787
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲與索尼音樂群星《一樣美麗 Forever Beautiful》同心版 MV,MV,288,2020-03-03T09:00:18Z,Tuesday,Spring,785618,8603,587,0.011697797148232348
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《受夠 Enough》MV Making Film,MV,349,2020-02-19T10:27:22Z,Wednesday,Winter,141907,1685,81,0.012444770166376571
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《受夠 Enough》Official Music Video,MV,337,2020-02-17T08:30:12Z,Monday,Winter,25990833,90048,2715,0.0035690660626383156
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Something About You》Official Music Video,MV,195,2020-02-01T04:00:05Z,Saturday,Winter,712895,13008,510,0.018962119246172297
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《小時候的我們 When We Were Young》Official Music Video,MV,211,2020-01-07T04:00:11Z,Tuesday,Winter,8726953,73001,1887,0.008581231043641464
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Something about LA》Official Audio,MV,172,2019-08-23T12:00:10Z,Friday,Summer,2063461,23122,691,0.011540319880046194
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《終於了解自由 Freedom 》MV Making Film,MV,188,2019-04-10T04:28:05Z,Wednesday,Spring,124212,1809,79,0.015199819663156538
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《終於了解自由 Freedom》Official Music Video,MV,321,2019-04-09T03:58:45Z,Tuesday,Spring,55499814,143583,3120,0.002643306155944955
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《至少我還記得 At Least I Remember》Official Music Video,Live,304,2019-02-14T03:57:41Z,Thursday,Winter,40938304,106964,2305,0.0026691139916299417
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《怎麼了 What's Wrong》Official Music Video - 華劇【你有念大學嗎？】片尾曲,MV,318,2019-01-10T03:57:45Z,Thursday,Winter,190049870,482866,13375,0.002611109389340808
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Nobody But Me》Official Music Video,MV,302,2018-12-14T12:58:14Z,Friday,Winter,3468994,47996,1328,0.014218531366730527
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Always Remember Us This Way (A Star Is Born) -  Lady Gaga (Cover by Eric周興哲),Cover,192,2018-11-05T13:00:04Z,Monday,Fall,850768,17736,472,0.021401839279333496
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,HTC VIVE X Eric周興哲《同義詞 Lies》VR 2D版MV 搶先看 Official Music Video,MV,215,2018-06-21T16:00:01Z,Thursday,Summer,678614,6160,302,0.00952234996625475
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《我知道要微笑 Smile With a Broken Heart》Official Music Video - 微電影《電競暗戰》主題曲,MV,292,2018-02-06T04:04:23Z,Tuesday,Winter,10758209,36445,1218,0.0035008615281595665
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲 feat.許瑋甯《黏黏 The Way You Make Me Feel》Official Music Video,MV,269,2017-12-27T06:30:00Z,Wednesday,Winter,14612257,57182,1121,0.003990006471963913
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《如果雨之後 The Chaos After You》Official Music Video,MV,333,2017-12-19T03:00:01Z,Tuesday,Winter,139356654,254370,9557,0.0018938959312269365
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Without Her》Official Music Video,MV,222,2017-11-17T04:00:03Z,Friday,Fall,2169894,21005,889,0.010089893792046984
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《快樂一次擁有 HAPPINESS AT ONCE》『夏日繽紛版』Music Video,Live,225,2017-09-16T04:00:00Z,Saturday,Fall,1708292,14403,528,0.008740309033818575
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《永不失聯的愛 Unbreakable Love》『原創概念版』Official Music Video 《小妖的金色城堡》主題曲,MV,280,2017-05-24T12:00:01Z,Wednesday,Spring,92102013,371925,8242,0.0041276730835405305
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《愛在身邊 Unbreakable Love 》Official Music Video LG V20微電影《愛在你聲邊》主題曲,MV,318,2017-01-06T04:30:00Z,Friday,Winter,18046948,54673,1147,0.003093043765627296
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《This Is Love》MV拍攝紀實,MV,313,2016-09-21T04:48:24Z,Wednesday,Fall,124508,1210,46,0.010087705207697497
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《Let it Go》Official Music Video,MV,238,2016-09-16T10:00:01Z,Friday,Fall,1722752,11700,347,0.006992881157589717
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《愛情教會我們的事 What love has taught us…》Official Music Video,MV,296,2016-08-26T10:00:03Z,Friday,Summer,37339632,80696,1694,0.002206502731467734
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《This Is Love》Official Music Video,MV,293,2016-08-08T10:00:36Z,Monday,Summer,22484472,68595,1640,0.0031237113328700804
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《你，好不好？ How Have You Been?》Official Music Video《遺憾拼圖》片尾曲,MV,289,2016-07-22T10:00:03Z,Friday,Summer,257936588,641469,19841,0.002563847204181828
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《你，好不好？ How Have You Been?》Official Lyric Video《遺憾拼圖》片尾曲,Lyric,288,2016-05-20T10:36:53Z,Friday,Spring,46515800,116821,3240,0.002581079977126052
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《在你耳邊說Come Out Your Way》Official 音樂電影MV [1080P],MV,368,2014-12-31T04:03:40Z,Wednesday,Winter,5884254,23046,655,0.00402786827353136
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《學著愛 My Way To Love》Official MV [1080P] 布穀鳥之窩-片尾曲,MV,271,2014-12-19T13:00:08Z,Friday,Winter,4920264,17278,333,0.0035792794858162083
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲 Duet. Rosie楊凱琳《愛在聖誕 Crying For Xmas》Official MV [1080P],MV,288,2014-12-19T11:39:13Z,Friday,Winter,2335779,9281,230,0.004071874950498313
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲 Duet. Rosie楊凱琳《愛在聖誕 Crying For Xmas》歌詞版 Lyrics MV,Lyric,291,2014-12-12T07:24:55Z,Friday,Winter,232624,1216,32,0.005364880665795446
TW,UC7S48XRADBqamQbgLxpBFcQ,1270000,Eric周興哲《以後別做朋友 The Distance of Love》Official Music Video,MV,265,2014-09-19T11:21:47Z,Friday,Fall,222747697,368795,10977,0.0017049424308975011
